city,category,name,lat,lon,osm_type,osm_id
Arles,museum,Musée de la Maison Romane,43.6769345,4.4310858,node,3549720940
Arles,museum,Musée Yves Brayer,43.7436927,4.794548,node,4442406048
Arles,museum,Maison du Riz,43.6136072,4.4547978,node,6002841722
Arles,museum,Conservatoire du santon provençal,43.6781148,4.6301021,node,6178341785
Arles,museum,Lee Ufan,43.6779567,4.6281607,node,11835929698
Arles,museum,Chapelle des Trinitaires,43.676316,4.6258436,node,11842349554
Arles,museum,Le Grenier à Olives,43.7239407,4.8003821,node,12715391506
Arles,museum,Le CERCO,43.673154,4.6390656,way,102077401
Arles,museum,Musée de la Camargue,43.624218,4.5286308,way,102094949
Arles,museum,Maison de la Transhumance,43.5965665,4.7887453,way,158387935
Arles,museum,Maison de la Crau,43.6370776,4.8061041,way,158402806
Arles,museum,Rétro Musée,43.6371605,4.805663,way,158403771
Arles,museum,Musée Paul Ricard,43.5697749,4.5025305,way,163448780
Arles,museum,Musée de l'eau,43.7600348,4.5070259,way,287072549
Arles,museum,Musée des Santons,43.7447407,4.7949958,way,446697908
Arles,museum,Musée Réattu,43.679281,4.6277462,relation,1451755
Arles,museum,Musée Arlaten,43.6766678,4.6261157,relation,1451761
Arles,museum,Musée de l'Arles antique,43.6727217,4.6163447,relation,5944281
Arles,park,Le Bois Francois,43.3930806,4.7915595,node,5320874710
Arles,park,Sans nom,43.4077749,4.7318678,node,5341440491
Arles,park,Sans nom,43.6353375,4.7960155,node,8169996802
Arles,park,Sans nom,43.7548609,4.4721186,way,41739034
Arles,park,Sans nom,43.7234231,4.8044744,way,176021664
Arles,park,Sans nom,43.7210488,4.7863657,way,205228881
Arles,park,Sans nom,43.6771958,4.43424,way,218624390
Arles,park,Sans nom,43.6823304,4.4347671,way,219639266
Arles,park,Parc du Moulin Peyre,43.6911332,4.8706998,way,245052251
Arles,park,Jardin du Petit Mas,43.6886739,4.8737181,way,245052254
Arles,park,Sans nom,43.6753482,4.6194723,way,277159349
Arles,park,Sans nom,43.6718872,4.6161335,way,300574496
Arles,park,Jardin public,43.6365591,4.8109212,way,374444265
Arles,park,Sans nom,43.741647,4.7884323,way,446788129
Arles,park,Parc de la Révolution,43.3878692,4.8006547,way,467736499
Arles,park,Sans nom,43.3843475,4.805649,way,467736504
Arles,park,Sans nom,43.6352858,4.7960164,way,499489340
Arles,park,Sans nom,43.6836425,4.6321738,way,500058333
Arles,park,Sans nom,43.7571353,4.5156684,way,501738325
Arles,park,Sans nom,43.7578072,4.5045021,way,501738326
Arles,park,Domaine de l'étang des Aulnes,43.597462,4.7872452,way,536874902
Arles,park,Sans nom,43.6393831,4.8098708,way,549914732
Arles,park,Sans nom,43.6983147,4.7897596,way,550400320
Arles,park,Sans nom,43.6983797,4.7877723,way,550400329
Arles,park,Sans nom,43.6979354,4.7894075,way,550400331
Arles,park,Sans nom,43.699315,4.7860585,way,550403795
Arles,park,Sans nom,43.6975733,4.7888573,way,550404528
Arles,park,Sans nom,43.7051858,4.7688158,way,550415668
Arles,park,Sans nom,43.7354418,4.7430229,way,551649622
Arles,park,Sans nom,43.6720489,4.615106,way,552007406
Arles,park,Sans nom,43.6538519,4.692834,way,553061690
Arles,park,Sans nom,43.416619,4.7317348,way,553332928
Arles,park,Sans nom,43.4182488,4.7343837,way,553336927
Arles,park,Sans nom,43.7196042,4.835769,way,554068423
Arles,park,Sans nom,43.6390437,4.8086129,way,557070095
Arles,park,clauzel,43.6710413,4.4279927,way,558332713
Arles,park,Tamaris,43.6723432,4.427034,way,558333020
Arles,park,Sans nom,43.6591091,4.8390826,way,604043715
Arles,park,Sans nom,43.6190829,4.6572512,way,650286192
Arles,park,Sans nom,43.745864,4.6544067,way,684944312
Arles,park,Sans nom,43.6679008,4.6105935,way,686650782
Arles,park,Sans nom,43.6676571,4.6108243,way,686650783
Arles,park,Sans nom,43.672916,4.642764,way,691307586
Arles,park,Sans nom,43.6710166,4.6373359,way,691311081
Arles,park,Sans nom,43.7260932,4.7141585,way,708212257
Arles,park,"La Verrerie, tiers-lieu culturel & citoyen",43.6817883,4.6207471,way,710727648
Arles,park,Sans nom,43.5674965,4.6678987,way,726949293
Arles,park,Sans nom,43.5088737,4.6681635,way,766323112
Arles,park,Sans nom,43.7246351,4.7805631,way,780557573
Arles,park,Sans nom,43.5707621,4.8201151,way,781620188
Arles,park,Sans nom,43.6729231,4.5979903,way,782192598
Arles,park,Sans nom,43.7056486,4.8666307,way,783091528
Arles,park,L'Ile aux loisirs,43.6485873,4.6394415,way,785075907
Arles,park,Sans nom,43.6942174,4.612188,way,790318163
Arles,park,Sans nom,43.6460264,4.7224139,way,896451234
Arles,park,Sans nom,43.6562681,4.6386317,way,928881807
Arles,park,Jardin Public Fernand Benoît,43.4119127,4.7295092,way,959116455
Arles,park,Sans nom,43.4100349,4.7275523,way,975910096
Arles,park,Institut Médico-Educatif les Abeilles,43.7223276,4.7190992,way,1054817193
Arles,park,Centre aéré l’Écureuil,43.7239372,4.7199284,way,1054818163
Arles,park,Jardin d'été,43.6756383,4.6303151,way,1128217045
Arles,park,Square des Anciens Combattants,43.6930544,4.868949,way,1162265556
Arles,park,Jardins de Quiqueran,43.742554,4.7948576,way,1171486289
Arles,park,Parc du Grand Gallègue,43.6852925,4.6111546,way,1444249170
Arles,park,Parc du Ponant,43.3967014,4.7944666,relation,10906771
Arles,park,Parc paysagé de la baisse de Raillon,43.6302534,4.7861158,relation,12267069
Arles,park,Espace de loisirs de la Baisse de Raillon,43.6343146,4.7941885,relation,14879797
Arles,park,Espace Benjamin Priaulet,43.7221486,4.8040443,relation,15845169
Arles,restaurant,La Medina,43.6788178,4.6199788,node,332189806
Arles,restaurant,La Pirate,43.4519489,4.4284933,node,510116610
Arles,restaurant,Bistrot des Canisses,43.725854,4.7082459,node,677813393
Arles,restaurant,La Câchette,43.6773891,4.6254464,node,1029953532
Arles,restaurant,La Cantine Végétale,43.6755869,4.625747,node,1030007981
Arles,restaurant,La Playa,43.4553728,4.4418555,node,1362712342
Arles,restaurant,Apostrophe Café,43.677683,4.627231,node,1416483516
Arles,restaurant,Le Bautezar,43.7441194,4.7951951,node,1450119955
Arles,restaurant,La Bergerie de Méjanes,43.5701862,4.5055994,node,1660001260
Arles,restaurant,LeRemake,43.452106,4.4271039,node,1660001261
Arles,restaurant,Le Tourne Broche,43.4519326,4.4272045,node,1660001269
Arles,restaurant,L'abbaye de Montmajour,43.7066232,4.6645765,node,1660321010
Arles,restaurant,Hôtel Le Cours,43.673455,4.4321486,node,1706911963
Arles,restaurant,La Halte Nautique,43.7446153,4.5207914,node,1871591875
Arles,restaurant,Chez Toni,43.6734019,4.4343105,node,1952180687
Arles,restaurant,Du Bar à l'Huitre,43.6773472,4.6267798,node,2122667398
