city,category,name,lat,lon,osm_type,osm_id
Biarritz,museum,Musée de la Mer,43.4833364,-1.568191,node,746271493
Biarritz,museum,Musée historique du Biarritz Olympique,43.4813157,-1.5389822,node,5825958094
Biarritz,museum,Musée Asiatica,43.4781173,-1.5553425,way,71974678
Biarritz,museum,Musée Historique Biarritz,43.4815599,-1.5621728,way,71992639
Biarritz,museum,La Cité de l'Océan,43.4621033,-1.5723167,way,250242717
Biarritz,park,Jardin Public Pierre Forsans,43.4795319,-1.5595997,way,60157439
Biarritz,park,Sans nom,43.4798014,-1.5576247,way,60263916
Biarritz,park,Sans nom,43.4630563,-1.575003,way,121832048
Biarritz,park,Square Jean-Baptiste Lassalle,43.4753432,-1.5664025,way,126604091
Biarritz,park,Parc Mazon,43.4775364,-1.5615151,way,137667561
Biarritz,park,Jardin des Rocailles,43.480754,-1.5549951,way,233206440
Biarritz,park,Square Pierre Foursans,43.4795505,-1.5596347,way,234747198
Biarritz,park,Jardin Public Natacha,43.4735347,-1.558583,way,236296273
Biarritz,park,Square Ferdinand Hirigoyen,43.4872891,-1.5488571,way,319403762
Biarritz,park,Jardin Pauline Carton,43.4825133,-1.554661,way,372217507
Biarritz,park,Sans nom,43.4838132,-1.5672366,way,420035346
Biarritz,park,Sans nom,43.4836325,-1.5669503,way,420035349
Biarritz,park,Esplanade des Anciens Combattants,43.483539,-1.5685198,way,420035350
Biarritz,park,Sans nom,43.4780734,-1.5548108,way,604317522
Biarritz,park,Jardin Lahouze,43.4798403,-1.5460988,way,701230429
Biarritz,park,Sans nom,43.4809003,-1.5481548,way,720477555
Biarritz,park,Square Docteur André Lafaille,43.4844056,-1.5447729,way,797363592
Biarritz,park,Sans nom,43.4834946,-1.5576121,way,798094411
Biarritz,park,Sans nom,43.4831908,-1.5577302,way,798094412
Biarritz,park,Sans nom,43.4832192,-1.55742,way,798094413
Biarritz,park,Sans nom,43.4835919,-1.5573515,way,798094414
Biarritz,park,Sans nom,43.4836885,-1.5575958,way,798094415
Biarritz,park,Sans nom,43.4837194,-1.5573733,way,798094416
Biarritz,park,Sans nom,43.4787937,-1.5576347,way,810316214
Biarritz,park,Sans nom,43.4790923,-1.5578789,way,810316215
Biarritz,park,Sans nom,43.4671947,-1.5712093,way,810435333
Biarritz,park,Jardin des Thermes Salins,43.4849818,-1.5463723,way,857710277
Biarritz,park,Sans nom,43.4495411,-1.5537341,way,897462990
Biarritz,park,Sans nom,43.4585686,-1.5524708,way,911358270
Biarritz,park,Sans nom,43.476873,-1.5614391,way,957873505
Biarritz,park,Sans nom,43.493159,-1.5528343,way,958145790
Biarritz,park,Sans nom,43.492974,-1.5526771,way,958145791
Biarritz,park,Sans nom,43.4925835,-1.5524598,way,958145792
Biarritz,park,Sans nom,43.491986,-1.5520954,way,958145793
Biarritz,park,Sans nom,43.4915454,-1.5520585,way,958145794
Biarritz,park,Sans nom,43.4913491,-1.552151,way,958145795
Biarritz,park,Sans nom,43.4912037,-1.5522761,way,958145796
Biarritz,park,Place Pierre Pradier,43.4744223,-1.563636,way,974233833
Biarritz,park,Sans nom,43.4728898,-1.5648263,way,1056456888
Biarritz,park,Jardins de la Grande Plage,43.4852255,-1.5577491,way,1117821317
Biarritz,park,Sans nom,43.4849248,-1.5578967,way,1135423508
Biarritz,park,Parc du Lac Marion,43.466257,-1.5493731,relation,2856392
Biarritz,park,Square Edouard VII,43.4852255,-1.5577491,relation,14901289
Biarritz,park,Sans nom,43.4824971,-1.5652332,relation,15009347
Biarritz,restaurant,Café du Commerce,43.4813993,-1.5629494,node,1361379420
Biarritz,restaurant,Brasserie Gardères,43.4825627,-1.559212,node,1361463830
Biarritz,restaurant,Comptoir Umami,43.4828229,-1.5581029,node,1361467438
Biarritz,restaurant,Le Pim'Pi,43.4817484,-1.557053,node,1361473274
Biarritz,restaurant,Bar restaurant Bistrot zingué,43.4781112,-1.5571093,node,1362597014
Biarritz,restaurant,La bonne franquette,43.4780809,-1.5567602,node,1362597015
Biarritz,restaurant,Los tacos chingones,43.4781628,-1.5568088,node,1362597016
Biarritz,restaurant,Le TajMahal,43.478011,-1.5567337,node,1362597018
Biarritz,restaurant,Le Crabe Tambour,43.4746072,-1.5636616,node,1362718060
Biarritz,restaurant,Chez Bibi,43.4745254,-1.5638654,node,1362718063
Biarritz,restaurant,Tantina de Burgos,43.4728777,-1.5667815,node,1362724090
Biarritz,restaurant,Xuxu,43.4844249,-1.5483352,node,1363045787
Biarritz,restaurant,Le Royalty,43.4823514,-1.5607501,node,1415224366
Biarritz,restaurant,Octopus,43.4829443,-1.559571,node,1464304895
Biarritz,restaurant,Le Ponton,43.469223,-1.5693349,node,1635645906
Biarritz,restaurant,Le café des artistes,43.480017,-1.5587227,node,1895026566
Biarritz,restaurant,Casa Juan Pedro,43.4830524,-1.565791,node,2425157642
Biarritz,restaurant,Chez Albert,43.4831011,-1.5653029,node,2425157673
Biarritz,restaurant,Le Corsaire,43.4831284,-1.5655281,node,2425157710
Biarritz,restaurant,Ventilo Café - Restaurant & Bar,43.4819511,-1.5648177,node,2425164179
Biarritz,restaurant,Crêperie,43.4819277,-1.5646773,node,2425164191
Biarritz,restaurant,Les Terrasses,43.478538,-1.564523,node,2426579863
Biarritz,restaurant,Maison Plaisir,43.4814856,-1.5585135,node,2431603578
Biarritz,restaurant,Chez Scott,43.4810214,-1.5582216,node,2432919072
Biarritz,restaurant,Chez Pilou,43.4816765,-1.5580367,node,2432919077
Biarritz,restaurant,La Goulue,43.4805829,-1.5583178,node,2432919097
Biarritz,restaurant,Sillon,43.4810103,-1.5584573,node,2432919103
Biarritz,restaurant,Helbidea - Bistrot locavore,43.4818909,-1.5571667,node,2432927642
Biarritz,restaurant,Bar Jean,43.4812782,-1.5625382,node,2433987631
Biarritz,restaurant,Chistera & Coquillages,43.4811368,-1.5618861,node,2433987632
Biarritz,restaurant,Bistrot des Halles,43.4807533,-1.5624008,node,2435452685
Biarritz,restaurant,Cantina Biarritz Bodega Restaurant de Nuit,43.4788892,-1.5622154,node,2443499141
Biarritz,restaurant,Le Bistrot gourmet,43.4860631,-1.5509466,node,2702756266
Biarritz,restaurant,L'Impertinent,43.486443,-1.5504442,node,2702756268
