city,category,name,lat,lon,osm_type,osm_id
Colmar,museum,Musée Unterlinden,48.0798635,7.3555565,node,1265125753
Colmar,museum,Pompe à bras incendie,48.1698099,7.3205272,node,10896909660
Colmar,museum,Choco Story,48.0769548,7.3585502,node,11285499187
Colmar,museum,Musée Bartholdi,48.076611,7.3575592,way,47576073
Colmar,museum,Musée d'Histoire Naturelle et d'Éthnographie,48.0736402,7.3587792,way,47577843
Colmar,museum,Musée du Jouet,48.0791033,7.3622061,way,47584584
Colmar,museum,Musée Hansi,48.0787615,7.3548044,way,48546266
Colmar,museum,Musée des Usines Municipales,48.0558756,7.3701091,way,51194021
Colmar,museum,Espace d'Art Contemporain André Malraux,48.0791855,7.3593539,way,108958977
Colmar,museum,Musée Unterlinden,48.0803851,7.3557446,way,236777574
Colmar,museum,Musée Unterlinden,48.0801704,7.3559615,way,388094124
Colmar,museum,L'Ackerhof,48.0805261,7.3558011,way,489090570
Colmar,park,Sans nom,48.0739182,7.3546872,node,11804200916
Colmar,park,Place André Malraux,48.072898,7.3424436,way,23222129
Colmar,park,Place des Vosges,48.072801,7.335193,way,23306383
Colmar,park,Sans nom,48.0843072,7.3241071,way,23860941
Colmar,park,Sans nom,48.0752619,7.3637625,way,24437101
Colmar,park,Champ de Mars,48.0760332,7.3529574,way,24747316
Colmar,park,Square Pfeffel,48.0755295,7.3577567,way,24766194
Colmar,park,Sans nom,48.0772393,7.3901756,way,26645560
Colmar,park,Jardin Méquillet,48.073143,7.3521519,way,45267678
Colmar,park,Parc de Lattre de Tassigny,48.0772503,7.3514215,way,47576350
Colmar,park,Square Gustave Adolphe Hirn,48.0734944,7.3548645,way,47585370
Colmar,park,Parc de la Cour d'appel,48.0712715,7.3516515,way,47897336
Colmar,park,Parc de la Montagne Verte,48.0754162,7.3605913,way,48460906
Colmar,park,Sans nom,48.0786651,7.3522116,way,48550798
Colmar,park,Sans nom,48.0790237,7.3628299,way,48584516
Colmar,park,Sans nom,48.0819069,7.3652872,way,48591603
Colmar,park,Parc Saint-François-Xavier,48.0724175,7.3626005,way,48793899
Colmar,park,Place Desportes,48.068816,7.3486131,way,49338099
Colmar,park,Sans nom,48.0687667,7.3496849,way,49405000
Colmar,park,Square du Général Henri de Vernejoul,48.0830849,7.3561435,way,49896464
Colmar,park,Place Jean-Sébastien Bach,48.0896833,7.3661092,way,50000624
Colmar,park,Place Billing,48.082756,7.3684209,way,50228910
Colmar,park,Sans nom,48.0882417,7.3718669,way,50300075
Colmar,park,square Saint-Joseph,48.0818066,7.3453727,way,51351163
