city,category,name,lat,lon,osm_type,osm_id
Lyon,museum,Centre d'Histoire de la Résistance et de la Déportation,45.7464306,4.8359519,node,26131828
Lyon,museum,Musée urbain Tony Garnier,45.7335086,4.8629827,node,26132213
Lyon,museum,Musée Cinéma & Miniature,45.7618753,4.8272985,node,1421012868
Lyon,museum,Institut d'art contemporain,45.7625393,4.8727591,node,1460479330
Lyon,museum,Fondation Bullukian,45.7566217,4.8311317,node,1777581773
Lyon,museum,Musée d'histoire de la médecine et de la pharmacie de Lyon,45.7414332,4.8805413,node,2590579928
Lyon,museum,Entrée du musée gallo-romain de Lyon,45.759028,4.8211073,node,2812916913
Lyon,museum,Boutique Souvenirs du Petit Musée de Guignol,45.7639034,4.8281374,node,3375289052
Lyon,museum,Maison des mathématiques et de l'informatique,45.7299317,4.8280106,node,3822699441
Lyon,museum,Institut Lumière,45.7450881,4.8706151,node,4485572406
Lyon,museum,Maison des Canuts,45.777106,4.8336847,node,4885281682
Lyon,museum,Musée Jean Couty,45.797918,4.8293849,node,5297358221
Lyon,museum,Atelier Mattelon,45.7801248,4.8353898,node,5830304035
Lyon,museum,Espace culturel du christianisme à Lyon,45.7600362,4.8231111,node,6126712437
Lyon,museum,Musée des Moulages,45.7515932,4.8543123,node,6221619681
Lyon,museum,Musée des Hospices Civils de Lyon,45.7608407,4.8315116,node,6575800693
Lyon,museum,Cité Internationale de la Gastronomie de Lyon,45.7596898,4.8362144,node,6943618299
Lyon,museum,Soierie Vivante,45.7758106,4.8365935,node,8650890083
Lyon,museum,Soierie Vivante,45.7802088,4.8370503,node,8650890084
Lyon,museum,Musée d'art religieux de Fourvière,45.7618667,4.8226203,node,8703702406
Lyon,museum,Musée de l'Illusion,45.7590059,4.8361266,node,9039678060
Lyon,museum,institut culturel du judaïsme,45.7518115,4.8511261,node,9039823524
Lyon,museum,Tomaselli Collection,45.7781019,4.8005576,node,10270080304
Lyon,museum,Musée des soieries Brochier,45.7597657,4.8372966,node,10716445268
Lyon,museum,Musée des géomètres-experts de la région Auvergne-Rhône-Alpes,45.7428824,4.8213275,node,11263316995
Lyon,museum,Musée de l'informatique du centre de calcul de l'IN2P3,45.7826131,4.8653343,node,12189622108
Lyon,museum,Science Expériences,45.7616492,4.8361288,node,12193144369
Lyon,museum,Droguier de Lyon,45.7411958,4.8813131,node,12794810298
Lyon,museum,Musée du Nouvel Institut Franco-Chinois,45.7546436,4.811146,node,12877996378
Lyon,museum,Musée de l'Imprimerie et de la communication graphique,45.7642819,4.8347672,way,62271798
Lyon,museum,Musée d'Art Contemporain,45.7842134,4.8524679,way,62277312
Lyon,museum,Classe-Musée,45.7265704,4.8772825,way,62348803
Lyon,museum,Le Rectangle,45.7576246,4.8308406,way,82255756
Lyon,museum,Lugdunum Musée et Théâtres Romains,45.760294,4.8204842,way,88526510
Lyon,museum,Maison des Arts,45.7320716,4.897761,way,124653394
Lyon,museum,Musée Jean Couty,45.7979945,4.8292025,way,125014288
Lyon,museum,Musée des sapeurs-pompiers de Lyon,45.7912535,4.798527,way,125076993
Lyon,museum,Lugdunum Musée et Théâtres Romains,45.760393,4.820123,way,125690941
Lyon,museum,Musée des Tissus et des Arts décoratifs,45.7533775,4.8313403,way,188157107
Lyon,museum,Musée des Confluences,45.7326277,4.8179852,way,440270631
Lyon,museum,Musée des Beaux-Arts de Lyon,45.7667066,4.8336192,way,493540665
Lyon,museum,Musées Gadagne,45.7640744,4.827301,way,700244364
Lyon,museum,Centre d'histoire de la résistance et de la déportation,45.7463685,4.8360993,way,700244374
Lyon,museum,Maison de Pauline Jaricot,45.7615727,4.8239098,way,1228133941
Lyon,park,La Bonne Maison,45.7415011,4.809481,node,10038602783
