city,category,name,lat,lon,osm_type,osm_id
Marseille,museum,Palais des arts,43.2731794,5.3931148,node,1503699114
Marseille,museum,Exposition sur la réparation navale,43.3263892,5.35832,node,1674650507
Marseille,museum,Observatoire de Marseille - Planétarium,43.3054903,5.3947811,node,1727170210
Marseille,museum,Musée du savon de Marseille,43.321292,5.3898574,node,1842394629
Marseille,museum,Mémorial de La Marseillaise,43.2977936,5.3784437,node,1979261200
Marseille,museum,"Musée des arts décoratifs, de la faïence et de la mode",43.2572605,5.3820342,node,2365711963
Marseille,museum,Musée d'histoire de Marseille,43.2975573,5.3756864,node,2499522058
Marseille,museum,Musée des Arts et Traditions populaires du terroir marseillais,43.352105,5.4386437,node,2598867528
Marseille,museum,Le Musée du Savon,43.2927712,5.3694744,node,4425058138
Marseille,museum,Cellule 516,43.2608478,5.3962644,node,4540240792
Marseille,museum,"Musée des Arts Africains, Océaniens, Amérindiens",43.301009,5.3681139,node,4945717658
Marseille,museum,Musée d'Archéologie Méditerranéenne,43.3005836,5.3682814,node,4945719803
Marseille,museum,Galerie Dos Mares,43.2946952,5.3837827,node,9077999917
Marseille,museum,Conservatoire du Patrimoine Médical de Marseille,43.2643072,5.4137379,node,9658660673
Marseille,museum,Grotte Cosquer,43.2972614,5.3619941,node,9800972121
Marseille,museum,Musée de Notre-Dame de la Garde,43.284269,5.3712185,node,11201960202
Marseille,museum,Tour Panorama,43.3102039,5.3906907,node,11201960208
Marseille,museum,Musée du Savon de Marseille,43.3549299,5.3629621,node,11201960209
Marseille,museum,Musée Subaquatique de Marseille,43.2902445,5.3536516,node,11204512971
Marseille,museum,Musée de l'illusion,43.29858,5.3640511,node,12296103140
Marseille,museum,Maison des îles et du littoral,43.282151,5.315942,way,28401072
Marseille,museum,Musée Grobet-Labadié,43.3033116,5.3929848,way,67708610
Marseille,museum,Musée Regards de Provence,43.2976916,5.3635633,way,67715218
Marseille,museum,Mémorial des déportations,43.2955749,5.3624878,way,67715872
Marseille,museum,Musée des Beaux-Arts,43.3045994,5.3939619,way,68976388
Marseille,museum,Muséum d'Histoire Naturelle,43.303781,5.3946726,way,68977335
Marseille,museum,Musée Cantini,43.292202,5.3782105,way,69139913
Marseille,museum,Musée de la Moto,43.3281277,5.4040196,way,112815005
Marseille,museum,Musée d'art contemporain de Marseille,43.2504795,5.3901475,way,154486608
Marseille,museum,Musée des Civilisations de l'Europe et de la Méditerranée,43.296722,5.3610255,way,168685674
Marseille,museum,Frac Sud - Cité de l'art contemporain,43.3054212,5.3677945,way,174459203
Marseille,museum,Préau des Accoules,43.2976257,5.366682,way,178605520
Marseille,museum,Musée des Docks romains,43.2968102,5.3680449,way,178808268
Marseille,museum,Centre de conservation et de ressources du Mucem,43.3082864,5.3869725,way,203110447
Marseille,park,Sans nom,43.3029225,5.4023074,node,11758662121
Marseille,park,Jardin des Héros,43.3021832,5.3838605,node,12520225390
