city,category,name,lat,lon,osm_type,osm_id
Nantes,museum,Musée de l'Imprimerie,47.2109738,-1.5620834,node,1620229100
Nantes,museum,Musée d'histoire de Nantes,47.2158291,-1.5497506,node,2069132743
Nantes,museum,Musée des Compagnons du Devoir,47.2029077,-1.5827179,node,3842660066
Nantes,museum,Le Grenier de l'Aviation,47.2450414,-1.6079026,node,4621127944
Nantes,museum,Boutique du Musée Dobrée,47.2120054,-1.5664649,node,11958590605
Nantes,museum,Maison des Hommes et des techniques,47.2056874,-1.5659688,node,13065426032
Nantes,museum,Musée Jules Verne,47.2016227,-1.5773626,way,32488519
Nantes,museum,Maillé-Brézé,47.2067047,-1.5716645,way,97962232
Nantes,museum,Musée d'arts de Nantes,47.2194988,-1.5476802,way,142523574
Nantes,museum,Musée Dobrée,47.2123785,-1.5664028,way,340679503
Nantes,museum,Le Chronographe,47.1918189,-1.5647864,way,454524397
Nantes,museum,Maison de l'Erdre,47.2261668,-1.5543272,relation,1162754
Nantes,museum,Muséum d'Histoire Naturelle,47.2125867,-1.5647898,relation,6742735
Nantes,park,Tracté,47.1959182,-1.5421743,node,880867518
Nantes,park,Parc en 8,47.2605055,-1.4904021,node,1575722780
Nantes,park,Sans nom,47.2164541,-1.5504769,node,1860911579
Nantes,park,Le Parc des Chantiers,47.2054878,-1.5669524,node,2924619262
Nantes,park,tyrolienne,47.2228342,-1.5874366,node,11568611590
Nantes,park,banc,47.2168012,-1.5943242,node,11587098616
Nantes,park,Square Félix Faure,47.2308731,-1.5686207,node,12147544530
Nantes,park,Square Élisa-Mercœur,47.2147936,-1.5497477,node,12285231216
Nantes,park,Jardin de la Pergola,47.2403502,-1.5198406,node,12484760657
Nantes,park,Espace de plein air de Port-Barbe,47.2644236,-1.5403703,node,12817474326
Nantes,park,Square de la Délivrance,47.2109078,-1.5241269,way,25025464
Nantes,park,Square de la Bourse,47.2124191,-1.5589374,way,26686312
Nantes,park,Sans nom,47.2534697,-1.4931525,way,26763847
Nantes,park,Parc du Grand Blottereau,47.2275561,-1.5082965,way,27532467
Nantes,park,Square des Maraîches,47.2461859,-1.5161177,way,27590530
Nantes,park,Parc de la Gaudinière,47.244413,-1.5794575,way,27872598
Nantes,park,Parc de Procé,47.2242322,-1.5814981,way,27872767
Nantes,park,Parc de la Noé-Mitrie,47.2276062,-1.5267641,way,28675114
Nantes,park,Parc floral de la Beaujoire - La Roseraie,47.262572,-1.5324518,way,28675117
Nantes,park,Square Faustin Hélie,47.218058,-1.5634457,way,28687799
Nantes,park,Place du Zénith,47.2687866,-1.5168129,way,28690588
Nantes,park,Jardin du Nadir,47.2669737,-1.518997,way,28690598
Nantes,park,Parc Paul Allain,47.1834014,-1.5618579,way,29261545
Nantes,park,Parc Potager de la Crapaudine,47.1909882,-1.5305225,way,30019443
Nantes,park,Sans nom,47.2057873,-1.5018148,way,30333472
Nantes,park,Prairie Humide des Rives de Sèvre,47.1882593,-1.5378125,way,30688018
Nantes,park,Parc de la Carterie,47.1861544,-1.5494059,way,31694324
Nantes,park,Sans nom,47.1844435,-1.5573851,way,31790055
Nantes,park,Parc des Capucins,47.2247352,-1.5624089,way,32137215
Nantes,park,Parc de la Balinière,47.1830523,-1.5527503,way,32204449
Nantes,park,Square Amiral Halgan,47.2174322,-1.5544778,way,32432122
Nantes,park,Square Marcel Moisan,47.202086,-1.5773483,way,32488527
Nantes,park,Square Commandant Lacroix,47.2035805,-1.5759207,way,32488529
Nantes,park,Square Charles Richard,47.1825708,-1.5541222,way,32514028
Nantes,park,Square Marcel Launay,47.2036764,-1.5359278,way,32565786
Nantes,park,Sans nom,47.1979047,-1.4907044,way,33715638
Nantes,park,Square Jean Moulin,47.2072416,-1.4868115,way,34182182
Nantes,park,Square Toussaint Louverture,47.1948922,-1.6156791,way,34788406
Nantes,park,Cours Hermeland,47.2158993,-1.631289,way,41709674
Nantes,park,Parc du Chassay,47.2473972,-1.4845187,way,43086701
Nantes,park,Parc de la Roche,47.2182441,-1.5181258,way,44459730
Nantes,park,Square Jean Le Gigant,47.2041456,-1.5931412,way,44782327
Nantes,park,Sans nom,47.2178222,-1.5752207,way,44865666
Nantes,park,Sans nom,47.2210709,-1.5789568,way,44866149
Nantes,park,Square de la Marseillaise,47.2077282,-1.5920561,way,44866258
Nantes,park,Parc de la Boucardière,47.2011749,-1.5980288,way,44936824
Nantes,park,Jardin de la Psalette,47.217844,-1.5498074,way,45069646
Nantes,park,Sans nom,47.2232765,-1.5451925,way,45335117
Nantes,park,Square du Bois de la Musse,47.204701,-1.6104601,way,45461647
Nantes,park,Square Maurice Schwob,47.2010236,-1.5807453,way,45753477
Nantes,park,Sans nom,47.2101708,-1.5912806,way,46694787
Nantes,park,Sans nom,47.2187174,-1.6077014,way,47573935
Nantes,park,Square Louis Feuillade,47.2305281,-1.5855238,way,48514988
Nantes,park,Jardin des Nectars,47.2380451,-1.582598,way,48541111
Nantes,park,Sans nom,47.2287447,-1.5660665,way,48544794
Nantes,park,Square Gaston Michel,47.2349976,-1.5714506,way,49157631
Nantes,park,Sans nom,47.2331283,-1.5744931,way,49158883
Nantes,park,Sans nom,47.2097637,-1.6136386,way,49455905
Nantes,park,Square Vertais,47.2023399,-1.5466188,way,51144728
Nantes,park,Sans nom,47.2210298,-1.6173241,way,51856621
