city,category,name,lat,lon,osm_type,osm_id
Nice,museum,Palais Lascaris,43.6976417,7.2772555,node,578023554
Nice,museum,Musée Volti,43.7017095,7.310623,node,1297270381
Nice,museum,Museum d'Histoire Naturelle,43.7017759,7.2795802,node,1398474011
Nice,museum,Musée Goetz-Boumeester,43.7016417,7.3106329,node,2264574277
Nice,museum,Salle Souvenir du 24e BCA,43.701601,7.3106059,node,2264574278
Nice,museum,Collection Roux,43.7011297,7.3109172,node,2264574279
Nice,museum,Musée de la Marine,43.7023621,7.3122689,node,2279265380
Nice,museum,Musée National du Sport,43.7062629,7.1923789,node,4688828348
Nice,museum,Musée de la photographie Charles Nègre,43.6959151,7.2745989,node,4688883802
Nice,museum,Musée Franciscain,43.7201242,7.2789108,node,4689017366
Nice,museum,Musée Terra Amata,43.6977993,7.2892892,node,10106819239
Nice,museum,Musée de la résistance azuréene,43.668023,7.2133862,node,12096621255
Nice,museum,Le 109,43.7173594,7.2841095,node,12923381180
Nice,museum,Musée Masséna,43.6950496,7.2590494,way,19597352
Nice,museum,Musée des Arts Asiatiques,43.6679866,7.2160298,way,81023334
Nice,museum,Espace Lympia,43.6948909,7.2862476,way,137195056
Nice,museum,Musée Matisse,43.7194005,7.2762085,way,139931873
Nice,museum,Musée d'Archéologie de Nice-Cimiez,43.719174,7.2755415,way,139932041
Nice,museum,Musée Marc Chagall,43.709142,7.269506,way,140067117
Nice,museum,Musée des Beaux Arts,43.694623,7.2488795,way,140260291
Nice,museum,Musée international d'art naïf Anatole Jakovsky,43.6862206,7.2327223,way,708311359
Nice,museum,Musée Prieuré du Vieux Logis,43.7206281,7.2549719,way,1070004963
Nice,museum,Musée d'art moderne et d'art contemporain,43.7014456,7.2784999,relation,1949582
Nice,park,Musée Masséna,43.6950496,7.2590494,way,19597352
Nice,park,Promenade du Paillon,43.697406,7.2717883,way,19597958
Nice,park,Promenade du Paillon,43.6979001,7.273635,way,19598003
Nice,park,Promenade du Paillon,43.6990123,7.2761113,way,19598209
Nice,park,Jardin de l'Armenie,43.6958363,7.2666452,way,19598286
Nice,park,Colline du Château,43.6963102,7.2804899,way,19668745
Nice,park,Place Mozart,43.7006384,7.261933,way,20685053
Nice,park,Sans nom,43.7022111,7.2790352,way,23706854
Nice,park,Jardin Cardinal Clément Ferrero,43.7004161,7.2768957,way,23707585
Nice,park,Jardin Alziari de Malaussena,43.6975906,7.2633196,way,25382472
Nice,park,Jardin Général Ferrie,43.6911762,7.2452625,way,25384700
Nice,park,Jardin Adolphe Lions,43.6996118,7.2390964,way,25384979
Nice,park,square Dominique Durandy,43.7014453,7.2723059,way,25386277
Nice,park,Place Wilson,43.7004784,7.2733549,way,25399787
Nice,park,Jardin Jeanne d'Arc,43.7127477,7.263459,way,25399975
