airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
annecy_000001,Annecy,Lumineux loft quartier animé,45.985489,6.215066,190,4.59,228,4.6,4.69,4.83,4.35,4.75,4.73,4.59,98,moins d une heure,90,Logement entier,3,5,1.3,10,Host_97833,2016,False,True,https://www.airbnb.fr/rooms/annecy_000001,detailed_ratings,2024-10-21,7,43,51,1,356
annecy_000002,Annecy,Typique chambre à Annecy,45.96119,6.155953,80,4.53,223,4.5,4.73,4.51,4.29,4.87,4.47,4.24,96,moins d une heure,86,Chambre privée,1,6,2.3,3,Host_36634,2019,False,False,https://www.airbnb.fr/rooms/annecy_000002,detailed_ratings,2023-08-14,27,60,4,7,106
annecy_000003,Annecy,Typique chambre à Annecy,45.822168,6.129273,74,4.55,146,4.5,4.52,4.73,4.43,4.58,4.67,4.58,91,moins de 12 heures,88,Chambre privée,1,2,2.1,8,Host_42060,2015,False,True,https://www.airbnb.fr/rooms/annecy_000003,detailed_ratings,2023-07-12,27,38,29,4,309
annecy_000004,Annecy,Hébergement entier - Annecy zone calme,45.96481,6.031142,85,4.71,44,4.7,4.66,5.0,4.42,4.96,4.9,4.39,96,quelques heures,95,Logement entier,3,2,2.4,4,Host_25171,2014,False,True,https://www.airbnb.fr/rooms/annecy_000004,detailed_ratings,2023-11-02,16,55,74,2,260
annecy_000005,Annecy,Hébergement entier - Annecy proche gare,45.906041,6.146858,46,4.47,155,4.5,4.56,4.73,4.4,4.48,4.52,4.36,91,moins de 12 heures,88,Logement entier,1,6,1.2,2,Host_93333,2014,True,True,https://www.airbnb.fr/rooms/annecy_000005,detailed_ratings,2023-03-21,17,21,64,4,365
annecy_000006,Annecy,Calme maison proche commerces,45.862653,6.075988,88,4.69,170,4.7,4.81,4.97,4.71,5.0,4.64,4.62,93,moins de 12 heures,99,Logement entier,3,5,2.9,5,Host_60487,2015,True,True,https://www.airbnb.fr/rooms/annecy_000006,detailed_ratings,2024-12-02,22,50,58,6,43
annecy_000007,Annecy,Loft entier au cœur de Annecy,45.802417,6.064613,93,4.77,42,4.8,4.75,4.94,4.69,5.0,4.86,4.59,99,moins d une heure,98,Logement entier,3,1,1.4,10,Host_35261,2021,False,False,https://www.airbnb.fr/rooms/annecy_000007,detailed_ratings,2022-01-14,18,1,5,6,339
annecy_000008,Annecy,Superbe duplex centre-ville,45.933533,6.083495,72,4.69,248,4.7,4.86,4.88,4.66,4.96,4.91,4.55,94,quelques heures,92,Logement entier,1,5,2.6,2,Host_67271,2018,False,True,https://www.airbnb.fr/rooms/annecy_000008,detailed_ratings,2023-04-23,20,5,70,6,231
annecy_000009,Annecy,Hébergement chez l'habitant - Annecy proche monuments,45.867927,6.170683,54,4.65,119,4.7,4.64,4.7,4.36,4.92,4.85,4.47,99,moins de 12 heures,93,Chambre privée,2,2,2.6,9,Host_62482,2023,False,True,https://www.airbnb.fr/rooms/annecy_000009,detailed_ratings,2022-06-02,21,55,36,6,124
annecy_000010,Annecy,Hébergement chez l'habitant - Annecy proche commerces,45.978577,6.178964,78,4.64,216,4.6,4.77,4.94,4.57,4.75,4.82,4.36,89,quelques heures,98,Chambre privée,5,1,1.6,9,Host_45633,2012,False,True,https://www.airbnb.fr/rooms/annecy_000010,detailed_ratings,2022-12-17,24,29,2,7,337
