airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
avignon_000001,Avignon,Charmant loft à Avignon,43.99852,4.846135,56,4.71,124,4.7,4.86,4.83,4.76,4.86,4.91,4.74,95,moins de 12 heures,84,Logement entier,2,2,1.1,8,Host_60263,2022,False,False,https://www.airbnb.fr/rooms/avignon_000001,detailed_ratings,2024-05-21,5,2,85,7,154
avignon_000002,Avignon,Hébergement entier - Avignon quartier historique,43.909483,4.741301,130,4.53,87,4.5,4.51,4.72,4.26,4.92,4.53,4.21,96,moins d une heure,96,Logement entier,3,5,1.4,3,Host_23843,2013,False,True,https://www.airbnb.fr/rooms/avignon_000002,detailed_ratings,2024-06-09,20,34,65,6,164
avignon_000003,Avignon,Lumineux studio à Avignon,43.857662,4.771868,145,4.7,270,4.7,4.84,4.7,4.76,4.8,4.95,4.53,95,quelques heures,92,Logement entier,4,1,1.7,3,Host_37901,2021,True,True,https://www.airbnb.fr/rooms/avignon_000003,detailed_ratings,2024-05-28,15,39,24,6,133
avignon_000004,Avignon,Authentique loft proche monuments,43.877283,4.840898,137,4.67,200,4.7,4.78,4.86,4.44,4.79,4.89,4.38,93,moins de 12 heures,82,Logement entier,3,2,1.8,6,Host_79276,2015,True,False,https://www.airbnb.fr/rooms/avignon_000004,detailed_ratings,2023-01-10,4,28,28,6,322
avignon_000005,Avignon,Chambre confortable proche proche monuments Avignon,44.012821,4.8656,100,4.72,153,4.7,4.62,5.0,4.91,5.0,4.99,4.77,96,moins de 12 heures,88,Chambre privée,3,2,2.0,4,Host_39188,2018,False,True,https://www.airbnb.fr/rooms/avignon_000005,detailed_ratings,2023-02-26,25,7,48,7,62
avignon_000006,Avignon,Hébergement chez l'habitant - Avignon proche commerces,43.868667,4.780593,54,4.57,73,4.6,4.65,4.67,4.69,4.67,4.61,4.19,98,quelques heures,95,Chambre privée,2,3,2.2,9,Host_73457,2019,False,False,https://www.airbnb.fr/rooms/avignon_000006,detailed_ratings,2023-11-19,11,25,6,7,161
avignon_000007,Avignon,Magnifique pied-à-terre à Avignon,43.893199,4.799356,158,4.51,55,4.5,4.48,4.44,4.48,4.55,4.75,4.27,98,moins d une heure,91,Logement entier,1,5,2.5,7,Host_34778,2022,False,True,https://www.airbnb.fr/rooms/avignon_000007,detailed_ratings,2024-02-17,25,52,76,6,280
avignon_000008,Avignon,Pied-à-terre entier au cœur de Avignon,44.041965,4.731472,124,4.47,285,4.5,4.49,4.74,4.49,4.65,4.64,4.4,93,quelques heures,82,Logement entier,1,5,1.1,4,Host_6544,2023,False,True,https://www.airbnb.fr/rooms/avignon_000008,detailed_ratings,2024-10-15,10,0,41,7,153
avignon_000009,Avignon,Charmant chambre à Avignon,43.879006,4.748272,95,4.5,131,4.5,4.51,4.47,4.51,4.7,4.51,4.4,94,moins de 12 heures,97,Chambre privée,2,5,2.7,7,Host_85019,2013,False,True,https://www.airbnb.fr/rooms/avignon_000009,detailed_ratings,2024-02-08,28,14,71,1,103
avignon_000010,Avignon,Moderne duplex zone calme,43.886533,4.714958,63,4.55,4,4.6,4.58,4.75,4.4,4.59,4.72,4.39,88,quelques heures,85,Logement entier,2,6,2.2,2,Host_87407,2020,True,False,https://www.airbnb.fr/rooms/avignon_000010,detailed_ratings,2024-05-10,11,45,50,3,174
