airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
biarritz_000001,Biarritz,Superbe chambre à Biarritz,43.524319,-1.610336,67,4.5,169,4.5,4.66,4.7,4.32,4.7,4.54,4.1,85,moins de 12 heures,98,Chambre privée,1,4,1.3,4,Host_93690,2015,True,True,https://www.airbnb.fr/rooms/biarritz_000001,detailed_ratings,2022-06-24,14,4,56,4,186
biarritz_000002,Biarritz,Authentique loft à Biarritz,43.399647,-1.462819,196,4.55,188,4.6,4.65,4.6,4.61,4.77,4.6,4.29,92,quelques heures,94,Logement entier,4,4,2.5,7,Host_20894,2012,False,True,https://www.airbnb.fr/rooms/biarritz_000002,detailed_ratings,2022-10-27,30,19,51,5,190
biarritz_000003,Biarritz,Spacieux duplex proche commerces,43.578032,-1.635104,183,4.75,141,4.7,4.65,4.97,4.63,4.88,4.85,4.76,91,moins de 12 heures,100,Logement entier,2,6,1.1,5,Host_1603,2016,False,True,https://www.airbnb.fr/rooms/biarritz_000003,detailed_ratings,2024-09-28,14,43,53,7,139
biarritz_000004,Biarritz,Duplex entier au cœur de Biarritz,43.529555,-1.463604,64,4.49,137,4.5,4.48,4.56,4.64,4.69,4.41,4.2,95,moins de 12 heures,99,Logement entier,2,3,1.8,5,Host_23726,2020,False,True,https://www.airbnb.fr/rooms/biarritz_000004,detailed_ratings,2024-06-20,30,41,89,4,314
biarritz_000005,Biarritz,Hébergement entier - Biarritz centre-ville,43.476166,-1.585944,188,4.62,120,4.6,4.67,4.69,4.48,4.75,4.52,4.61,91,moins de 12 heures,90,Logement entier,1,1,2.7,8,Host_1169,2013,False,False,https://www.airbnb.fr/rooms/biarritz_000005,detailed_ratings,2024-10-13,18,32,63,1,34
biarritz_000006,Biarritz,Magnifique loft proche monuments,43.53895,-1.49515,192,4.79,30,4.8,4.72,4.97,4.79,4.81,5.0,4.52,96,moins de 12 heures,82,Logement entier,4,5,2.5,7,Host_64747,2022,True,False,https://www.airbnb.fr/rooms/biarritz_000006,detailed_ratings,2024-08-01,21,56,7,2,278
biarritz_000007,Biarritz,Calme duplex quartier animé,43.559536,-1.568682,55,4.77,284,4.8,4.93,4.68,4.59,4.94,4.68,4.4,99,moins de 12 heures,80,Logement entier,4,3,1.4,3,Host_24579,2022,False,True,https://www.airbnb.fr/rooms/biarritz_000007,detailed_ratings,2022-04-28,11,30,73,3,119
biarritz_000008,Biarritz,Spacieux chambre à Biarritz,43.384691,-1.542065,198,4.7,109,4.7,4.71,4.87,4.82,5.0,4.88,4.43,98,quelques heures,99,Chambre privée,1,1,1.4,6,Host_86941,2012,False,True,https://www.airbnb.fr/rooms/biarritz_000008,detailed_ratings,2024-11-10,5,18,63,1,181
biarritz_000009,Biarritz,Authentique maison à Biarritz,43.422333,-1.525243,79,4.55,31,4.5,4.63,4.62,4.49,4.91,4.69,4.57,95,moins d une heure,95,Logement entier,4,2,2.2,5,Host_40317,2016,False,True,https://www.airbnb.fr/rooms/biarritz_000009,detailed_ratings,2024-02-27,16,22,34,4,143
biarritz_000010,Biarritz,Hébergement chez l'habitant - Biarritz proche commerces,43.413738,-1.533622,110,4.58,110,4.6,4.5,4.74,4.67,4.69,4.73,4.22,89,moins d une heure,88,Chambre privée,3,1,1.2,2,Host_66864,2021,True,True,https://www.airbnb.fr/rooms/biarritz_000010,detailed_ratings,2023-06-07,2,1,70,2,192
