airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
bordeaux_000001,Bordeaux,Calme duplex à Bordeaux,44.796344,-0.520037,172,4.43,63,4.4,4.59,4.55,4.39,4.65,4.44,4.1,85,quelques heures,82,Logement entier,4,5,1.8,7,Host_79666,2023,False,True,https://www.airbnb.fr/rooms/bordeaux_000001,detailed_ratings,2023-11-12,28,16,44,5,46
bordeaux_000002,Bordeaux,Cosy loft zone calme,44.75765,-0.670334,167,4.74,250,4.7,4.78,4.97,4.54,4.82,5.0,4.52,100,moins d une heure,94,Logement entier,1,4,2.4,9,Host_88128,2019,False,True,https://www.airbnb.fr/rooms/bordeaux_000002,detailed_ratings,2024-05-23,24,21,8,4,347
bordeaux_000003,Bordeaux,Hébergement chez l'habitant - Bordeaux proche monuments,44.840805,-0.558559,173,4.75,80,4.8,4.72,4.9,4.9,4.95,4.83,4.51,93,moins d une heure,87,Chambre privée,5,5,2.4,9,Host_13173,2016,False,True,https://www.airbnb.fr/rooms/bordeaux_000003,detailed_ratings,2022-11-06,19,0,68,2,210
bordeaux_000004,Bordeaux,Authentique duplex proche monuments,44.781221,-0.565543,144,4.58,5,4.6,4.68,4.56,4.39,4.61,4.48,4.29,98,quelques heures,91,Logement entier,4,2,2.6,9,Host_46744,2018,True,True,https://www.airbnb.fr/rooms/bordeaux_000004,detailed_ratings,2022-02-27,4,48,6,3,230
bordeaux_000005,Bordeaux,Spacieux maison à Bordeaux,44.748572,-0.519464,126,4.7,148,4.7,4.64,4.92,4.44,4.77,4.83,4.43,96,quelques heures,89,Logement entier,1,3,1.4,9,Host_99142,2020,False,True,https://www.airbnb.fr/rooms/bordeaux_000005,detailed_ratings,2023-06-20,26,21,6,1,232
bordeaux_000006,Bordeaux,Appartement entier au cœur de Bordeaux,44.904959,-0.564808,169,4.57,250,4.6,4.67,4.6,4.59,4.91,4.49,4.5,98,moins de 12 heures,94,Logement entier,1,2,2.1,8,Host_90841,2023,False,False,https://www.airbnb.fr/rooms/bordeaux_000006,detailed_ratings,2024-01-12,2,1,62,2,137
bordeaux_000007,Bordeaux,Chambre confortable proche zone calme Bordeaux,44.83332,-0.545376,49,4.53,137,4.5,4.5,4.62,4.56,4.55,4.78,4.56,97,moins de 12 heures,88,Chambre privée,4,5,1.2,5,Host_54652,2012,False,True,https://www.airbnb.fr/rooms/bordeaux_000007,detailed_ratings,2022-01-26,9,44,9,7,222
bordeaux_000008,Bordeaux,Charmant pied-à-terre centre-ville,44.835011,-0.600773,147,4.49,119,4.5,4.61,4.77,4.31,4.7,4.7,4.56,96,quelques heures,85,Logement entier,5,2,3.0,2,Host_89779,2020,False,True,https://www.airbnb.fr/rooms/bordeaux_000008,detailed_ratings,2022-04-24,3,10,1,7,108
bordeaux_000009,Bordeaux,Chambre confortable proche centre-ville Bordeaux,44.808657,-0.576237,144,4.43,203,4.4,4.6,4.67,4.29,4.74,4.38,4.08,97,quelques heures,80,Chambre privée,2,2,2.5,5,Host_61464,2016,False,True,https://www.airbnb.fr/rooms/bordeaux_000009,detailed_ratings,2024-07-01,13,41,90,5,125
bordeaux_000010,Bordeaux,Hébergement chez l'habitant - Bordeaux zone calme,44.829884,-0.586351,172,4.71,160,4.7,4.89,4.63,4.65,5.0,4.73,4.47,88,quelques heures,93,Chambre partagée,2,6,2.7,7,Host_46799,2014,False,True,https://www.airbnb.fr/rooms/bordeaux_000010,detailed_ratings,2024-05-07,29,17,29,4,80
bordeaux_000011,Bordeaux,Hébergement entier - Bordeaux proche monuments,44.77007,-0.667442,103,4.41,190,4.4,4.36,4.49,4.32,4.68,4.54,4.14,91,quelques heures,86,Logement entier,1,3,2.4,7,Host_87813,2022,False,True,https://www.airbnb.fr/rooms/bordeaux_000011,detailed_ratings,2024-08-05,24,51,90,1,172
bordeaux_000012,Bordeaux,Pied-à-terre entier au cœur de Bordeaux,44.742039,-0.576701,174,4.41,229,4.4,4.5,4.7,4.17,4.51,4.42,4.14,98,moins de 12 heures,91,Logement entier,5,4,1.0,6,Host_16678,2019,True,False,https://www.airbnb.fr/rooms/bordeaux_000012,detailed_ratings,2022-07-04,10,43,75,3,60
bordeaux_000013,Bordeaux,Hébergement chez l'habitant - Bordeaux proche commerces,44.749865,-0.65862,64,4.67,279,4.7,4.82,4.62,4.6,4.99,4.9,4.56,87,moins d une heure,82,Chambre privée,4,1,2.7,10,Host_63188,2014,False,True,https://www.airbnb.fr/rooms/bordeaux_000013,detailed_ratings,2024-11-24,24,14,26,3,167
bordeaux_000014,Bordeaux,Cosy chambre à Bordeaux,44.933228,-0.617931,122,4.54,270,4.5,4.57,4.54,4.41,4.65,4.61,4.4,100,moins de 12 heures,93,Chambre partagée,4,4,2.1,4,Host_49003,2012,False,True,https://www.airbnb.fr/rooms/bordeaux_000014,detailed_ratings,2022-08-11,5,44,3,4,166
bordeaux_000015,Bordeaux,Spacieux loft proche commerces,44.844734,-0.48161,59,4.49,184,4.5,4.53,4.77,4.27,4.72,4.4,4.59,92,moins d une heure,87,Logement entier,1,4,2.9,6,Host_99179,2020,False,True,https://www.airbnb.fr/rooms/bordeaux_000015,detailed_ratings,2023-01-22,9,6,52,7,318
bordeaux_000016,Bordeaux,Hébergement chez l'habitant - Bordeaux quartier historique,44.844264,-0.622909,168,4.72,131,4.7,4.74,4.99,4.8,5.0,4.68,4.49,87,moins de 12 heures,87,Chambre privée,1,5,2.1,7,Host_28580,2018,True,True,https://www.airbnb.fr/rooms/bordeaux_000016,detailed_ratings,2024-05-04,0,14,19,5,249
bordeaux_000017,Bordeaux,Chambre confortable proche proche commerces Bordeaux,44.865886,-0.57135,53,4.68,267,4.7,4.75,4.78,4.48,4.86,4.83,4.44,86,moins d une heure,85,Chambre partagée,1,5,1.8,8,Host_73313,2015,False,True,https://www.airbnb.fr/rooms/bordeaux_000017,detailed_ratings,2024-09-15,8,17,56,1,53
bordeaux_000018,Bordeaux,Chambre confortable proche proche commerces Bordeaux,44.799335,-0.529884,151,4.54,12,4.5,4.58,4.57,4.65,4.88,4.75,4.22,88,quelques heures,89,Chambre privée,2,1,1.2,10,Host_51001,2015,False,True,https://www.airbnb.fr/rooms/bordeaux_000018,detailed_ratings,2024-12-06,3,20,88,3,333
bordeaux_000019,Bordeaux,Hébergement chez l'habitant - Bordeaux proche gare,44.869638,-0.560691,88,4.8,213,4.8,4.73,5.0,4.64,5.0,4.85,4.77,85,moins d une heure,86,Chambre privée,5,4,2.0,7,Host_1976,2013,False,True,https://www.airbnb.fr/rooms/bordeaux_000019,detailed_ratings,2022-01-26,29,40,58,6,174
bordeaux_000020,Bordeaux,Hébergement chez l'habitant - Bordeaux quartier animé,44.835563,-0.499863,175,4.66,205,4.7,4.82,4.83,4.57,4.74,4.64,4.72,89,quelques heures,100,Chambre privée,2,6,2.3,7,Host_53536,2023,True,True,https://www.airbnb.fr/rooms/bordeaux_000020,detailed_ratings,2023-12-21,19,9,85,2,256
bordeaux_000021,Bordeaux,Hébergement chez l'habitant - Bordeaux quartier animé,44.910172,-0.547536,57,4.41,34,4.4,4.57,4.38,4.54,4.51,4.48,4.13,86,moins de 12 heures,87,Chambre privée,3,5,1.3,9,Host_3483,2020,False,True,https://www.airbnb.fr/rooms/bordeaux_000021,detailed_ratings,2024-03-19,10,23,50,5,328
bordeaux_000022,Bordeaux,Calme chambre à Bordeaux,44.839129,-0.628556,174,4.49,79,4.5,4.47,4.55,4.61,4.79,4.6,4.3,90,moins d une heure,86,Chambre privée,2,2,2.4,4,Host_33610,2023,False,True,https://www.airbnb.fr/rooms/bordeaux_000022,detailed_ratings,2023-07-28,23,2,65,2,244
