airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
cannes_000001,Cannes,Hébergement entier - Cannes quartier historique,43.589018,7.043094,184,4.81,173,4.8,4.9,4.77,4.85,4.9,5.0,4.8,97,quelques heures,99,Logement entier,4,4,1.5,4,Host_91716,2021,False,True,https://www.airbnb.fr/rooms/cannes_000001,detailed_ratings,2024-03-18,17,50,44,1,118
cannes_000002,Cannes,Hébergement entier - Cannes quartier animé,43.633806,7.072384,193,4.68,11,4.7,4.84,4.96,4.83,5.0,4.58,4.45,96,quelques heures,90,Logement entier,2,6,1.9,9,Host_10729,2019,False,True,https://www.airbnb.fr/rooms/cannes_000002,detailed_ratings,2022-06-01,8,37,25,4,328
cannes_000003,Cannes,Hébergement entier - Cannes proche gare,43.508739,7.065176,112,4.83,268,4.8,4.81,4.76,4.67,5.0,5.0,4.91,90,moins de 12 heures,97,Logement entier,1,3,2.3,8,Host_77619,2013,True,True,https://www.airbnb.fr/rooms/cannes_000003,detailed_ratings,2024-01-17,2,46,6,6,345
cannes_000004,Cannes,Moderne maison quartier animé,43.540358,7.009118,100,4.65,94,4.6,4.73,4.59,4.79,4.99,4.93,4.59,94,moins de 12 heures,96,Logement entier,2,4,2.6,3,Host_12843,2022,True,True,https://www.airbnb.fr/rooms/cannes_000004,detailed_ratings,2024-01-17,20,53,55,2,338
cannes_000005,Cannes,Magnifique chambre à Cannes,43.604716,7.08273,137,4.63,60,4.6,4.6,4.8,4.37,4.74,4.91,4.45,95,moins d une heure,88,Chambre privée,5,4,2.5,2,Host_92679,2012,True,True,https://www.airbnb.fr/rooms/cannes_000005,detailed_ratings,2022-03-23,17,8,64,1,160
cannes_000006,Cannes,Typique appartement à Cannes,43.551359,7.104887,79,4.51,161,4.5,4.51,4.46,4.67,4.64,4.47,4.13,88,quelques heures,95,Logement entier,3,6,1.9,2,Host_42318,2021,False,True,https://www.airbnb.fr/rooms/cannes_000006,detailed_ratings,2023-12-20,15,57,34,5,295
cannes_000007,Cannes,Hébergement entier - Cannes quartier animé,43.458336,6.960767,73,4.5,96,4.5,4.62,4.53,4.5,4.81,4.73,4.43,87,quelques heures,80,Logement entier,4,6,1.4,10,Host_25201,2022,False,True,https://www.airbnb.fr/rooms/cannes_000007,detailed_ratings,2024-07-06,14,4,83,7,305
cannes_000008,Cannes,Spacieux chambre à Cannes,43.640032,7.028379,152,4.83,210,4.8,4.83,5.0,4.7,5.0,4.94,4.84,85,quelques heures,96,Chambre partagée,1,6,1.5,6,Host_15125,2017,False,True,https://www.airbnb.fr/rooms/cannes_000008,detailed_ratings,2022-01-13,1,34,41,2,133
cannes_000009,Cannes,Typique loft centre-ville,43.645551,7.020499,210,4.75,242,4.7,4.75,5.0,4.54,4.95,4.78,4.48,92,moins de 12 heures,92,Logement entier,1,3,3.0,3,Host_27074,2019,False,True,https://www.airbnb.fr/rooms/cannes_000009,detailed_ratings,2023-06-08,6,57,76,5,50
cannes_000010,Cannes,Calme chambre à Cannes,43.547352,7.095589,165,4.77,186,4.8,4.92,4.75,4.83,5.0,4.89,4.71,94,quelques heures,99,Chambre privée,5,4,2.2,9,Host_94273,2012,False,True,https://www.airbnb.fr/rooms/cannes_000010,detailed_ratings,2022-02-12,15,9,23,3,42
cannes_000011,Cannes,Hébergement entier - Cannes quartier historique,43.5015,7.073816,69,4.8,143,4.8,4.72,4.83,4.54,4.86,4.85,4.84,97,moins d une heure,81,Logement entier,5,2,2.9,2,Host_95967,2013,False,True,https://www.airbnb.fr/rooms/cannes_000011,detailed_ratings,2023-09-26,14,53,1,1,223
cannes_000012,Cannes,Studio entier au cœur de Cannes,43.486265,6.944919,91,4.79,139,4.8,4.85,4.7,4.56,4.85,4.7,4.45,91,moins de 12 heures,97,Logement entier,1,3,2.4,3,Host_17317,2020,False,False,https://www.airbnb.fr/rooms/cannes_000012,detailed_ratings,2023-12-10,29,46,5,5,326
cannes_000013,Cannes,Maison entier au cœur de Cannes,43.63715,6.964058,72,4.56,215,4.6,4.66,4.73,4.56,4.81,4.47,4.18,94,moins d une heure,91,Logement entier,2,2,2.0,6,Host_82720,2015,False,False,https://www.airbnb.fr/rooms/cannes_000013,detailed_ratings,2023-08-15,26,0,86,5,174
cannes_000014,Cannes,Hébergement entier - Cannes proche gare,43.605939,7.115164,146,4.67,178,4.7,4.7,4.76,4.63,4.99,4.83,4.66,86,moins d une heure,87,Logement entier,4,4,1.3,8,Host_71862,2013,True,True,https://www.airbnb.fr/rooms/cannes_000014,detailed_ratings,2024-01-19,15,57,17,1,182
