airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
colmar_000001,Colmar,Chambre confortable proche quartier historique Colmar,48.085837,7.282704,90,4.44,79,4.4,4.55,4.64,4.62,4.81,4.57,4.26,100,moins de 12 heures,83,Chambre privée,4,3,2.3,2,Host_31107,2014,False,True,https://www.airbnb.fr/rooms/colmar_000001,detailed_ratings,2022-11-17,19,7,33,3,225
colmar_000002,Colmar,Chambre confortable proche proche commerces Colmar,47.986617,7.302228,87,4.75,82,4.7,4.82,4.98,4.82,4.84,4.84,4.36,98,quelques heures,96,Chambre privée,2,2,2.1,6,Host_72361,2014,False,True,https://www.airbnb.fr/rooms/colmar_000002,detailed_ratings,2024-03-08,15,16,81,4,92
colmar_000003,Colmar,Magnifique chambre à Colmar,48.176209,7.449375,44,4.41,12,4.4,4.43,4.63,4.46,4.67,4.65,4.44,94,moins d une heure,87,Chambre privée,2,6,1.6,10,Host_62620,2021,False,False,https://www.airbnb.fr/rooms/colmar_000003,detailed_ratings,2022-06-11,23,6,59,4,198
colmar_000004,Colmar,Calme pied-à-terre centre-ville,48.162901,7.403977,81,4.43,173,4.4,4.41,4.45,4.56,4.72,4.55,4.1,92,moins de 12 heures,98,Logement entier,3,3,2.8,4,Host_66029,2022,False,True,https://www.airbnb.fr/rooms/colmar_000004,detailed_ratings,2023-02-02,4,2,44,6,169
colmar_000005,Colmar,Calme appartement quartier animé,48.034233,7.286387,34,4.72,234,4.7,4.65,5.0,4.84,4.91,4.79,4.69,96,moins d une heure,94,Logement entier,3,2,1.8,2,Host_84488,2016,False,False,https://www.airbnb.fr/rooms/colmar_000005,detailed_ratings,2023-07-24,6,8,53,7,79
colmar_000006,Colmar,Typique chambre à Colmar,48.111331,7.269093,100,4.38,25,4.4,4.42,4.54,4.13,4.63,4.42,4.31,86,moins d une heure,95,Chambre privée,3,6,2.1,3,Host_3358,2019,False,True,https://www.airbnb.fr/rooms/colmar_000006,detailed_ratings,2024-08-25,4,35,90,3,149
colmar_000007,Colmar,Hébergement entier - Colmar zone calme,48.03767,7.321591,106,4.43,224,4.4,4.4,4.62,4.36,4.53,4.57,4.12,97,moins d une heure,100,Logement entier,1,5,2.8,2,Host_22150,2012,False,True,https://www.airbnb.fr/rooms/colmar_000007,detailed_ratings,2022-10-28,23,48,49,6,312
colmar_000008,Colmar,Magnifique loft centre-ville,48.056362,7.284914,125,4.51,270,4.5,4.53,4.55,4.6,4.81,4.47,4.16,94,quelques heures,90,Logement entier,2,2,2.7,2,Host_76273,2017,False,True,https://www.airbnb.fr/rooms/colmar_000008,detailed_ratings,2024-01-22,20,28,50,2,241
colmar_000009,Colmar,Moderne pied-à-terre à Colmar,48.061698,7.262754,128,4.43,190,4.4,4.43,4.62,4.55,4.63,4.71,4.21,95,quelques heures,96,Logement entier,2,6,1.3,9,Host_19898,2013,True,True,https://www.airbnb.fr/rooms/colmar_000009,detailed_ratings,2022-05-15,14,53,90,5,121
colmar_000010,Colmar,Hébergement chez l'habitant - Colmar proche gare,48.003483,7.410538,53,4.48,189,4.5,4.52,4.6,4.64,4.56,4.54,4.17,91,quelques heures,82,Chambre privée,4,4,2.3,6,Host_11220,2016,False,True,https://www.airbnb.fr/rooms/colmar_000010,detailed_ratings,2024-08-08,16,56,41,4,52
colmar_000011,Colmar,Hébergement entier - Colmar quartier animé,48.051857,7.281344,120,4.58,267,4.6,4.65,4.74,4.36,4.95,4.59,4.49,100,moins de 12 heures,96,Logement entier,3,3,2.5,7,Host_10388,2020,False,True,https://www.airbnb.fr/rooms/colmar_000011,detailed_ratings,2024-08-27,19,0,9,2,362
colmar_000012,Colmar,Spacieux chambre à Colmar,48.041128,7.283836,91,4.6,258,4.6,4.79,4.87,4.74,4.73,4.52,4.52,94,quelques heures,84,Chambre privée,3,6,2.0,4,Host_83706,2013,False,True,https://www.airbnb.fr/rooms/colmar_000012,detailed_ratings,2023-02-01,17,6,60,1,212
colmar_000013,Colmar,Hébergement entier - Colmar quartier historique,48.125485,7.30942,140,4.43,260,4.4,4.62,4.67,4.37,4.55,4.58,4.49,89,moins d une heure,95,Logement entier,1,2,2.3,7,Host_20511,2016,False,False,https://www.airbnb.fr/rooms/colmar_000013,detailed_ratings,2024-09-02,8,20,46,2,251
colmar_000014,Colmar,Chambre confortable proche proche monuments Colmar,48.148294,7.344675,102,4.62,25,4.6,4.77,4.75,4.72,4.79,4.76,4.59,85,moins de 12 heures,96,Chambre privée,1,4,2.8,9,Host_77902,2016,False,False,https://www.airbnb.fr/rooms/colmar_000014,detailed_ratings,2023-02-24,5,54,75,2,122
colmar_000015,Colmar,Lumineux loft quartier animé,48.056202,7.401697,78,4.43,40,4.4,4.4,4.47,4.36,4.56,4.61,4.41,98,moins d une heure,93,Logement entier,3,3,1.9,3,Host_58903,2013,False,True,https://www.airbnb.fr/rooms/colmar_000015,detailed_ratings,2022-08-24,19,38,66,1,111
colmar_000016,Colmar,Hébergement entier - Colmar quartier animé,48.035981,7.366049,135,4.39,207,4.4,4.49,4.59,4.28,4.65,4.63,4.08,93,quelques heures,86,Logement entier,5,3,1.9,7,Host_61906,2019,False,True,https://www.airbnb.fr/rooms/colmar_000016,detailed_ratings,2022-04-21,11,41,38,2,211
colmar_000017,Colmar,Hébergement entier - Colmar centre-ville,48.006035,7.306432,34,4.45,205,4.4,4.51,4.69,4.46,4.55,4.58,4.43,85,moins d une heure,81,Logement entier,5,1,2.5,10,Host_62422,2019,False,True,https://www.airbnb.fr/rooms/colmar_000017,detailed_ratings,2022-12-01,4,40,66,5,168
