airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
dijon_000001,Dijon,Hébergement chez l'habitant - Dijon quartier historique,47.291365,5.030882,58,4.68,220,4.7,4.88,4.59,4.8,4.98,4.94,4.31,97,quelques heures,100,Chambre privée,4,3,2.5,3,Host_3736,2021,False,False,https://www.airbnb.fr/rooms/dijon_000001,detailed_ratings,2023-05-06,29,6,40,6,221
dijon_000002,Dijon,Hébergement chez l'habitant - Dijon proche commerces,47.305097,4.973088,29,4.61,296,4.6,4.61,4.69,4.78,4.69,4.69,4.25,89,quelques heures,84,Chambre partagée,1,2,2.8,3,Host_13307,2016,True,True,https://www.airbnb.fr/rooms/dijon_000002,detailed_ratings,2023-02-09,0,48,24,4,322
dijon_000003,Dijon,Hébergement entier - Dijon quartier animé,47.225601,5.00626,51,4.49,266,4.5,4.58,4.54,4.66,4.64,4.68,4.28,94,moins de 12 heures,93,Logement entier,4,5,1.9,6,Host_96751,2017,False,False,https://www.airbnb.fr/rooms/dijon_000003,detailed_ratings,2024-06-27,29,18,28,5,308
dijon_000004,Dijon,Duplex entier au cœur de Dijon,47.248479,5.043065,75,4.6,101,4.6,4.6,4.84,4.32,4.62,4.53,4.25,92,moins d une heure,87,Logement entier,1,5,1.2,7,Host_88139,2013,False,True,https://www.airbnb.fr/rooms/dijon_000004,detailed_ratings,2022-03-18,22,17,87,3,217
dijon_000005,Dijon,Chambre confortable proche proche monuments Dijon,47.262886,5.033244,26,4.51,2,4.5,4.55,4.59,4.33,4.77,4.76,4.19,92,moins de 12 heures,92,Chambre privée,2,1,2.3,7,Host_93347,2020,True,True,https://www.airbnb.fr/rooms/dijon_000005,detailed_ratings,2022-03-20,23,46,0,6,270
dijon_000006,Dijon,Hébergement entier - Dijon quartier historique,47.340407,4.941776,61,4.44,100,4.4,4.51,4.71,4.22,4.74,4.59,4.31,88,moins d une heure,91,Logement entier,4,3,2.2,6,Host_1924,2014,False,True,https://www.airbnb.fr/rooms/dijon_000006,detailed_ratings,2024-02-26,15,55,27,1,157
dijon_000007,Dijon,Authentique maison à Dijon,47.416452,4.978371,50,4.69,35,4.7,4.85,4.93,4.49,4.99,4.65,4.43,93,moins d une heure,82,Logement entier,1,4,2.4,9,Host_72001,2016,False,True,https://www.airbnb.fr/rooms/dijon_000007,detailed_ratings,2024-05-01,26,16,38,7,194
dijon_000008,Dijon,Chambre confortable proche proche commerces Dijon,47.36665,5.018122,83,4.49,14,4.5,4.55,4.61,4.48,4.87,4.53,4.23,89,quelques heures,88,Chambre privée,4,3,1.5,9,Host_11390,2021,False,True,https://www.airbnb.fr/rooms/dijon_000008,detailed_ratings,2024-04-16,6,58,85,6,323
dijon_000009,Dijon,Studio entier au cœur de Dijon,47.36947,5.068426,94,4.71,117,4.7,4.76,4.99,4.62,4.94,4.87,4.6,99,moins d une heure,81,Logement entier,1,6,2.1,3,Host_94124,2014,True,True,https://www.airbnb.fr/rooms/dijon_000009,detailed_ratings,2022-12-23,3,1,83,1,343
dijon_000010,Dijon,Hébergement entier - Dijon proche commerces,47.365634,5.030153,54,4.71,34,4.7,4.86,4.88,4.51,4.84,4.96,4.34,85,moins d une heure,85,Logement entier,3,3,2.4,3,Host_58464,2018,False,False,https://www.airbnb.fr/rooms/dijon_000010,detailed_ratings,2023-08-03,1,4,20,4,90
dijon_000011,Dijon,Charmant chambre à Dijon,47.260623,5.134744,101,4.45,90,4.4,4.38,4.39,4.44,4.83,4.35,4.16,89,moins d une heure,90,Chambre privée,3,6,2.5,7,Host_23944,2016,False,True,https://www.airbnb.fr/rooms/dijon_000011,detailed_ratings,2022-07-10,25,49,14,2,351
dijon_000012,Dijon,Calme duplex zone calme,47.314864,5.048568,116,4.63,89,4.6,4.66,4.55,4.75,4.98,4.73,4.64,87,moins de 12 heures,100,Logement entier,3,1,2.2,3,Host_62688,2012,False,True,https://www.airbnb.fr/rooms/dijon_000012,detailed_ratings,2024-08-12,18,55,42,1,337
dijon_000013,Dijon,Spacieux duplex proche gare,47.2706,5.098722,65,4.54,72,4.5,4.55,4.49,4.27,4.81,4.8,4.55,97,moins d une heure,85,Logement entier,4,5,1.2,7,Host_96521,2013,True,True,https://www.airbnb.fr/rooms/dijon_000013,detailed_ratings,2024-09-24,2,32,54,6,234
dijon_000014,Dijon,Typique maison centre-ville,47.298308,4.997873,47,4.57,267,4.6,4.49,4.71,4.72,4.76,4.73,4.22,97,quelques heures,94,Logement entier,3,4,2.0,4,Host_83375,2015,False,False,https://www.airbnb.fr/rooms/dijon_000014,detailed_ratings,2024-12-11,9,1,53,4,57
dijon_000015,Dijon,Hébergement chez l'habitant - Dijon quartier historique,47.286704,5.00904,50,4.62,78,4.6,4.55,4.6,4.76,4.68,4.91,4.26,96,moins d une heure,83,Chambre privée,2,1,1.3,4,Host_18048,2017,True,True,https://www.airbnb.fr/rooms/dijon_000015,detailed_ratings,2023-12-10,8,51,55,7,355
dijon_000016,Dijon,Calme loft centre-ville,47.292955,5.047457,107,4.64,102,4.6,4.55,4.83,4.46,4.84,4.8,4.42,86,moins d une heure,95,Logement entier,5,5,3.0,2,Host_3974,2021,True,True,https://www.airbnb.fr/rooms/dijon_000016,detailed_ratings,2023-03-20,21,2,61,7,250
dijon_000017,Dijon,Chambre confortable proche centre-ville Dijon,47.384441,5.005524,91,4.73,223,4.7,4.85,4.7,4.54,4.97,4.89,4.69,93,quelques heures,86,Chambre privée,5,2,1.2,10,Host_95627,2014,False,True,https://www.airbnb.fr/rooms/dijon_000017,detailed_ratings,2024-10-07,18,19,36,6,354
dijon_000018,Dijon,Chambre confortable proche quartier historique Dijon,47.252353,5.016184,37,4.41,276,4.4,4.56,4.43,4.23,4.61,4.42,4.45,92,quelques heures,91,Chambre privée,5,2,2.3,5,Host_69646,2014,False,True,https://www.airbnb.fr/rooms/dijon_000018,detailed_ratings,2022-04-17,6,56,87,3,115
dijon_000019,Dijon,Cosy pied-à-terre à Dijon,47.407279,5.016134,48,4.65,196,4.7,4.79,4.78,4.53,4.66,4.68,4.44,94,moins d une heure,88,Logement entier,1,2,1.2,6,Host_69208,2022,False,False,https://www.airbnb.fr/rooms/dijon_000019,detailed_ratings,2022-02-04,27,26,66,3,233
dijon_000020,Dijon,Hébergement entier - Dijon proche commerces,47.311812,4.951847,128,4.73,108,4.7,4.83,4.8,4.76,4.82,4.86,4.52,92,moins de 12 heures,92,Logement entier,4,2,1.3,2,Host_62059,2021,False,True,https://www.airbnb.fr/rooms/dijon_000020,detailed_ratings,2024-08-07,30,3,25,5,193
dijon_000021,Dijon,Moderne appartement quartier animé,47.277734,5.041297,64,4.36,24,4.4,4.42,4.43,4.4,4.5,4.63,4.37,91,moins d une heure,87,Logement entier,2,6,1.7,10,Host_40530,2014,False,True,https://www.airbnb.fr/rooms/dijon_000021,detailed_ratings,2024-11-14,14,50,19,6,115
dijon_000022,Dijon,Chambre confortable proche quartier historique Dijon,47.325324,4.956391,107,4.66,215,4.7,4.83,4.68,4.37,5.0,4.73,4.55,90,moins d une heure,80,Chambre privée,5,2,1.4,10,Host_49313,2021,True,True,https://www.airbnb.fr/rooms/dijon_000022,detailed_ratings,2023-08-04,14,50,9,5,156
dijon_000023,Dijon,Authentique appartement centre-ville,47.29268,5.073305,77,4.67,98,4.7,4.73,4.81,4.48,4.93,4.78,4.5,87,moins d une heure,100,Logement entier,3,3,2.8,4,Host_76589,2018,False,True,https://www.airbnb.fr/rooms/dijon_000023,detailed_ratings,2024-03-16,22,48,32,4,95
dijon_000024,Dijon,Typique appartement quartier animé,47.38348,5.139876,114,4.66,199,4.7,4.58,4.74,4.65,4.78,4.8,4.47,92,moins d une heure,97,Logement entier,5,2,1.3,4,Host_75531,2018,False,True,https://www.airbnb.fr/rooms/dijon_000024,detailed_ratings,2023-05-25,25,22,71,1,224
dijon_000025,Dijon,Chambre confortable proche proche gare Dijon,47.366263,4.977953,58,4.47,50,4.5,4.41,4.53,4.45,4.54,4.62,4.39,93,moins de 12 heures,84,Chambre partagée,4,4,1.0,4,Host_30358,2013,False,True,https://www.airbnb.fr/rooms/dijon_000025,detailed_ratings,2023-11-05,30,11,19,6,125
dijon_000026,Dijon,Hébergement chez l'habitant - Dijon proche monuments,47.291224,5.013401,81,4.67,75,4.7,4.79,4.8,4.41,4.73,4.66,4.7,88,moins de 12 heures,99,Chambre privée,4,2,2.2,2,Host_48481,2016,False,True,https://www.airbnb.fr/rooms/dijon_000026,detailed_ratings,2022-02-06,15,60,49,4,229
dijon_000027,Dijon,Chambre confortable proche proche commerces Dijon,47.348058,5.009805,62,4.63,51,4.6,4.69,4.71,4.61,4.64,4.81,4.46,95,moins d une heure,83,Chambre privée,2,1,1.6,8,Host_79026,2018,False,False,https://www.airbnb.fr/rooms/dijon_000027,detailed_ratings,2024-07-09,12,8,74,1,186
dijon_000028,Dijon,Hébergement chez l'habitant - Dijon zone calme,47.330895,5.051847,61,4.39,11,4.4,4.51,4.45,4.35,4.54,4.5,4.02,96,quelques heures,82,Chambre privée,5,4,2.4,6,Host_7615,2017,True,False,https://www.airbnb.fr/rooms/dijon_000028,detailed_ratings,2024-05-28,25,13,28,6,326
dijon_000029,Dijon,Hébergement entier - Dijon quartier historique,47.292892,5.117327,86,4.67,96,4.7,4.78,4.82,4.82,4.74,4.96,4.55,96,moins d une heure,84,Logement entier,3,4,1.5,9,Host_99814,2023,False,True,https://www.airbnb.fr/rooms/dijon_000029,detailed_ratings,2024-03-11,1,48,19,1,130
dijon_000030,Dijon,Chambre confortable proche centre-ville Dijon,47.286332,5.111617,53,4.43,205,4.4,4.4,4.39,4.55,4.57,4.36,4.35,87,moins d une heure,94,Chambre privée,2,2,2.3,8,Host_48807,2017,False,True,https://www.airbnb.fr/rooms/dijon_000030,detailed_ratings,2022-09-19,14,34,17,3,202
dijon_000031,Dijon,Hébergement entier - Dijon zone calme,47.332141,4.971934,41,4.41,265,4.4,4.53,4.33,4.48,4.45,4.67,4.14,87,quelques heures,86,Logement entier,1,5,2.6,10,Host_50878,2020,False,True,https://www.airbnb.fr/rooms/dijon_000031,detailed_ratings,2024-08-14,11,38,44,7,159
dijon_000032,Dijon,Hébergement entier - Dijon quartier historique,47.275695,5.120853,109,4.7,57,4.7,4.82,4.75,4.52,4.82,4.89,4.59,100,moins d une heure,100,Logement entier,3,4,1.9,6,Host_32512,2012,False,False,https://www.airbnb.fr/rooms/dijon_000032,detailed_ratings,2023-02-15,27,54,5,1,261
