airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
la rochelle_000001,La Rochelle,Hébergement chez l'habitant - La Rochelle proche gare,46.159332,-1.192277,77,4.55,83,4.6,4.69,4.67,4.43,4.64,4.75,4.31,89,moins de 12 heures,89,Chambre partagée,5,5,2.7,7,Host_35416,2016,False,True,https://www.airbnb.fr/rooms/la rochelle_000001,detailed_ratings,2023-10-19,23,10,55,7,182
la rochelle_000002,La Rochelle,Hébergement chez l'habitant - La Rochelle quartier animé,46.17138,-1.207591,156,4.58,157,4.6,4.52,4.82,4.35,4.98,4.78,4.64,93,moins d une heure,81,Chambre privée,3,1,1.4,10,Host_26053,2018,False,True,https://www.airbnb.fr/rooms/la rochelle_000002,detailed_ratings,2022-11-15,2,56,36,3,269
la rochelle_000003,La Rochelle,Moderne maison proche commerces,46.143892,-1.112167,93,4.69,233,4.7,4.88,4.66,4.67,5.0,4.83,4.46,96,moins d une heure,92,Logement entier,5,4,1.5,10,Host_85192,2021,False,False,https://www.airbnb.fr/rooms/la rochelle_000003,detailed_ratings,2024-08-24,4,43,62,4,193
la rochelle_000004,La Rochelle,Hébergement entier - La Rochelle quartier historique,46.185454,-1.192272,124,4.45,287,4.4,4.61,4.37,4.62,4.66,4.42,4.46,94,quelques heures,84,Logement entier,5,1,2.4,8,Host_5570,2019,True,False,https://www.airbnb.fr/rooms/la rochelle_000004,detailed_ratings,2023-10-18,22,13,61,4,272
la rochelle_000005,La Rochelle,Appartement entier au cœur de La Rochelle,46.171059,-1.097981,164,4.53,165,4.5,4.69,4.47,4.43,4.64,4.74,4.34,87,quelques heures,98,Logement entier,1,1,1.4,2,Host_78238,2020,False,True,https://www.airbnb.fr/rooms/la rochelle_000005,detailed_ratings,2022-09-14,23,49,56,6,98
la rochelle_000006,La Rochelle,Hébergement entier - La Rochelle proche gare,46.148797,-1.15032,38,4.42,244,4.4,4.32,4.47,4.47,4.45,4.35,4.29,95,quelques heures,95,Logement entier,3,1,1.2,10,Host_41154,2018,False,False,https://www.airbnb.fr/rooms/la rochelle_000006,detailed_ratings,2024-01-28,22,48,48,7,168
la rochelle_000007,La Rochelle,Superbe chambre à La Rochelle,46.138813,-1.114997,107,4.55,234,4.6,4.66,4.64,4.68,4.73,4.73,4.62,89,quelques heures,87,Chambre privée,5,5,3.0,4,Host_38271,2014,False,True,https://www.airbnb.fr/rooms/la rochelle_000007,detailed_ratings,2024-09-26,18,17,61,5,116
la rochelle_000008,La Rochelle,Hébergement chez l'habitant - La Rochelle centre-ville,46.164777,-1.190435,126,4.5,213,4.5,4.57,4.76,4.37,4.87,4.58,4.46,96,moins d une heure,91,Chambre privée,3,4,1.3,6,Host_50829,2020,False,True,https://www.airbnb.fr/rooms/la rochelle_000008,detailed_ratings,2024-02-16,7,48,86,4,193
la rochelle_000009,La Rochelle,Chambre confortable proche centre-ville La Rochelle,46.18547,-1.097016,45,4.41,266,4.4,4.54,4.31,4.27,4.46,4.7,4.46,97,moins d une heure,90,Chambre privée,5,4,2.2,3,Host_80038,2017,True,True,https://www.airbnb.fr/rooms/la rochelle_000009,detailed_ratings,2024-09-18,7,39,83,4,143
la rochelle_000010,La Rochelle,Hébergement entier - La Rochelle quartier animé,46.146547,-1.139477,133,4.74,173,4.7,4.77,5.0,4.86,5.0,4.69,4.47,99,moins d une heure,100,Logement entier,2,2,2.8,4,Host_71923,2020,True,True,https://www.airbnb.fr/rooms/la rochelle_000010,detailed_ratings,2023-03-15,23,36,71,3,47
la rochelle_000011,La Rochelle,Hébergement entier - La Rochelle proche monuments,46.212623,-1.206442,83,4.72,274,4.7,4.69,4.69,4.6,5.0,4.79,4.51,97,moins de 12 heures,90,Logement entier,3,5,1.2,4,Host_1848,2014,False,True,https://www.airbnb.fr/rooms/la rochelle_000011,detailed_ratings,2022-10-01,22,47,39,4,202
la rochelle_000012,La Rochelle,Hébergement entier - La Rochelle zone calme,46.090369,-1.132142,65,4.66,151,4.7,4.73,4.72,4.73,4.71,4.64,4.53,93,moins de 12 heures,93,Logement entier,1,5,1.2,8,Host_13441,2021,False,True,https://www.airbnb.fr/rooms/la rochelle_000012,detailed_ratings,2023-05-14,1,12,22,4,52
la rochelle_000013,La Rochelle,Typique appartement à La Rochelle,46.239228,-1.223873,88,4.54,53,4.5,4.51,4.54,4.33,4.8,4.75,4.24,98,quelques heures,90,Logement entier,5,5,2.6,8,Host_37778,2017,False,False,https://www.airbnb.fr/rooms/la rochelle_000013,detailed_ratings,2023-12-09,1,24,81,1,102
la rochelle_000014,La Rochelle,Calme loft zone calme,46.12133,-1.075987,44,4.71,90,4.7,4.65,4.82,4.43,4.85,4.75,4.68,87,moins d une heure,83,Logement entier,2,4,2.7,6,Host_4215,2021,False,True,https://www.airbnb.fr/rooms/la rochelle_000014,detailed_ratings,2023-11-07,7,52,80,2,265
la rochelle_000015,La Rochelle,Charmant duplex proche monuments,46.090746,-1.12638,40,4.49,246,4.5,4.4,4.52,4.43,4.51,4.54,4.47,88,quelques heures,100,Logement entier,1,1,1.5,2,Host_71547,2017,False,True,https://www.airbnb.fr/rooms/la rochelle_000015,detailed_ratings,2022-10-03,17,17,83,6,250
la rochelle_000016,La Rochelle,Hébergement chez l'habitant - La Rochelle zone calme,46.130809,-1.176162,133,4.72,27,4.7,4.74,4.76,4.74,5.0,4.93,4.55,100,quelques heures,93,Chambre privée,3,4,2.8,10,Host_94723,2020,False,True,https://www.airbnb.fr/rooms/la rochelle_000016,detailed_ratings,2022-05-25,22,24,30,1,139
la rochelle_000017,La Rochelle,Hébergement chez l'habitant - La Rochelle zone calme,46.079331,-1.065114,84,4.45,115,4.5,4.55,4.71,4.35,4.78,4.46,4.3,85,moins de 12 heures,96,Chambre privée,1,4,1.6,2,Host_86411,2012,True,False,https://www.airbnb.fr/rooms/la rochelle_000017,detailed_ratings,2023-02-17,30,54,78,4,290
la rochelle_000018,La Rochelle,Magnifique studio quartier historique,46.075921,-1.067632,133,4.73,220,4.7,4.91,4.92,4.62,4.81,4.95,4.79,92,moins d une heure,96,Logement entier,3,6,1.0,10,Host_43387,2016,False,True,https://www.airbnb.fr/rooms/la rochelle_000018,detailed_ratings,2024-11-23,10,34,58,2,107
la rochelle_000019,La Rochelle,Loft entier au cœur de La Rochelle,46.152621,-1.059683,40,4.46,111,4.5,4.44,4.7,4.35,4.85,4.63,4.41,91,quelques heures,84,Logement entier,4,4,1.1,6,Host_56444,2013,False,False,https://www.airbnb.fr/rooms/la rochelle_000019,detailed_ratings,2023-12-23,22,16,75,6,319
la rochelle_000020,La Rochelle,Moderne appartement proche commerces,46.257695,-1.183651,62,4.71,32,4.7,4.87,4.83,4.8,4.71,4.78,4.62,95,moins d une heure,83,Logement entier,1,2,1.3,2,Host_76539,2018,False,False,https://www.airbnb.fr/rooms/la rochelle_000020,detailed_ratings,2024-08-28,10,40,54,2,233
la rochelle_000021,La Rochelle,Hébergement chez l'habitant - La Rochelle proche gare,46.12675,-1.157468,121,4.44,273,4.4,4.39,4.69,4.58,4.66,4.72,4.06,97,moins d une heure,96,Chambre privée,1,2,2.6,2,Host_96437,2017,False,True,https://www.airbnb.fr/rooms/la rochelle_000021,detailed_ratings,2024-08-17,23,40,56,2,147
