airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
lille_000001,Lille,Chambre confortable proche proche monuments Lille,50.60131,3.012325,100,4.48,199,4.5,4.64,4.45,4.61,4.78,4.63,4.25,90,quelques heures,93,Chambre privée,3,1,1.9,4,Host_7827,2015,True,True,https://www.airbnb.fr/rooms/lille_000001,detailed_ratings,2022-01-12,6,1,90,1,352
lille_000002,Lille,Typique pied-à-terre proche commerces,50.571802,3.101006,54,4.66,31,4.7,4.76,4.92,4.71,4.95,4.75,4.33,93,moins de 12 heures,93,Logement entier,5,2,2.8,5,Host_89518,2018,True,True,https://www.airbnb.fr/rooms/lille_000002,detailed_ratings,2024-10-25,11,33,28,1,294
lille_000003,Lille,Chambre confortable proche proche commerces Lille,50.665148,3.135897,61,4.45,202,4.4,4.52,4.51,4.15,4.77,4.7,4.05,88,quelques heures,93,Chambre privée,3,1,2.4,3,Host_72556,2017,True,True,https://www.airbnb.fr/rooms/lille_000003,detailed_ratings,2024-06-22,13,10,51,7,268
lille_000004,Lille,Maison entier au cœur de Lille,50.630398,3.095784,32,4.65,163,4.7,4.59,4.9,4.66,4.66,4.85,4.75,89,moins de 12 heures,90,Logement entier,5,3,2.0,9,Host_21160,2019,False,True,https://www.airbnb.fr/rooms/lille_000004,detailed_ratings,2022-09-02,4,59,10,4,89
lille_000005,Lille,Hébergement chez l'habitant - Lille quartier animé,50.713439,2.997069,31,4.68,222,4.7,4.82,4.94,4.78,4.77,4.65,4.43,85,quelques heures,81,Chambre privée,1,1,2.2,6,Host_44806,2014,False,True,https://www.airbnb.fr/rooms/lille_000005,detailed_ratings,2022-01-11,29,46,76,2,310
lille_000006,Lille,Hébergement entier - Lille zone calme,50.634257,3.031509,75,4.4,225,4.4,4.5,4.44,4.21,4.74,4.44,4.24,92,moins de 12 heures,100,Logement entier,2,3,1.3,6,Host_7644,2019,False,True,https://www.airbnb.fr/rooms/lille_000006,detailed_ratings,2024-04-22,1,46,18,7,237
lille_000007,Lille,Authentique pied-à-terre à Lille,50.571406,3.083143,108,4.39,45,4.4,4.31,4.42,4.4,4.73,4.45,4.24,99,moins de 12 heures,91,Logement entier,5,6,2.0,4,Host_93768,2023,True,True,https://www.airbnb.fr/rooms/lille_000007,detailed_ratings,2024-08-11,24,42,47,3,197
lille_000008,Lille,Hébergement chez l'habitant - Lille quartier historique,50.543345,3.103308,115,4.61,46,4.6,4.73,4.65,4.61,4.73,4.8,4.68,95,moins d une heure,89,Chambre privée,5,3,2.1,8,Host_69702,2018,False,True,https://www.airbnb.fr/rooms/lille_000008,detailed_ratings,2024-10-21,13,46,52,5,278
lille_000009,Lille,Hébergement chez l'habitant - Lille proche gare,50.714365,2.963603,57,4.73,132,4.7,4.72,4.9,4.73,4.91,4.85,4.71,94,moins de 12 heures,83,Chambre partagée,4,5,2.8,10,Host_30463,2013,False,True,https://www.airbnb.fr/rooms/lille_000009,detailed_ratings,2023-04-04,21,59,3,4,123
lille_000010,Lille,Hébergement entier - Lille zone calme,50.574188,3.123375,65,4.42,258,4.4,4.48,4.49,4.31,4.48,4.38,4.1,94,moins de 12 heures,92,Logement entier,3,3,1.4,8,Host_2691,2019,False,False,https://www.airbnb.fr/rooms/lille_000010,detailed_ratings,2024-03-02,4,52,30,1,169
lille_000011,Lille,Magnifique chambre à Lille,50.584906,3.123166,30,4.46,5,4.5,4.49,4.56,4.34,4.5,4.67,4.18,97,quelques heures,87,Chambre privée,5,6,1.4,8,Host_11465,2014,False,True,https://www.airbnb.fr/rooms/lille_000011,detailed_ratings,2023-09-18,16,60,49,3,327
lille_000012,Lille,Hébergement chez l'habitant - Lille proche monuments,50.684438,3.134088,114,4.45,205,4.5,4.48,4.6,4.65,4.79,4.56,4.19,92,moins de 12 heures,98,Chambre privée,1,5,2.6,8,Host_91901,2023,False,True,https://www.airbnb.fr/rooms/lille_000012,detailed_ratings,2023-01-10,27,35,39,3,120
lille_000013,Lille,Hébergement chez l'habitant - Lille centre-ville,50.60184,3.084941,55,4.59,87,4.6,4.51,4.65,4.36,4.76,4.68,4.52,88,moins de 12 heures,81,Chambre privée,1,3,2.1,7,Host_20821,2012,False,True,https://www.airbnb.fr/rooms/lille_000013,detailed_ratings,2024-12-25,25,45,62,1,321
lille_000014,Lille,Hébergement entier - Lille zone calme,50.577501,2.985679,88,4.55,43,4.6,4.47,4.76,4.63,4.92,4.78,4.34,91,moins d une heure,91,Logement entier,2,3,2.9,2,Host_19908,2020,False,False,https://www.airbnb.fr/rooms/lille_000014,detailed_ratings,2023-02-16,30,1,53,6,174
lille_000015,Lille,Hébergement entier - Lille quartier animé,50.581757,3.041864,112,4.61,279,4.6,4.64,4.77,4.5,4.79,4.56,4.48,97,quelques heures,98,Logement entier,2,3,2.0,9,Host_49626,2015,False,True,https://www.airbnb.fr/rooms/lille_000015,detailed_ratings,2023-08-02,29,18,20,6,129
lille_000016,Lille,Chambre confortable proche centre-ville Lille,50.666513,2.975392,88,4.42,29,4.4,4.57,4.59,4.51,4.73,4.56,4.43,89,quelques heures,90,Chambre privée,2,5,2.2,9,Host_37647,2013,False,True,https://www.airbnb.fr/rooms/lille_000016,detailed_ratings,2022-03-17,9,31,21,3,272
lille_000017,Lille,Hébergement entier - Lille quartier historique,50.560112,2.985407,60,4.59,80,4.6,4.79,4.85,4.7,4.92,4.72,4.47,89,moins de 12 heures,84,Logement entier,5,6,1.7,9,Host_91960,2019,False,False,https://www.airbnb.fr/rooms/lille_000017,detailed_ratings,2022-12-24,1,27,37,6,149
lille_000018,Lille,Maison entier au cœur de Lille,50.594565,3.085203,46,4.53,201,4.5,4.67,4.72,4.4,4.55,4.59,4.51,94,moins d une heure,96,Logement entier,4,6,2.8,8,Host_26686,2016,False,True,https://www.airbnb.fr/rooms/lille_000018,detailed_ratings,2023-02-15,17,13,67,3,59
