airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
lyon_000001,Lyon,Studio entier au cœur de Lyon,45.730063,4.881135,77,4.48,225,4.5,4.48,4.56,4.45,4.8,4.59,4.29,98,moins de 12 heures,91,Logement entier,5,2,1.5,9,Host_57195,2017,True,True,https://www.airbnb.fr/rooms/lyon_000001,detailed_ratings,2024-10-03,9,30,55,1,262
lyon_000002,Lyon,Hébergement entier - Lyon quartier animé,45.672914,4.735973,97,4.42,161,4.4,4.34,4.4,4.26,4.55,4.63,4.29,85,moins d une heure,99,Logement entier,3,6,2.6,9,Host_19090,2016,False,True,https://www.airbnb.fr/rooms/lyon_000002,detailed_ratings,2023-06-19,11,17,83,7,35
lyon_000003,Lyon,Superbe chambre à Lyon,45.808472,4.896779,159,4.74,269,4.7,4.67,4.93,4.59,5.0,4.82,4.67,100,moins d une heure,91,Chambre privée,1,4,2.8,8,Host_59778,2021,True,True,https://www.airbnb.fr/rooms/lyon_000003,detailed_ratings,2024-12-22,2,5,61,6,191
lyon_000004,Lyon,Hébergement chez l'habitant - Lyon proche gare,45.765471,4.753011,83,4.58,77,4.6,4.53,4.5,4.75,4.59,4.65,4.57,86,moins d une heure,86,Chambre privée,5,6,1.9,8,Host_66063,2013,True,False,https://www.airbnb.fr/rooms/lyon_000004,detailed_ratings,2024-12-18,14,11,61,3,239
lyon_000005,Lyon,Hébergement entier - Lyon centre-ville,45.714337,4.755971,125,4.53,215,4.5,4.64,4.7,4.49,4.9,4.71,4.38,92,quelques heures,80,Logement entier,1,4,3.0,6,Host_63990,2015,False,True,https://www.airbnb.fr/rooms/lyon_000005,detailed_ratings,2023-12-05,2,5,16,1,269
lyon_000006,Lyon,Typique chambre à Lyon,45.687498,4.816793,105,4.48,286,4.5,4.51,4.63,4.29,4.7,4.47,4.41,91,quelques heures,98,Chambre privée,5,5,1.2,9,Host_41554,2019,False,True,https://www.airbnb.fr/rooms/lyon_000006,detailed_ratings,2022-11-14,18,33,20,3,251
lyon_000007,Lyon,Superbe chambre à Lyon,45.672468,4.883017,120,4.73,106,4.7,4.65,4.8,4.87,4.89,5.0,4.68,88,moins d une heure,88,Chambre privée,3,5,1.6,8,Host_19410,2023,False,True,https://www.airbnb.fr/rooms/lyon_000007,detailed_ratings,2024-09-14,2,44,15,3,101
lyon_000008,Lyon,Chambre confortable proche centre-ville Lyon,45.727283,4.81182,55,4.48,56,4.5,4.48,4.53,4.3,4.65,4.39,4.3,88,quelques heures,100,Chambre privée,3,1,2.8,4,Host_48462,2014,False,True,https://www.airbnb.fr/rooms/lyon_000008,detailed_ratings,2023-12-14,12,37,22,1,30
lyon_000009,Lyon,Charmant maison centre-ville,45.856681,4.847471,153,4.52,236,4.5,4.49,4.61,4.62,4.61,4.72,4.38,96,quelques heures,99,Logement entier,3,4,2.9,2,Host_74382,2015,True,True,https://www.airbnb.fr/rooms/lyon_000009,detailed_ratings,2023-09-22,30,35,49,7,293
lyon_000010,Lyon,Calme maison à Lyon,45.805681,4.817959,157,4.57,267,4.6,4.6,4.6,4.7,4.82,4.71,4.64,86,quelques heures,94,Logement entier,3,2,1.1,9,Host_26621,2021,False,True,https://www.airbnb.fr/rooms/lyon_000010,detailed_ratings,2024-07-12,7,22,67,6,218
