airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
marseille_000001,Marseille,Hébergement entier - Marseille zone calme,43.326244,5.324208,35,4.38,272,4.4,4.52,4.39,4.49,4.75,4.42,4.44,87,moins d une heure,98,Logement entier,3,2,1.4,8,Host_77710,2019,False,True,https://www.airbnb.fr/rooms/marseille_000001,detailed_ratings,2022-10-07,6,42,27,7,283
marseille_000002,Marseille,Cosy loft proche monuments,43.361331,5.338051,92,4.68,223,4.7,4.65,4.85,4.53,4.84,4.93,4.34,86,moins d une heure,83,Logement entier,1,5,2.0,3,Host_69194,2022,True,True,https://www.airbnb.fr/rooms/marseille_000002,detailed_ratings,2024-07-26,14,26,55,5,36
marseille_000003,Marseille,Hébergement entier - Marseille proche monuments,43.250853,5.338355,74,4.56,255,4.6,4.47,4.7,4.39,4.82,4.65,4.57,91,moins d une heure,95,Logement entier,2,2,1.3,8,Host_86947,2013,False,True,https://www.airbnb.fr/rooms/marseille_000003,detailed_ratings,2024-03-03,30,18,37,2,318
marseille_000004,Marseille,Loft entier au cœur de Marseille,43.279017,5.358983,111,4.62,82,4.6,4.8,4.65,4.45,4.85,4.66,4.67,97,moins d une heure,91,Logement entier,4,3,2.8,10,Host_4079,2013,False,False,https://www.airbnb.fr/rooms/marseille_000004,detailed_ratings,2022-10-06,7,55,16,3,288
marseille_000005,Marseille,Typique appartement à Marseille,43.303232,5.409315,103,4.69,117,4.7,4.73,4.82,4.87,4.89,4.89,4.77,87,quelques heures,100,Logement entier,3,1,1.6,7,Host_4271,2018,False,False,https://www.airbnb.fr/rooms/marseille_000005,detailed_ratings,2023-04-23,2,27,51,5,163
marseille_000006,Marseille,Typique chambre à Marseille,43.298071,5.282149,74,4.46,34,4.5,4.63,4.57,4.48,4.72,4.4,4.1,85,moins de 12 heures,91,Chambre privée,5,4,2.0,5,Host_66636,2017,False,True,https://www.airbnb.fr/rooms/marseille_000006,detailed_ratings,2024-09-24,30,4,48,1,227
marseille_000007,Marseille,Lumineux loft zone calme,43.341361,5.288885,40,4.45,9,4.5,4.62,4.44,4.28,4.65,4.47,4.08,88,quelques heures,89,Logement entier,2,5,1.3,7,Host_74804,2020,False,True,https://www.airbnb.fr/rooms/marseille_000007,detailed_ratings,2023-02-04,3,10,61,3,203
marseille_000008,Marseille,Charmant loft proche monuments,43.213133,5.284127,137,4.65,84,4.6,4.73,4.78,4.48,4.86,4.83,4.73,95,quelques heures,83,Logement entier,5,2,2.0,8,Host_55628,2020,True,True,https://www.airbnb.fr/rooms/marseille_000008,detailed_ratings,2024-01-14,7,60,86,1,324
marseille_000009,Marseille,Duplex entier au cœur de Marseille,43.218067,5.316833,69,4.73,60,4.7,4.9,4.96,4.58,4.95,4.64,4.44,92,quelques heures,87,Logement entier,2,2,1.7,8,Host_25727,2020,True,False,https://www.airbnb.fr/rooms/marseille_000009,detailed_ratings,2024-11-17,16,26,76,5,59
marseille_000010,Marseille,Hébergement entier - Marseille proche commerces,43.278932,5.451901,143,4.48,258,4.5,4.43,4.42,4.6,4.74,4.72,4.44,93,moins d une heure,82,Logement entier,1,4,2.0,9,Host_64067,2017,True,True,https://www.airbnb.fr/rooms/marseille_000010,detailed_ratings,2023-01-03,7,41,58,3,269
