airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
montpellier_000001,Montpellier,Authentique duplex centre-ville,43.69636,3.921836,57,4.59,116,4.6,4.63,4.59,4.65,4.86,4.79,4.43,90,moins de 12 heures,95,Logement entier,4,6,2.3,4,Host_22923,2017,False,True,https://www.airbnb.fr/rooms/montpellier_000001,detailed_ratings,2024-04-06,8,11,60,7,266
montpellier_000002,Montpellier,Hébergement entier - Montpellier proche gare,43.65209,3.798629,93,4.55,1,4.6,4.71,4.84,4.72,4.86,4.8,4.4,95,quelques heures,90,Logement entier,4,1,1.7,8,Host_88964,2015,False,False,https://www.airbnb.fr/rooms/montpellier_000002,detailed_ratings,2023-04-06,29,20,82,5,112
montpellier_000003,Montpellier,Hébergement chez l'habitant - Montpellier quartier historique,43.569177,3.835528,74,4.72,197,4.7,4.72,5.0,4.48,5.0,4.84,4.39,91,quelques heures,89,Chambre privée,2,4,1.9,3,Host_33238,2014,True,True,https://www.airbnb.fr/rooms/montpellier_000003,detailed_ratings,2022-10-07,25,36,49,1,319
montpellier_000004,Montpellier,Calme maison centre-ville,43.630258,3.946262,29,4.44,251,4.4,4.38,4.64,4.44,4.71,4.38,4.1,92,moins d une heure,92,Logement entier,2,1,1.8,9,Host_57537,2021,True,False,https://www.airbnb.fr/rooms/montpellier_000004,detailed_ratings,2024-05-18,7,58,62,6,122
montpellier_000005,Montpellier,Duplex entier au cœur de Montpellier,43.664404,3.970717,54,4.7,110,4.7,4.85,4.87,4.88,5.0,4.63,4.49,96,quelques heures,80,Logement entier,4,3,1.3,6,Host_64117,2014,False,False,https://www.airbnb.fr/rooms/montpellier_000005,detailed_ratings,2022-05-27,29,4,39,4,62
montpellier_000006,Montpellier,Superbe chambre à Montpellier,43.659864,3.895583,112,4.46,27,4.5,4.47,4.54,4.44,4.47,4.69,4.31,97,moins de 12 heures,97,Chambre privée,5,3,2.5,6,Host_7796,2012,True,True,https://www.airbnb.fr/rooms/montpellier_000006,detailed_ratings,2022-09-24,15,10,34,4,167
montpellier_000007,Montpellier,Pied-à-terre entier au cœur de Montpellier,43.558479,3.852201,113,4.37,90,4.4,4.44,4.36,4.08,4.59,4.6,4.46,90,moins de 12 heures,90,Logement entier,4,3,1.7,7,Host_30024,2018,False,False,https://www.airbnb.fr/rooms/montpellier_000007,detailed_ratings,2023-11-19,5,59,31,4,294
montpellier_000008,Montpellier,Hébergement entier - Montpellier zone calme,43.6657,3.790989,69,4.46,214,4.5,4.42,4.49,4.24,4.54,4.57,4.09,85,moins d une heure,93,Logement entier,4,2,2.1,10,Host_75924,2020,False,True,https://www.airbnb.fr/rooms/montpellier_000008,detailed_ratings,2024-03-25,4,56,89,1,244
montpellier_000009,Montpellier,Superbe maison à Montpellier,43.703072,3.868828,114,4.57,135,4.6,4.68,4.5,4.51,4.91,4.62,4.28,99,quelques heures,99,Logement entier,2,4,2.2,10,Host_43670,2018,False,True,https://www.airbnb.fr/rooms/montpellier_000009,detailed_ratings,2024-05-03,10,1,67,5,148
montpellier_000010,Montpellier,Hébergement chez l'habitant - Montpellier zone calme,43.688929,3.778686,58,4.64,27,4.6,4.82,4.6,4.36,4.71,4.75,4.45,86,quelques heures,86,Chambre privée,2,5,2.0,4,Host_24301,2015,False,True,https://www.airbnb.fr/rooms/montpellier_000010,detailed_ratings,2022-10-28,3,36,52,4,144
