airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
nantes_000001,Nantes,Spacieux appartement zone calme,47.186593,-1.513795,121,4.45,82,4.5,4.49,4.56,4.34,4.5,4.71,4.4,89,quelques heures,96,Logement entier,3,4,1.5,5,Host_64678,2017,False,True,https://www.airbnb.fr/rooms/nantes_000001,detailed_ratings,2022-07-08,0,0,52,1,120
nantes_000002,Nantes,Spacieux loft proche commerces,47.24406,-1.531539,70,4.75,154,4.7,4.91,4.66,4.52,4.99,4.84,4.36,94,moins d une heure,88,Logement entier,5,4,2.9,7,Host_47596,2018,False,True,https://www.airbnb.fr/rooms/nantes_000002,detailed_ratings,2023-08-28,0,4,11,4,273
nantes_000003,Nantes,Chambre confortable proche quartier animé Nantes,47.224652,-1.575472,68,4.65,256,4.6,4.73,4.59,4.51,4.68,4.79,4.51,96,quelques heures,99,Chambre privée,2,2,2.5,2,Host_11842,2017,False,False,https://www.airbnb.fr/rooms/nantes_000003,detailed_ratings,2023-12-20,6,49,63,7,253
nantes_000004,Nantes,Cosy chambre à Nantes,47.177364,-1.498355,93,4.37,57,4.4,4.36,4.38,4.53,4.43,4.4,4.35,97,moins de 12 heures,97,Chambre privée,4,2,2.6,7,Host_54067,2012,True,True,https://www.airbnb.fr/rooms/nantes_000004,detailed_ratings,2024-02-16,5,47,85,7,183
nantes_000005,Nantes,Chambre confortable proche proche gare Nantes,47.206459,-1.529923,104,4.37,62,4.4,4.32,4.62,4.4,4.58,4.49,4.12,92,quelques heures,87,Chambre partagée,5,3,2.3,3,Host_40360,2013,False,False,https://www.airbnb.fr/rooms/nantes_000005,detailed_ratings,2024-03-15,6,37,80,1,262
nantes_000006,Nantes,Appartement entier au cœur de Nantes,47.189783,-1.509091,60,4.48,18,4.5,4.44,4.69,4.54,4.82,4.4,4.28,95,moins de 12 heures,95,Logement entier,4,3,1.1,9,Host_65562,2020,False,True,https://www.airbnb.fr/rooms/nantes_000006,detailed_ratings,2022-03-25,17,24,29,6,302
nantes_000007,Nantes,Hébergement chez l'habitant - Nantes centre-ville,47.198823,-1.472287,62,4.36,263,4.4,4.29,4.62,4.53,4.72,4.29,4.41,86,moins de 12 heures,82,Chambre privée,2,1,2.4,7,Host_76369,2019,False,True,https://www.airbnb.fr/rooms/nantes_000007,detailed_ratings,2024-03-07,7,28,76,3,326
nantes_000008,Nantes,Chambre confortable proche quartier animé Nantes,47.298115,-1.526243,89,4.7,1,4.7,4.74,4.98,4.63,4.76,4.63,4.58,100,moins d une heure,89,Chambre privée,2,5,2.1,3,Host_50755,2019,False,True,https://www.airbnb.fr/rooms/nantes_000008,detailed_ratings,2022-05-13,30,49,63,3,106
nantes_000009,Nantes,Hébergement entier - Nantes proche monuments,47.196275,-1.639181,38,4.36,188,4.4,4.48,4.62,4.07,4.45,4.27,4.24,100,quelques heures,94,Logement entier,3,5,2.1,3,Host_65503,2015,True,False,https://www.airbnb.fr/rooms/nantes_000009,detailed_ratings,2024-09-17,10,9,47,4,304
nantes_000010,Nantes,Hébergement entier - Nantes centre-ville,47.120281,-1.57912,69,4.68,13,4.7,4.62,4.67,4.51,4.77,4.87,4.37,85,moins d une heure,82,Logement entier,2,1,2.0,3,Host_19247,2020,False,True,https://www.airbnb.fr/rooms/nantes_000010,detailed_ratings,2022-06-12,7,52,60,2,148
