airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
nice_000001,Nice,Cosy appartement proche gare,43.706433,7.266693,158,4.5,95,4.5,4.48,4.6,4.55,4.73,4.71,4.4,100,quelques heures,90,Logement entier,3,2,1.6,4,Host_73665,2017,True,True,https://www.airbnb.fr/rooms/nice_000001,detailed_ratings,2022-02-13,8,32,42,3,56
nice_000002,Nice,Maison entier au cœur de Nice,43.793481,7.345168,52,4.61,96,4.6,4.61,4.62,4.46,4.85,4.66,4.6,88,moins d une heure,97,Logement entier,4,5,2.9,5,Host_30256,2018,False,True,https://www.airbnb.fr/rooms/nice_000002,detailed_ratings,2024-02-23,27,7,26,2,172
nice_000003,Nice,Hébergement entier - Nice proche gare,43.640753,7.286736,162,4.41,135,4.4,4.59,4.44,4.19,4.66,4.35,4.35,89,quelques heures,86,Logement entier,4,2,1.1,4,Host_97743,2012,False,False,https://www.airbnb.fr/rooms/nice_000003,detailed_ratings,2023-04-18,24,35,24,6,313
nice_000004,Nice,Hébergement chez l'habitant - Nice centre-ville,43.643442,7.168763,187,4.68,239,4.7,4.73,4.63,4.47,5.0,4.61,4.54,87,quelques heures,99,Chambre privée,2,5,1.3,10,Host_96844,2022,True,True,https://www.airbnb.fr/rooms/nice_000004,detailed_ratings,2024-10-21,8,44,71,5,72
nice_000005,Nice,Magnifique chambre à Nice,43.654711,7.188769,91,4.78,182,4.8,4.89,4.95,4.5,4.99,4.78,4.45,88,moins de 12 heures,91,Chambre privée,2,3,1.4,4,Host_26967,2015,False,True,https://www.airbnb.fr/rooms/nice_000005,detailed_ratings,2024-07-25,16,5,71,2,242
nice_000006,Nice,Hébergement entier - Nice proche gare,43.752912,7.181335,133,4.45,38,4.5,4.54,4.75,4.43,4.71,4.65,4.1,90,moins d une heure,99,Logement entier,4,1,1.9,6,Host_62900,2021,False,True,https://www.airbnb.fr/rooms/nice_000006,detailed_ratings,2024-08-08,26,8,85,1,302
nice_000007,Nice,Hébergement chez l'habitant - Nice proche commerces,43.749409,7.162833,182,4.57,298,4.6,4.67,4.8,4.3,4.78,4.86,4.25,99,quelques heures,89,Chambre privée,2,3,2.8,9,Host_95780,2015,False,True,https://www.airbnb.fr/rooms/nice_000007,detailed_ratings,2023-06-18,1,9,67,2,288
nice_000008,Nice,Chambre confortable proche proche gare Nice,43.652823,7.218735,72,4.48,4,4.5,4.6,4.54,4.39,4.79,4.49,4.16,85,moins d une heure,99,Chambre privée,4,5,1.6,9,Host_68803,2019,False,True,https://www.airbnb.fr/rooms/nice_000008,detailed_ratings,2024-04-17,29,10,58,2,357
nice_000009,Nice,Typique loft proche monuments,43.739871,7.357922,165,4.62,167,4.6,4.57,4.63,4.72,4.98,4.87,4.46,89,moins de 12 heures,84,Logement entier,1,6,3.0,9,Host_14866,2017,True,False,https://www.airbnb.fr/rooms/nice_000009,detailed_ratings,2024-12-28,30,1,63,2,206
nice_000010,Nice,Studio entier au cœur de Nice,43.69728,7.232838,181,4.71,68,4.7,4.74,4.64,4.87,4.92,4.93,4.75,94,moins d une heure,94,Logement entier,1,4,1.2,8,Host_30980,2018,True,False,https://www.airbnb.fr/rooms/nice_000010,detailed_ratings,2022-02-15,27,56,9,6,353
