airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
paris_000001,Paris,Chambre confortable proche quartier animé Paris,48.859018,2.330506,108,4.6,193,4.6,4.61,4.84,4.63,4.75,4.89,4.41,93,moins d une heure,82,Chambre privée,5,4,2.3,6,Host_30962,2017,False,True,https://www.airbnb.fr/rooms/paris_000001,detailed_ratings,2024-09-20,9,17,44,3,339
paris_000002,Paris,Magnifique maison à Paris,48.933942,2.363752,136,4.82,52,4.8,4.89,4.73,4.96,5.0,4.96,4.8,99,moins d une heure,92,Logement entier,5,2,2.6,9,Host_33440,2012,True,False,https://www.airbnb.fr/rooms/paris_000002,detailed_ratings,2024-02-15,3,49,17,3,90
paris_000003,Paris,Calme duplex à Paris,48.820232,2.281823,100,4.7,243,4.7,4.63,4.99,4.68,4.9,4.96,4.72,88,quelques heures,96,Logement entier,4,1,2.9,6,Host_55908,2018,False,True,https://www.airbnb.fr/rooms/paris_000003,detailed_ratings,2024-06-19,27,52,60,3,63
paris_000004,Paris,Hébergement chez l'habitant - Paris zone calme,48.820186,2.25813,194,4.7,124,4.7,4.64,4.63,4.57,4.86,5.0,4.67,89,moins de 12 heures,93,Chambre privée,5,4,1.1,5,Host_2620,2021,True,False,https://www.airbnb.fr/rooms/paris_000004,detailed_ratings,2024-09-23,3,4,6,4,266
paris_000005,Paris,Hébergement chez l'habitant - Paris quartier historique,48.816564,2.30406,119,4.44,56,4.4,4.49,4.47,4.56,4.44,4.59,4.32,87,moins d une heure,96,Chambre privée,2,4,1.4,10,Host_29736,2014,True,True,https://www.airbnb.fr/rooms/paris_000005,detailed_ratings,2024-08-06,11,45,55,5,337
paris_000006,Paris,Hébergement entier - Paris proche monuments,48.839527,2.269212,144,4.75,236,4.7,4.94,4.77,4.45,5.0,5.0,4.36,98,moins d une heure,96,Logement entier,4,6,2.8,7,Host_77764,2014,False,True,https://www.airbnb.fr/rooms/paris_000006,detailed_ratings,2023-05-05,15,40,23,2,324
paris_000007,Paris,Pied-à-terre entier au cœur de Paris,48.91529,2.337661,185,4.42,228,4.4,4.34,4.64,4.18,4.48,4.46,4.15,85,moins d une heure,85,Logement entier,2,6,2.5,5,Host_78285,2014,False,True,https://www.airbnb.fr/rooms/paris_000007,detailed_ratings,2022-03-02,9,4,23,5,94
paris_000008,Paris,Appartement entier au cœur de Paris,48.852425,2.291453,230,4.8,32,4.8,4.8,4.82,4.85,5.0,4.77,4.73,100,quelques heures,90,Logement entier,3,1,2.5,7,Host_60625,2017,False,True,https://www.airbnb.fr/rooms/paris_000008,detailed_ratings,2023-02-19,13,47,4,2,39
paris_000009,Paris,Charmant appartement proche gare,48.892519,2.4512,142,4.65,181,4.7,4.83,4.77,4.55,5.0,4.88,4.46,100,moins de 12 heures,91,Logement entier,2,3,1.2,7,Host_76317,2012,False,True,https://www.airbnb.fr/rooms/paris_000009,detailed_ratings,2023-03-05,19,21,43,3,144
paris_000010,Paris,Chambre confortable proche zone calme Paris,48.909321,2.401688,178,4.79,220,4.8,4.91,4.74,4.67,5.0,4.72,4.55,95,quelques heures,98,Chambre privée,5,5,2.1,8,Host_83824,2023,False,False,https://www.airbnb.fr/rooms/paris_000010,detailed_ratings,2022-12-09,10,20,44,3,147
paris_000011,Paris,Authentique duplex à Paris,48.849783,2.3168,141,4.76,149,4.8,4.89,5.0,4.61,4.9,5.0,4.46,89,moins d une heure,90,Logement entier,4,2,2.2,7,Host_53551,2014,False,True,https://www.airbnb.fr/rooms/paris_000011,detailed_ratings,2023-09-10,2,36,87,7,165
paris_000012,Paris,Magnifique appartement à Paris,48.86271,2.416456,129,4.65,205,4.7,4.67,4.68,4.59,4.87,4.74,4.47,93,quelques heures,96,Logement entier,3,6,1.1,4,Host_83458,2012,False,True,https://www.airbnb.fr/rooms/paris_000012,detailed_ratings,2023-02-05,21,37,85,6,167
paris_000013,Paris,Hébergement chez l'habitant - Paris quartier historique,48.956345,2.394784,192,4.79,206,4.8,4.86,4.89,4.77,4.83,4.81,4.66,87,moins d une heure,92,Chambre privée,2,1,2.1,3,Host_29089,2021,True,True,https://www.airbnb.fr/rooms/paris_000013,detailed_ratings,2023-01-19,29,0,2,2,45
paris_000014,Paris,Authentique chambre à Paris,48.777915,2.273363,212,4.58,193,4.6,4.77,4.49,4.36,4.96,4.5,4.23,93,quelques heures,82,Chambre privée,2,2,2.9,10,Host_36335,2014,False,True,https://www.airbnb.fr/rooms/paris_000014,detailed_ratings,2022-02-10,13,7,40,5,79
paris_000015,Paris,Chambre confortable proche quartier historique Paris,48.834518,2.407651,177,4.51,37,4.5,4.45,4.42,4.49,4.51,4.41,4.37,98,moins d une heure,85,Chambre privée,4,5,2.9,6,Host_74629,2018,True,True,https://www.airbnb.fr/rooms/paris_000015,detailed_ratings,2023-02-09,14,28,44,6,127
paris_000016,Paris,Hébergement entier - Paris zone calme,48.831809,2.307497,144,4.75,71,4.8,4.86,4.82,4.59,4.98,4.7,4.79,86,quelques heures,89,Logement entier,5,2,1.3,6,Host_95018,2022,True,True,https://www.airbnb.fr/rooms/paris_000016,detailed_ratings,2022-08-14,6,23,50,2,365
paris_000017,Paris,Cosy chambre à Paris,48.800071,2.35449,211,4.54,116,4.5,4.67,4.49,4.48,4.68,4.76,4.34,95,moins de 12 heures,99,Chambre privée,2,5,2.8,3,Host_37883,2012,False,True,https://www.airbnb.fr/rooms/paris_000017,detailed_ratings,2023-10-18,4,36,52,4,30
paris_000018,Paris,Hébergement chez l'habitant - Paris quartier animé,48.88325,2.255644,116,4.48,188,4.5,4.6,4.63,4.63,4.78,4.4,4.57,89,moins d une heure,90,Chambre privée,4,6,1.7,8,Host_9340,2014,False,True,https://www.airbnb.fr/rooms/paris_000018,detailed_ratings,2024-01-21,11,56,8,1,47
paris_000019,Paris,Studio entier au cœur de Paris,48.788485,2.323372,97,4.54,170,4.5,4.53,4.69,4.36,4.58,4.75,4.28,95,moins d une heure,93,Logement entier,2,6,1.3,10,Host_38584,2022,False,True,https://www.airbnb.fr/rooms/paris_000019,detailed_ratings,2023-03-25,3,49,6,2,78
paris_000020,Paris,Authentique chambre à Paris,48.904483,2.428895,211,4.54,233,4.5,4.55,4.48,4.51,4.9,4.75,4.41,92,quelques heures,82,Chambre privée,3,4,2.3,9,Host_77687,2012,False,True,https://www.airbnb.fr/rooms/paris_000020,detailed_ratings,2022-08-11,4,54,84,4,322
paris_000021,Paris,Duplex entier au cœur de Paris,48.81953,2.3961,239,4.63,64,4.6,4.54,4.75,4.53,4.82,4.9,4.71,98,quelques heures,80,Logement entier,3,2,2.3,10,Host_10974,2015,False,True,https://www.airbnb.fr/rooms/paris_000021,detailed_ratings,2022-12-04,20,30,56,5,37
paris_000022,Paris,Typique chambre à Paris,48.853632,2.301781,227,4.53,105,4.5,4.54,4.47,4.53,4.74,4.68,4.59,98,moins de 12 heures,81,Chambre privée,3,3,1.2,2,Host_71216,2014,False,False,https://www.airbnb.fr/rooms/paris_000022,detailed_ratings,2023-01-10,14,23,33,1,36
paris_000023,Paris,Moderne pied-à-terre proche commerces,48.927347,2.407681,110,4.51,257,4.5,4.63,4.76,4.43,4.61,4.69,4.56,97,moins d une heure,80,Logement entier,4,3,1.2,5,Host_59838,2023,False,True,https://www.airbnb.fr/rooms/paris_000023,detailed_ratings,2023-04-18,17,17,15,5,74
paris_000024,Paris,Chambre confortable proche proche gare Paris,48.777344,2.436009,147,4.62,63,4.6,4.82,4.77,4.59,4.82,4.68,4.37,98,quelques heures,83,Chambre privée,3,1,1.3,10,Host_9968,2018,False,True,https://www.airbnb.fr/rooms/paris_000024,detailed_ratings,2022-07-26,3,34,14,2,333
