airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
saint-malo_000001,Saint-Malo,Cosy maison à Saint-Malo,48.651076,-2.043848,133,4.74,91,4.7,4.67,4.72,4.91,4.75,5.0,4.47,96,quelques heures,80,Logement entier,1,4,1.1,6,Host_61409,2020,False,True,https://www.airbnb.fr/rooms/saint-malo_000001,detailed_ratings,2024-10-10,28,49,24,1,172
saint-malo_000002,Saint-Malo,Pied-à-terre entier au cœur de Saint-Malo,48.694997,-2.017846,62,4.55,170,4.5,4.46,4.68,4.63,4.77,4.84,4.37,94,moins d une heure,80,Logement entier,2,3,1.9,8,Host_77480,2013,False,True,https://www.airbnb.fr/rooms/saint-malo_000002,detailed_ratings,2023-07-19,19,59,25,1,147
saint-malo_000003,Saint-Malo,Pied-à-terre entier au cœur de Saint-Malo,48.735458,-1.981676,108,4.68,243,4.7,4.75,4.84,4.59,4.93,4.65,4.72,93,quelques heures,91,Logement entier,1,5,1.5,8,Host_20975,2013,False,True,https://www.airbnb.fr/rooms/saint-malo_000003,detailed_ratings,2023-09-11,21,48,50,4,283
saint-malo_000004,Saint-Malo,Studio entier au cœur de Saint-Malo,48.681873,-1.970024,144,4.66,66,4.7,4.66,4.71,4.69,5.0,4.92,4.34,98,quelques heures,89,Logement entier,5,6,2.4,2,Host_58708,2014,False,True,https://www.airbnb.fr/rooms/saint-malo_000004,detailed_ratings,2024-12-21,29,28,74,4,325
saint-malo_000005,Saint-Malo,Superbe loft à Saint-Malo,48.586674,-2.072064,57,4.57,111,4.6,4.49,4.7,4.34,4.63,4.68,4.64,98,moins de 12 heures,84,Logement entier,3,2,2.2,7,Host_56849,2016,True,True,https://www.airbnb.fr/rooms/saint-malo_000005,detailed_ratings,2022-12-07,17,5,13,5,144
saint-malo_000006,Saint-Malo,Superbe studio quartier historique,48.695869,-1.92924,151,4.5,124,4.5,4.64,4.46,4.22,4.62,4.66,4.31,99,quelques heures,91,Logement entier,3,6,2.2,2,Host_64308,2017,True,True,https://www.airbnb.fr/rooms/saint-malo_000006,detailed_ratings,2024-02-15,2,15,53,2,175
saint-malo_000007,Saint-Malo,Superbe duplex quartier historique,48.62293,-2.035835,123,4.6,5,4.6,4.77,4.54,4.34,4.79,4.61,4.63,97,quelques heures,81,Logement entier,1,6,2.7,7,Host_44181,2021,True,False,https://www.airbnb.fr/rooms/saint-malo_000007,detailed_ratings,2024-06-18,25,55,3,2,42
saint-malo_000008,Saint-Malo,Calme duplex centre-ville,48.693688,-1.965074,97,4.59,150,4.6,4.6,4.71,4.47,4.84,4.52,4.26,98,quelques heures,92,Logement entier,1,2,2.8,5,Host_4774,2017,False,True,https://www.airbnb.fr/rooms/saint-malo_000008,detailed_ratings,2023-09-27,14,53,46,6,270
saint-malo_000009,Saint-Malo,Charmant pied-à-terre proche commerces,48.622489,-1.968574,88,4.68,250,4.7,4.62,4.89,4.7,4.77,4.64,4.53,91,moins d une heure,96,Logement entier,2,6,1.6,4,Host_20019,2018,True,False,https://www.airbnb.fr/rooms/saint-malo_000009,detailed_ratings,2024-07-01,27,59,34,1,334
saint-malo_000010,Saint-Malo,Hébergement entier - Saint-Malo proche commerces,48.722181,-2.027949,173,4.74,286,4.7,4.65,4.71,4.88,4.87,4.89,4.48,90,moins d une heure,90,Logement entier,3,6,1.6,2,Host_51988,2021,True,True,https://www.airbnb.fr/rooms/saint-malo_000010,detailed_ratings,2024-07-06,16,49,86,7,212
saint-malo_000011,Saint-Malo,Charmant pied-à-terre à Saint-Malo,48.596436,-1.973625,179,4.71,106,4.7,4.64,4.7,4.67,4.91,4.64,4.32,87,moins d une heure,99,Logement entier,2,3,1.6,3,Host_72066,2017,False,True,https://www.airbnb.fr/rooms/saint-malo_000011,detailed_ratings,2024-09-12,12,9,18,5,111
saint-malo_000012,Saint-Malo,Hébergement chez l'habitant - Saint-Malo proche commerces,48.643779,-1.949903,105,4.57,23,4.6,4.59,4.8,4.68,4.8,4.85,4.54,85,moins d une heure,98,Chambre privée,5,3,2.2,9,Host_63951,2015,False,True,https://www.airbnb.fr/rooms/saint-malo_000012,detailed_ratings,2022-05-09,19,37,83,7,231
saint-malo_000013,Saint-Malo,Hébergement entier - Saint-Malo centre-ville,48.730385,-2.052005,43,4.41,49,4.4,4.46,4.45,4.6,4.6,4.7,4.07,95,quelques heures,90,Logement entier,4,3,1.4,4,Host_97988,2021,False,True,https://www.airbnb.fr/rooms/saint-malo_000013,detailed_ratings,2023-05-15,4,1,62,7,228
saint-malo_000014,Saint-Malo,Hébergement entier - Saint-Malo proche monuments,48.679238,-1.980114,140,4.74,47,4.7,4.87,4.81,4.91,4.84,4.99,4.6,96,quelques heures,94,Logement entier,4,4,1.2,9,Host_86867,2014,False,True,https://www.airbnb.fr/rooms/saint-malo_000014,detailed_ratings,2023-09-16,13,39,50,3,103
saint-malo_000015,Saint-Malo,Cosy chambre à Saint-Malo,48.664998,-2.027785,188,4.49,227,4.5,4.63,4.77,4.19,4.84,4.59,4.51,85,quelques heures,95,Chambre privée,3,1,1.3,3,Host_54933,2017,False,True,https://www.airbnb.fr/rooms/saint-malo_000015,detailed_ratings,2023-11-14,17,51,29,5,307
saint-malo_000016,Saint-Malo,Pied-à-terre entier au cœur de Saint-Malo,48.63694,-2.007475,51,4.62,53,4.6,4.72,4.59,4.8,4.92,4.54,4.64,90,moins de 12 heures,97,Logement entier,2,5,2.5,9,Host_19590,2020,True,False,https://www.airbnb.fr/rooms/saint-malo_000016,detailed_ratings,2022-03-14,28,41,24,6,151
saint-malo_000017,Saint-Malo,Moderne pied-à-terre à Saint-Malo,48.664113,-1.954525,140,4.52,282,4.5,4.55,4.66,4.34,4.78,4.56,4.57,85,quelques heures,100,Logement entier,2,5,1.1,5,Host_21888,2017,False,True,https://www.airbnb.fr/rooms/saint-malo_000017,detailed_ratings,2024-04-27,22,55,21,1,77
