airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
strasbourg_000001,Strasbourg,Lumineux maison centre-ville,48.619152,7.820848,86,4.72,12,4.7,4.91,4.67,4.54,4.88,4.91,4.45,95,moins d une heure,91,Logement entier,4,3,1.7,10,Host_55971,2012,False,True,https://www.airbnb.fr/rooms/strasbourg_000001,detailed_ratings,2024-12-07,8,41,37,4,198
strasbourg_000002,Strasbourg,Pied-à-terre entier au cœur de Strasbourg,48.575448,7.658891,103,4.72,297,4.7,4.78,4.75,4.54,4.95,4.97,4.56,99,moins d une heure,91,Logement entier,4,6,2.2,9,Host_46625,2018,False,True,https://www.airbnb.fr/rooms/strasbourg_000002,detailed_ratings,2023-01-05,17,19,87,2,166
strasbourg_000003,Strasbourg,Lumineux chambre à Strasbourg,48.642478,7.736403,130,4.54,241,4.5,4.49,4.5,4.48,4.65,4.59,4.16,96,moins d une heure,85,Chambre privée,3,1,3.0,4,Host_49196,2018,True,True,https://www.airbnb.fr/rooms/strasbourg_000003,detailed_ratings,2024-07-07,23,27,89,7,329
strasbourg_000004,Strasbourg,Moderne appartement proche gare,48.650292,7.713137,90,4.41,185,4.4,4.57,4.45,4.37,4.46,4.55,4.16,87,quelques heures,88,Logement entier,5,5,1.3,8,Host_60564,2014,False,True,https://www.airbnb.fr/rooms/strasbourg_000004,detailed_ratings,2023-05-21,5,6,11,3,148
strasbourg_000005,Strasbourg,Cosy chambre à Strasbourg,48.666526,7.799452,48,4.74,276,4.7,4.79,4.68,4.61,4.94,5.0,4.79,92,quelques heures,83,Chambre privée,5,6,2.7,8,Host_5421,2019,True,True,https://www.airbnb.fr/rooms/strasbourg_000005,detailed_ratings,2024-04-10,30,55,11,4,36
strasbourg_000006,Strasbourg,Hébergement entier - Strasbourg quartier animé,48.479759,7.688348,67,4.61,286,4.6,4.53,4.59,4.44,4.66,4.79,4.35,95,moins de 12 heures,91,Logement entier,1,4,1.9,7,Host_24332,2015,True,False,https://www.airbnb.fr/rooms/strasbourg_000006,detailed_ratings,2022-01-19,24,21,76,5,113
strasbourg_000007,Strasbourg,Calme chambre à Strasbourg,48.601817,7.796599,82,4.76,99,4.8,4.81,4.81,4.9,5.0,4.7,4.74,88,quelques heures,84,Chambre privée,1,4,2.7,2,Host_85476,2019,False,True,https://www.airbnb.fr/rooms/strasbourg_000007,detailed_ratings,2024-10-07,9,48,88,5,136
strasbourg_000008,Strasbourg,Hébergement chez l'habitant - Strasbourg quartier historique,48.653027,7.846678,71,4.38,173,4.4,4.4,4.49,4.12,4.6,4.48,4.11,92,moins de 12 heures,92,Chambre privée,3,2,1.6,4,Host_62590,2018,True,True,https://www.airbnb.fr/rooms/strasbourg_000008,detailed_ratings,2024-10-09,4,22,65,7,203
strasbourg_000009,Strasbourg,Chambre confortable proche quartier animé Strasbourg,48.62838,7.715734,108,4.52,105,4.5,4.55,4.79,4.57,4.63,4.47,4.13,88,moins d une heure,98,Chambre privée,5,4,1.8,9,Host_52126,2020,True,True,https://www.airbnb.fr/rooms/strasbourg_000009,detailed_ratings,2022-08-27,26,0,67,5,40
strasbourg_000010,Strasbourg,Hébergement chez l'habitant - Strasbourg quartier animé,48.583133,7.793446,142,4.5,170,4.5,4.57,4.62,4.5,4.59,4.75,4.53,96,moins de 12 heures,100,Chambre privée,2,2,1.2,8,Host_63953,2012,True,True,https://www.airbnb.fr/rooms/strasbourg_000010,detailed_ratings,2024-01-27,14,1,83,2,354
strasbourg_000011,Strasbourg,Authentique pied-à-terre à Strasbourg,48.475822,7.794168,102,4.41,195,4.4,4.44,4.56,4.41,4.67,4.36,4.42,86,moins de 12 heures,95,Logement entier,1,2,3.0,8,Host_38652,2017,True,True,https://www.airbnb.fr/rooms/strasbourg_000011,detailed_ratings,2024-05-08,1,2,86,4,286
strasbourg_000012,Strasbourg,Pied-à-terre entier au cœur de Strasbourg,48.557396,7.661462,147,4.69,30,4.7,4.61,4.82,4.4,5.0,4.69,4.34,87,moins de 12 heures,83,Logement entier,1,4,1.1,9,Host_99505,2014,True,True,https://www.airbnb.fr/rooms/strasbourg_000012,detailed_ratings,2022-12-17,28,33,60,5,131
strasbourg_000013,Strasbourg,Lumineux loft centre-ville,48.491558,7.674953,138,4.59,86,4.6,4.5,4.83,4.37,4.75,4.78,4.61,97,moins d une heure,94,Logement entier,5,4,2.3,3,Host_52814,2017,False,True,https://www.airbnb.fr/rooms/strasbourg_000013,detailed_ratings,2022-11-18,22,24,81,4,255
strasbourg_000014,Strasbourg,Hébergement chez l'habitant - Strasbourg quartier historique,48.478392,7.710399,66,4.44,196,4.4,4.38,4.69,4.36,4.5,4.53,4.39,88,moins de 12 heures,88,Chambre privée,4,1,2.1,7,Host_95664,2012,False,False,https://www.airbnb.fr/rooms/strasbourg_000014,detailed_ratings,2024-12-18,26,27,51,7,239
strasbourg_000015,Strasbourg,Authentique chambre à Strasbourg,48.502135,7.712026,120,4.72,299,4.7,4.83,4.86,4.87,5.0,5.0,4.65,85,moins d une heure,93,Chambre partagée,3,5,1.1,7,Host_55024,2017,False,False,https://www.airbnb.fr/rooms/strasbourg_000015,detailed_ratings,2023-01-03,17,5,13,4,148
strasbourg_000016,Strasbourg,Hébergement entier - Strasbourg zone calme,48.492965,7.730561,95,4.64,2,4.6,4.79,4.57,4.44,4.93,4.85,4.56,94,quelques heures,95,Logement entier,5,2,1.4,3,Host_12612,2016,True,False,https://www.airbnb.fr/rooms/strasbourg_000016,detailed_ratings,2024-01-04,7,39,35,6,314
strasbourg_000017,Strasbourg,Hébergement entier - Strasbourg quartier historique,48.661601,7.687197,111,4.71,151,4.7,4.8,4.9,4.88,5.0,4.91,4.49,95,moins de 12 heures,80,Logement entier,2,2,1.6,7,Host_30231,2018,False,True,https://www.airbnb.fr/rooms/strasbourg_000017,detailed_ratings,2023-07-01,3,7,71,1,248
strasbourg_000018,Strasbourg,Hébergement chez l'habitant - Strasbourg proche monuments,48.571322,7.742929,38,4.62,49,4.6,4.56,4.88,4.36,4.98,4.68,4.53,90,moins d une heure,87,Chambre privée,3,4,1.9,2,Host_94373,2013,False,True,https://www.airbnb.fr/rooms/strasbourg_000018,detailed_ratings,2022-05-12,26,1,42,1,365
strasbourg_000019,Strasbourg,Moderne maison à Strasbourg,48.520422,7.699418,122,4.6,252,4.6,4.64,4.71,4.56,4.72,4.55,4.51,93,moins de 12 heures,81,Logement entier,4,6,2.9,7,Host_9678,2021,False,True,https://www.airbnb.fr/rooms/strasbourg_000019,detailed_ratings,2022-11-21,14,39,64,7,69
strasbourg_000020,Strasbourg,Hébergement entier - Strasbourg quartier historique,48.585034,7.682242,72,4.62,275,4.6,4.62,4.68,4.44,4.84,4.73,4.25,89,quelques heures,100,Logement entier,1,1,2.2,2,Host_69246,2020,True,True,https://www.airbnb.fr/rooms/strasbourg_000020,detailed_ratings,2024-11-14,17,37,29,7,286
strasbourg_000021,Strasbourg,Appartement entier au cœur de Strasbourg,48.643868,7.67875,64,4.44,198,4.4,4.44,4.65,4.54,4.68,4.45,4.1,98,moins d une heure,91,Logement entier,3,5,1.3,4,Host_15369,2019,True,True,https://www.airbnb.fr/rooms/strasbourg_000021,detailed_ratings,2023-11-09,12,24,45,2,113
strasbourg_000022,Strasbourg,Magnifique maison à Strasbourg,48.545839,7.822325,138,4.4,152,4.4,4.33,4.55,4.24,4.66,4.53,4.46,95,quelques heures,96,Logement entier,5,4,2.9,9,Host_39129,2022,False,False,https://www.airbnb.fr/rooms/strasbourg_000022,detailed_ratings,2023-03-17,2,29,47,5,127
strasbourg_000023,Strasbourg,Appartement entier au cœur de Strasbourg,48.6239,7.653894,91,4.76,162,4.8,4.76,4.97,4.62,4.86,5.0,4.84,87,quelques heures,96,Logement entier,1,2,2.9,2,Host_52387,2015,False,True,https://www.airbnb.fr/rooms/strasbourg_000023,detailed_ratings,2024-03-12,15,48,37,4,135
strasbourg_000024,Strasbourg,Moderne chambre à Strasbourg,48.613347,7.829942,147,4.63,268,4.6,4.68,4.69,4.73,4.65,4.66,4.62,92,moins d une heure,90,Chambre partagée,2,4,1.8,10,Host_36437,2019,False,True,https://www.airbnb.fr/rooms/strasbourg_000024,detailed_ratings,2024-12-21,0,31,5,7,94
strasbourg_000025,Strasbourg,Typique appartement à Strasbourg,48.651325,7.739974,139,4.65,220,4.7,4.8,4.84,4.8,4.85,4.93,4.49,88,quelques heures,90,Logement entier,5,3,2.6,2,Host_44906,2021,False,True,https://www.airbnb.fr/rooms/strasbourg_000025,detailed_ratings,2024-02-09,7,47,75,6,172
strasbourg_000026,Strasbourg,Magnifique pied-à-terre proche gare,48.639486,7.845274,54,4.67,50,4.7,4.74,4.61,4.69,4.72,4.63,4.61,90,moins d une heure,88,Logement entier,5,6,2.6,6,Host_6799,2017,False,True,https://www.airbnb.fr/rooms/strasbourg_000026,detailed_ratings,2022-10-12,26,46,57,1,331
strasbourg_000027,Strasbourg,Typique studio proche gare,48.549108,7.760041,84,4.74,285,4.7,4.79,4.79,4.86,4.89,4.7,4.37,92,quelques heures,100,Logement entier,2,5,2.4,4,Host_24451,2023,False,True,https://www.airbnb.fr/rooms/strasbourg_000027,detailed_ratings,2022-05-26,0,37,29,6,140
strasbourg_000028,Strasbourg,Hébergement chez l'habitant - Strasbourg proche gare,48.623527,7.766884,148,4.46,30,4.5,4.49,4.58,4.62,4.52,4.48,4.53,98,moins d une heure,93,Chambre privée,5,1,2.3,5,Host_18559,2021,False,True,https://www.airbnb.fr/rooms/strasbourg_000028,detailed_ratings,2022-05-28,28,25,64,5,173
strasbourg_000029,Strasbourg,Appartement entier au cœur de Strasbourg,48.548445,7.828981,118,4.48,265,4.5,4.47,4.4,4.33,4.77,4.57,4.4,87,moins d une heure,87,Logement entier,5,3,1.5,2,Host_33410,2014,False,True,https://www.airbnb.fr/rooms/strasbourg_000029,detailed_ratings,2024-11-01,4,60,25,2,318
strasbourg_000030,Strasbourg,Hébergement entier - Strasbourg quartier historique,48.491099,7.663234,48,4.7,266,4.7,4.62,4.62,4.76,4.9,4.8,4.46,92,moins de 12 heures,82,Logement entier,4,1,1.3,8,Host_45085,2020,False,True,https://www.airbnb.fr/rooms/strasbourg_000030,detailed_ratings,2022-06-20,1,19,89,6,58
strasbourg_000031,Strasbourg,Moderne chambre à Strasbourg,48.599294,7.655581,100,4.38,215,4.4,4.39,4.46,4.49,4.58,4.31,4.26,93,moins de 12 heures,85,Chambre privée,3,1,2.5,4,Host_40061,2022,True,True,https://www.airbnb.fr/rooms/strasbourg_000031,detailed_ratings,2023-01-27,1,29,0,7,31
strasbourg_000032,Strasbourg,Chambre confortable proche quartier animé Strasbourg,48.66878,7.763157,135,4.45,259,4.4,4.46,4.38,4.2,4.5,4.58,4.34,88,moins d une heure,98,Chambre privée,5,5,2.1,2,Host_22298,2021,False,True,https://www.airbnb.fr/rooms/strasbourg_000032,detailed_ratings,2024-05-15,11,0,77,7,261
strasbourg_000033,Strasbourg,Pied-à-terre entier au cœur de Strasbourg,48.630551,7.653288,136,4.51,111,4.5,4.68,4.46,4.54,4.56,4.74,4.49,86,moins d une heure,93,Logement entier,3,1,1.2,6,Host_39984,2021,False,False,https://www.airbnb.fr/rooms/strasbourg_000033,detailed_ratings,2023-11-23,29,13,15,6,361
strasbourg_000034,Strasbourg,Hébergement chez l'habitant - Strasbourg proche monuments,48.47516,7.798833,40,4.74,273,4.7,4.85,4.77,4.69,4.97,4.9,4.39,92,quelques heures,86,Chambre privée,2,2,1.2,4,Host_11257,2017,False,True,https://www.airbnb.fr/rooms/strasbourg_000034,detailed_ratings,2023-07-10,9,15,33,3,85
strasbourg_000035,Strasbourg,Hébergement chez l'habitant - Strasbourg proche monuments,48.671051,7.700289,121,4.74,209,4.7,4.78,4.95,4.55,5.0,4.71,4.47,88,moins de 12 heures,86,Chambre privée,4,1,2.1,9,Host_5649,2018,True,True,https://www.airbnb.fr/rooms/strasbourg_000035,detailed_ratings,2023-10-25,16,34,45,7,70
strasbourg_000036,Strasbourg,Moderne appartement à Strasbourg,48.5208,7.774577,146,4.76,268,4.8,4.91,4.69,4.54,4.84,4.76,4.53,88,moins de 12 heures,92,Logement entier,4,4,1.6,10,Host_97592,2015,True,True,https://www.airbnb.fr/rooms/strasbourg_000036,detailed_ratings,2024-09-10,30,11,3,2,361
strasbourg_000037,Strasbourg,Studio entier au cœur de Strasbourg,48.539246,7.803628,36,4.57,276,4.6,4.63,4.78,4.75,4.78,4.5,4.18,86,moins d une heure,87,Logement entier,1,5,1.9,6,Host_28176,2014,True,True,https://www.airbnb.fr/rooms/strasbourg_000037,detailed_ratings,2022-04-22,16,49,67,6,199
strasbourg_000038,Strasbourg,Magnifique chambre à Strasbourg,48.495126,7.677173,109,4.52,25,4.5,4.62,4.51,4.49,4.76,4.73,4.54,96,quelques heures,80,Chambre privée,1,4,2.3,4,Host_72862,2018,False,True,https://www.airbnb.fr/rooms/strasbourg_000038,detailed_ratings,2023-03-11,19,31,54,1,202
strasbourg_000039,Strasbourg,Cosy loft à Strasbourg,48.4861,7.784709,49,4.49,200,4.5,4.49,4.57,4.48,4.6,4.56,4.13,93,moins de 12 heures,87,Logement entier,5,6,2.0,4,Host_51598,2013,True,True,https://www.airbnb.fr/rooms/strasbourg_000039,detailed_ratings,2024-05-26,16,15,77,3,300
strasbourg_000040,Strasbourg,Hébergement chez l'habitant - Strasbourg quartier historique,48.473711,7.748704,125,4.6,272,4.6,4.66,4.67,4.77,4.79,4.86,4.22,95,quelques heures,89,Chambre privée,5,5,1.2,4,Host_5312,2016,False,True,https://www.airbnb.fr/rooms/strasbourg_000040,detailed_ratings,2023-10-19,17,33,90,6,206
strasbourg_000041,Strasbourg,Magnifique studio à Strasbourg,48.6229,7.79031,96,4.61,45,4.6,4.64,4.59,4.43,4.64,4.59,4.66,90,moins de 12 heures,84,Logement entier,1,1,1.5,3,Host_30815,2014,True,True,https://www.airbnb.fr/rooms/strasbourg_000041,detailed_ratings,2024-06-19,6,29,87,2,160
strasbourg_000042,Strasbourg,Hébergement entier - Strasbourg quartier animé,48.635196,7.755858,142,4.48,153,4.5,4.47,4.49,4.29,4.52,4.62,4.52,99,moins d une heure,88,Logement entier,5,3,2.1,6,Host_44069,2022,False,True,https://www.airbnb.fr/rooms/strasbourg_000042,detailed_ratings,2022-09-22,26,42,83,5,130
strasbourg_000043,Strasbourg,Magnifique appartement quartier animé,48.586918,7.731006,58,4.56,70,4.6,4.66,4.78,4.56,4.74,4.86,4.36,99,quelques heures,98,Logement entier,3,1,2.6,3,Host_94658,2014,False,True,https://www.airbnb.fr/rooms/strasbourg_000043,detailed_ratings,2022-12-27,11,4,68,5,126
strasbourg_000044,Strasbourg,Chambre confortable proche quartier animé Strasbourg,48.481859,7.824613,140,4.49,37,4.5,4.55,4.55,4.66,4.52,4.6,4.21,88,quelques heures,100,Chambre privée,2,6,2.0,9,Host_10115,2016,False,True,https://www.airbnb.fr/rooms/strasbourg_000044,detailed_ratings,2022-07-17,0,20,67,4,151
