airbnb_id,city,name,latitude,longitude,price,rating_overall,reviews_count,rating_stars,rating_accuracy,rating_communication,rating_cleanliness,rating_location,rating_checkin,rating_value,response_rate,response_time,acceptance_rate,room_type,bedrooms,beds,bathrooms,person_capacity,host_name,host_since,is_superhost,host_verified,url,data_source,last_review_date,availability_30,availability_60,availability_90,minimum_nights,maximum_nights
toulouse_000001,Toulouse,Spacieux studio à Toulouse,43.571918,1.422639,105,4.36,113,4.4,4.56,4.28,4.45,4.49,4.32,4.1,91,moins de 12 heures,95,Logement entier,1,3,2.1,10,Host_32701,2019,False,True,https://www.airbnb.fr/rooms/toulouse_000001,detailed_ratings,2024-06-03,8,32,1,6,266
toulouse_000002,Toulouse,Chambre confortable proche zone calme Toulouse,43.576033,1.450706,78,4.59,94,4.6,4.75,4.68,4.75,4.68,4.6,4.5,91,moins d une heure,96,Chambre privée,3,5,1.9,9,Host_87584,2013,True,True,https://www.airbnb.fr/rooms/toulouse_000002,detailed_ratings,2023-02-08,23,12,10,7,77
toulouse_000003,Toulouse,Typique pied-à-terre proche monuments,43.548413,1.399492,122,4.63,68,4.6,4.68,4.62,4.78,4.77,4.56,4.48,97,moins de 12 heures,95,Logement entier,2,1,2.1,2,Host_85629,2014,False,False,https://www.airbnb.fr/rooms/toulouse_000003,detailed_ratings,2024-02-28,27,57,76,3,276
toulouse_000004,Toulouse,Hébergement chez l'habitant - Toulouse quartier animé,43.660962,1.433195,103,4.4,211,4.4,4.46,4.42,4.24,4.73,4.39,4.25,90,quelques heures,85,Chambre privée,5,1,1.5,6,Host_1100,2020,False,True,https://www.airbnb.fr/rooms/toulouse_000004,detailed_ratings,2024-05-04,26,53,48,7,142
toulouse_000005,Toulouse,Magnifique maison centre-ville,43.511416,1.499707,61,4.65,201,4.6,4.8,4.89,4.67,4.73,4.89,4.54,86,moins de 12 heures,92,Logement entier,5,2,2.0,10,Host_71279,2020,False,False,https://www.airbnb.fr/rooms/toulouse_000005,detailed_ratings,2024-12-13,23,55,36,3,142
toulouse_000006,Toulouse,Chambre confortable proche proche commerces Toulouse,43.569676,1.525222,125,4.42,262,4.4,4.45,4.44,4.29,4.77,4.5,4.16,94,moins d une heure,95,Chambre privée,4,2,1.4,9,Host_70564,2021,False,True,https://www.airbnb.fr/rooms/toulouse_000006,detailed_ratings,2024-01-22,11,27,22,3,58
toulouse_000007,Toulouse,Typique studio à Toulouse,43.524441,1.371541,75,4.67,269,4.7,4.73,4.72,4.53,5.0,4.64,4.54,95,moins d une heure,80,Logement entier,2,5,1.4,6,Host_44953,2016,False,False,https://www.airbnb.fr/rooms/toulouse_000007,detailed_ratings,2023-03-21,6,22,84,5,178
toulouse_000008,Toulouse,Chambre confortable proche zone calme Toulouse,43.557525,1.42461,99,4.73,43,4.7,4.84,4.63,4.65,5.0,4.75,4.38,90,quelques heures,92,Chambre privée,5,4,1.5,10,Host_40885,2018,False,True,https://www.airbnb.fr/rooms/toulouse_000008,detailed_ratings,2022-02-13,6,28,61,3,40
toulouse_000009,Toulouse,Spacieux chambre à Toulouse,43.568976,1.491133,133,4.57,65,4.6,4.67,4.76,4.75,4.62,4.49,4.57,93,quelques heures,89,Chambre privée,2,3,1.5,8,Host_15376,2022,True,True,https://www.airbnb.fr/rooms/toulouse_000009,detailed_ratings,2024-05-23,29,21,6,3,239
toulouse_000010,Toulouse,Authentique pied-à-terre à Toulouse,43.609201,1.431614,60,4.67,231,4.7,4.64,4.95,4.38,4.87,4.74,4.65,93,moins d une heure,81,Logement entier,1,3,1.4,9,Host_62328,2014,False,False,https://www.airbnb.fr/rooms/toulouse_000010,detailed_ratings,2022-06-09,1,34,52,1,38
