restaurant_id,city,name,latitude,longitude,rating,total_ratings,price_range,cuisine_type,address,phone,website,opening_hours,data_source
annecy_resto_001,Annecy,Comptoir Au du Marché,45.880768,6.098648,3.8,473,€,Française,66 Rue Victor Hugo,0338563725,https://www.annecy-restaurant-1.fr,"12:00-14:30, 19:00-22:30",generated_data
annecy_resto_002,Annecy,La Petit Café,45.911458,6.092234,4.7,490,€,Française,12 Rue du Centre,0659256588,https://www.annecy-restaurant-2.fr,"11:30-15:00, 18:30-23:00",generated_data
annecy_resto_003,Annecy,Au Bon Bistro,45.881933,6.134107,4.1,374,€,Montagnarde,54 Rue Victor Hugo,0378513696,https://www.annecy-restaurant-3.fr,"12:00-14:30, 19:00-22:30",generated_data
annecy_resto_004,Annecy,La Cuisine du Annecy,45.905361,6.165252,3.5,372,€,Française,38 Rue Victor Hugo,0177696140,https://www.annecy-restaurant-4.fr,"12:00-14:00, 19:00-22:00",generated_data
annecy_resto_005,Annecy,Les Nouveau Bistro,45.936217,6.135917,3.3,218,€€,Fromage,57 Rue Victor Hugo,0279856030,https://www.annecy-restaurant-5.fr,"12:00-14:00, 19:00-22:00",generated_data
annecy_resto_006,Annecy,Les Vieux Comptoir,45.869028,6.120865,4.6,265,€,Savoyarde,153 Rue de Paris,0454332539,https://www.annecy-restaurant-6.fr,"11:30-15:00, 18:30-23:00",generated_data
annecy_resto_007,Annecy,Le Comptoir Annecy,45.900055,6.153835,4.6,211,€€,Savoyarde,21 Rue du Centre,0662684868,https://www.annecy-restaurant-7.fr,"12:00-14:30, 19:00-22:30",generated_data
annecy_resto_008,Annecy,Le Cuisine de Annecy,45.909735,6.143098,4.1,170,€€,Savoyarde,93 Rue du Centre,0570667130,https://www.annecy-restaurant-8.fr,"12:00-14:00, 19:00-22:00",generated_data
annecy_resto_009,Annecy,Brasserie Le Central,45.899608,6.102763,4.1,37,€,Fromage,102 Rue du Centre,0471703845,https://www.annecy-restaurant-9.fr,"11:30-15:00, 18:30-23:00",generated_data
annecy_resto_010,Annecy,La Cuisine de Annecy,45.870614,6.112241,4.2,430,€,Savoyarde,108 Rue Principale,0311666547,https://www.annecy-restaurant-10.fr,"12:00-14:30, 19:00-22:30",generated_data
annecy_resto_011,Annecy,Les Café Annecy,45.881965,6.083868,3.9,176,€,Française,89 Rue de Paris,0294434653,https://www.annecy-restaurant-11.fr,"12:00-14:00, 19:00-22:00",generated_data
annecy_resto_012,Annecy,Brasserie Chez du Port,45.8631,6.170047,4.5,68,€,Fromage,104 Rue de Paris,0324969475,https://www.annecy-restaurant-12.fr,"12:00-14:30, 19:00-22:30",generated_data
annecy_resto_013,Annecy,Le Nouveau Restaurant,45.936426,6.162799,3.6,162,€,Fromage,25 Rue du Centre,0264943562,https://www.annecy-restaurant-13.fr,"12:00-14:00, 19:00-22:00",generated_data
annecy_resto_014,Annecy,Restaurant Le du Marché,45.914059,6.177087,3.4,50,€€€,Fromage,109 Rue de Paris,0163345437,https://www.annecy-restaurant-14.fr,"12:00-14:30, 19:00-22:30",generated_data
annecy_resto_015,Annecy,Le Cuisine de Annecy,45.866658,6.157622,4.7,281,€€€,Montagnarde,32 Rue du Centre,0228255272,https://www.annecy-restaurant-15.fr,"11:30-15:00, 18:30-23:00",generated_data
annecy_resto_016,Annecy,Les Traditionnel Restaurant,45.907058,6.101989,3.5,200,€€,Fromage,70 Rue Principale,0594912453,https://www.annecy-restaurant-16.fr,"11:30-15:00, 18:30-23:00",generated_data
annecy_resto_017,Annecy,Les Traditionnel Restaurant,45.89501,6.105454,3.8,314,€,Française,139 Rue de Paris,0423443893,https://www.annecy-restaurant-17.fr,"11:30-15:00, 18:30-23:00",generated_data
annecy_resto_018,Annecy,Le Comptoir Annecy,45.946524,6.160921,3.6,467,€€€,Fromage,21 Rue du Centre,0447255764,https://www.annecy-restaurant-18.fr,"11:30-15:00, 18:30-23:00",generated_data
