restaurant_id,city,name,latitude,longitude,rating,total_ratings,price_range,cuisine_type,address,phone,website,opening_hours,data_source
avignon_resto_001,Avignon,Table Les du Marché,43.959528,4.793257,4.5,37,€,Provençale,138 Rue du Centre,0661207466,https://www.avignon-restaurant-1.fr,"11:30-15:00, 18:30-23:00",generated_data
avignon_resto_002,Avignon,La Table du Avignon,43.988698,4.772424,4.1,234,€,Française,151 Rue de Paris,0641214658,https://www.avignon-restaurant-2.fr,"12:00-14:30, 19:00-22:30",generated_data
avignon_resto_003,Avignon,La Typique Comptoir,43.998731,4.770999,4.6,311,€€€,Méditerranéenne,87 Rue Principale,0218654026,https://www.avignon-restaurant-3.fr,"12:00-14:00, 19:00-22:00",generated_data
avignon_resto_004,Avignon,Restaurant Chez de la Gare,43.918015,4.810714,4.6,229,€,Méditerranéenne,45 Rue Principale,0160512773,https://www.avignon-restaurant-4.fr,"12:00-14:30, 19:00-22:30",generated_data
avignon_resto_005,Avignon,Les Nouveau Brasserie,43.934301,4.80387,4.8,370,€€€,Provençale,93 Rue Principale,0365149267,https://www.avignon-restaurant-5.fr,"12:00-14:30, 19:00-22:30",generated_data
avignon_resto_006,Avignon,Les Comptoir Avignon,43.982041,4.776599,4.5,297,€,Française,179 Rue du Centre,0348345214,https://www.avignon-restaurant-6.fr,"11:30-15:00, 18:30-23:00",generated_data
avignon_resto_007,Avignon,La Typique Café,43.950017,4.854291,4.4,24,€€€,Méditerranéenne,159 Rue du Centre,0162315977,https://www.avignon-restaurant-7.fr,"12:00-14:00, 19:00-22:00",generated_data
avignon_resto_008,Avignon,Le Table du Avignon,43.902763,4.834725,4.2,400,€€€,Française,10 Rue Victor Hugo,0654469438,https://www.avignon-restaurant-8.fr,"11:30-15:00, 18:30-23:00",generated_data
avignon_resto_009,Avignon,Le Table de Avignon,43.991409,4.827656,3.7,169,€€€,Française,172 Rue Principale,0172557639,https://www.avignon-restaurant-9.fr,"12:00-14:00, 19:00-22:00",generated_data
avignon_resto_010,Avignon,Le Cuisine du Avignon,43.90133,4.819692,3.7,436,€€€,Française,37 Rue Victor Hugo,0316797983,https://www.avignon-restaurant-10.fr,"12:00-14:00, 19:00-22:00",generated_data
avignon_resto_011,Avignon,La Nouveau Table,43.976413,4.769114,3.5,263,€€€,Provençale,170 Rue de Paris,0368974193,https://www.avignon-restaurant-11.fr,"12:00-14:00, 19:00-22:00",generated_data
avignon_resto_012,Avignon,Chez Bouchon Avignon,43.943218,4.789377,3.5,222,€€,Méditerranéenne,44 Rue du Centre,0438255537,https://www.avignon-restaurant-12.fr,"12:00-14:00, 19:00-22:00",generated_data
avignon_resto_013,Avignon,Comptoir Le du Port,43.90649,4.759564,4.6,51,€,Française,66 Rue Principale,0187468713,https://www.avignon-restaurant-13.fr,"12:00-14:30, 19:00-22:30",generated_data
avignon_resto_014,Avignon,La Comptoir Avignon,43.906731,4.799186,3.9,280,€€€,Méditerranéenne,186 Rue Principale,0249977388,https://www.avignon-restaurant-14.fr,"12:00-14:00, 19:00-22:00",generated_data
avignon_resto_015,Avignon,Table Au Avignon,43.914221,4.844342,3.4,286,€,Provençale,107 Rue Victor Hugo,0162501257,https://www.avignon-restaurant-15.fr,"12:00-14:00, 19:00-22:00",generated_data
avignon_resto_016,Avignon,Café Le des Arts,43.919028,4.785224,4.3,32,€,Provençale,177 Rue du Centre,0296754243,https://www.avignon-restaurant-16.fr,"12:00-14:30, 19:00-22:30",generated_data
avignon_resto_017,Avignon,Le Nouveau Café,43.949922,4.77284,4.0,215,€,Provençale,151 Rue de Paris,0184359821,https://www.avignon-restaurant-17.fr,"12:00-14:30, 19:00-22:30",generated_data
avignon_resto_018,Avignon,Café Chez de la Gare,43.955827,4.79785,4.3,306,€,Française,98 Rue Principale,0177851194,https://www.avignon-restaurant-18.fr,"12:00-14:30, 19:00-22:30",generated_data
avignon_resto_019,Avignon,La Comptoir Avignon,43.927326,4.832029,3.8,185,€€€,Française,162 Rue Victor Hugo,0363611519,https://www.avignon-restaurant-19.fr,"12:00-14:00, 19:00-22:00",generated_data
avignon_resto_020,Avignon,Comptoir Le du Port,43.985708,4.843104,4.6,412,€€,Provençale,63 Rue du Centre,0440209430,https://www.avignon-restaurant-20.fr,"11:30-15:00, 18:30-23:00",generated_data
avignon_resto_021,Avignon,Le Table du Avignon,43.94711,4.797686,3.5,196,€,Méditerranéenne,1 Rue Principale,0212664364,https://www.avignon-restaurant-21.fr,"12:00-14:30, 19:00-22:30",generated_data
avignon_resto_022,Avignon,Restaurant Au de la Gare,43.957994,4.848918,4.2,121,€€,Provençale,47 Rue Principale,0215134982,https://www.avignon-restaurant-22.fr,"12:00-14:30, 19:00-22:30",generated_data
