restaurant_id,city,name,latitude,longitude,rating,total_ratings,price_range,cuisine_type,address,phone,website,opening_hours,data_source
bordeaux_resto_001,Bordeaux,Le Nouveau Bistro,44.86183,-0.627311,3.5,451,€€,Sud-Ouest,49 Rue de Paris,0593419063,https://www.bordeaux-restaurant-1.fr,"11:30-15:00, 18:30-23:00",generated_data
bordeaux_resto_002,Bordeaux,Les Café Bordeaux,44.871159,-0.614739,3.3,378,€€€,Vins,162 Rue Victor Hugo,0264406639,https://www.bordeaux-restaurant-2.fr,"12:00-14:00, 19:00-22:00",generated_data
bordeaux_resto_003,Bordeaux,Le Comptoir Bordeaux,44.807405,-0.596419,4.2,172,€€€,Canard,117 Rue du Centre,0488281189,https://www.bordeaux-restaurant-3.fr,"12:00-14:30, 19:00-22:30",generated_data
bordeaux_resto_004,Bordeaux,Au Bouchon Bordeaux,44.845385,-0.562588,4.1,223,€€€,Vins,124 Rue Victor Hugo,0396423297,https://www.bordeaux-restaurant-4.fr,"12:00-14:00, 19:00-22:00",generated_data
bordeaux_resto_005,Bordeaux,Le Table du Bordeaux,44.873551,-0.54202,4.2,198,€,Gastronomique,83 Rue de Paris,0485328317,https://www.bordeaux-restaurant-5.fr,"12:00-14:00, 19:00-22:00",generated_data
bordeaux_resto_006,Bordeaux,Le Table du Bordeaux,44.872711,-0.572153,3.9,425,€€,Gastronomique,95 Rue de Paris,0115297839,https://www.bordeaux-restaurant-6.fr,"12:00-14:00, 19:00-22:00",generated_data
bordeaux_resto_007,Bordeaux,Table Chez du Marché,44.839411,-0.538387,3.5,120,€€,Française,30 Rue Principale,0192556855,https://www.bordeaux-restaurant-7.fr,"12:00-14:00, 19:00-22:00",generated_data
bordeaux_resto_008,Bordeaux,Le Cuisine du Bordeaux,44.830113,-0.547453,3.8,494,€,Sud-Ouest,171 Rue de Paris,0212891019,https://www.bordeaux-restaurant-8.fr,"11:30-15:00, 18:30-23:00",generated_data
bordeaux_resto_009,Bordeaux,Les Café Bordeaux,44.882736,-0.606609,4.6,324,€€€,Gastronomique,110 Rue Principale,0174116676,https://www.bordeaux-restaurant-9.fr,"12:00-14:30, 19:00-22:30",generated_data
bordeaux_resto_010,Bordeaux,La Bouchon Bordeaux,44.848029,-0.589846,4.2,19,€,Canard,58 Rue Principale,0393215765,https://www.bordeaux-restaurant-10.fr,"12:00-14:30, 19:00-22:30",generated_data
bordeaux_resto_011,Bordeaux,Les Bouchon Bordeaux,44.834535,-0.587606,3.6,62,€€€,Française,57 Rue Victor Hugo,0224462659,https://www.bordeaux-restaurant-11.fr,"11:30-15:00, 18:30-23:00",generated_data
bordeaux_resto_012,Bordeaux,Les Vieux Restaurant,44.867919,-0.610922,3.2,267,€€,Canard,5 Rue Principale,0235328820,https://www.bordeaux-restaurant-12.fr,"12:00-14:30, 19:00-22:30",generated_data
bordeaux_resto_013,Bordeaux,La Bouchon Bordeaux,44.822211,-0.560253,4.0,312,€€,Gastronomique,80 Rue de Paris,0630233511,https://www.bordeaux-restaurant-13.fr,"11:30-15:00, 18:30-23:00",generated_data
bordeaux_resto_014,Bordeaux,Le Cuisine de Bordeaux,44.833748,-0.594349,3.4,172,€,Sud-Ouest,166 Rue Principale,0532815346,https://www.bordeaux-restaurant-14.fr,"12:00-14:00, 19:00-22:00",generated_data
bordeaux_resto_015,Bordeaux,La Table de Bordeaux,44.829458,-0.603405,4.5,437,€,Canard,33 Rue du Centre,0620243345,https://www.bordeaux-restaurant-15.fr,"12:00-14:00, 19:00-22:00",generated_data
bordeaux_resto_016,Bordeaux,Comptoir Au Bordeaux,44.860729,-0.597488,3.6,289,€€€,Canard,35 Rue Principale,0391301390,https://www.bordeaux-restaurant-16.fr,"11:30-15:00, 18:30-23:00",generated_data
bordeaux_resto_017,Bordeaux,Au Café Bordeaux,44.805673,-0.595702,4.7,6,€,Vins,86 Rue de Paris,0558547149,https://www.bordeaux-restaurant-17.fr,"12:00-14:00, 19:00-22:00",generated_data
bordeaux_resto_018,Bordeaux,Les Nouveau Comptoir,44.816187,-0.563317,3.8,113,€,Canard,49 Rue Principale,0633942967,https://www.bordeaux-restaurant-18.fr,"12:00-14:30, 19:00-22:30",generated_data
bordeaux_resto_019,Bordeaux,Brasserie Les du Marché,44.822897,-0.573909,4.2,345,€€,Gastronomique,128 Rue Victor Hugo,0359239292,https://www.bordeaux-restaurant-19.fr,"12:00-14:00, 19:00-22:00",generated_data
bordeaux_resto_020,Bordeaux,Le Cuisine de Bordeaux,44.804306,-0.621382,4.1,14,€,Sud-Ouest,50 Rue de Paris,0241942852,https://www.bordeaux-restaurant-20.fr,"12:00-14:00, 19:00-22:00",generated_data
bordeaux_resto_021,Bordeaux,La Café Bordeaux,44.808843,-0.60854,3.3,32,€,Française,40 Rue de Paris,0550634691,https://www.bordeaux-restaurant-21.fr,"12:00-14:00, 19:00-22:00",generated_data
bordeaux_resto_022,Bordeaux,Le Cuisine du Bordeaux,44.837275,-0.573963,3.3,427,€,Canard,119 Rue du Centre,0373203870,https://www.bordeaux-restaurant-22.fr,"12:00-14:30, 19:00-22:30",generated_data
bordeaux_resto_023,Bordeaux,La Table du Bordeaux,44.814083,-0.537298,4.1,191,€,Canard,181 Rue du Centre,0617284773,https://www.bordeaux-restaurant-23.fr,"11:30-15:00, 18:30-23:00",generated_data
bordeaux_resto_024,Bordeaux,Table Au du Marché,44.849853,-0.566389,3.9,273,€€,Gastronomique,8 Rue Victor Hugo,0278237953,https://www.bordeaux-restaurant-24.fr,"12:00-14:00, 19:00-22:00",generated_data
bordeaux_resto_025,Bordeaux,Café La du Marché,44.884274,-0.580297,3.5,160,€,Française,52 Rue de Paris,0188436178,https://www.bordeaux-restaurant-25.fr,"11:30-15:00, 18:30-23:00",generated_data
bordeaux_resto_026,Bordeaux,Restaurant Chez des Arts,44.815227,-0.592196,3.3,307,€€€,Vins,45 Rue Victor Hugo,0580439616,https://www.bordeaux-restaurant-26.fr,"11:30-15:00, 18:30-23:00",generated_data
bordeaux_resto_027,Bordeaux,Au Bon Café,44.851263,-0.572663,4.6,126,€€,Française,94 Rue Principale,0443574399,https://www.bordeaux-restaurant-27.fr,"12:00-14:00, 19:00-22:00",generated_data
bordeaux_resto_028,Bordeaux,Bistro Au du Marché,44.868803,-0.560253,3.8,392,€,Vins,187 Rue Victor Hugo,0399362276,https://www.bordeaux-restaurant-28.fr,"12:00-14:00, 19:00-22:00",generated_data
