restaurant_id,city,name,latitude,longitude,rating,total_ratings,price_range,cuisine_type,address,phone,website,opening_hours,data_source
la rochelle_resto_001,La Rochelle,Les Comptoir La Rochelle,46.197565,-1.135659,4.1,301,€€,Produits de la mer,25 Rue du Centre,0338633447,https://www.la rochelle-restaurant-1.fr,"12:00-14:00, 19:00-22:00",generated_data
la rochelle_resto_002,La Rochelle,La Cuisine de La Rochelle,46.1181,-1.173674,4.0,338,€€€,Charentaise,22 Rue Principale,0572347615,https://www.la rochelle-restaurant-2.fr,"11:30-15:00, 18:30-23:00",generated_data
la rochelle_resto_003,La Rochelle,Les Bouchon La Rochelle,46.17816,-1.134391,4.2,353,€,Produits de la mer,162 Rue de Paris,0180112536,https://www.la rochelle-restaurant-3.fr,"11:30-15:00, 18:30-23:00",generated_data
la rochelle_resto_004,La Rochelle,La Comptoir La Rochelle,46.13039,-1.154591,3.4,43,€€,Française,185 Rue du Centre,0110421017,https://www.la rochelle-restaurant-4.fr,"12:00-14:00, 19:00-22:00",generated_data
la rochelle_resto_005,La Rochelle,Le Petit Bistro,46.18347,-1.172404,4.5,364,€€,Charentaise,189 Rue du Centre,0241704588,https://www.la rochelle-restaurant-5.fr,"12:00-14:30, 19:00-22:30",generated_data
la rochelle_resto_006,La Rochelle,Comptoir Le du Marché,46.144608,-1.152736,4.2,438,€€€,Française,156 Rue Victor Hugo,0329556132,https://www.la rochelle-restaurant-6.fr,"12:00-14:00, 19:00-22:00",generated_data
la rochelle_resto_007,La Rochelle,Chez Nouveau Café,46.171396,-1.156828,4.0,213,€,Charentaise,170 Rue Victor Hugo,0314383683,https://www.la rochelle-restaurant-7.fr,"12:00-14:00, 19:00-22:00",generated_data
la rochelle_resto_008,La Rochelle,Au Bouchon La Rochelle,46.191282,-1.199066,3.9,322,€€€,Française,183 Rue de Paris,0477513485,https://www.la rochelle-restaurant-8.fr,"11:30-15:00, 18:30-23:00",generated_data
la rochelle_resto_009,La Rochelle,La Table du La Rochelle,46.205357,-1.141137,3.7,151,€,Française,135 Rue du Centre,0331406938,https://www.la rochelle-restaurant-9.fr,"12:00-14:30, 19:00-22:30",generated_data
la rochelle_resto_010,La Rochelle,Café La du Port,46.125351,-1.191084,3.5,222,€€€,Charentaise,31 Rue Victor Hugo,0240988071,https://www.la rochelle-restaurant-10.fr,"12:00-14:30, 19:00-22:30",generated_data
la rochelle_resto_011,La Rochelle,Les Café La Rochelle,46.201706,-1.186932,4.5,28,€€,Charentaise,154 Rue Principale,0287991547,https://www.la rochelle-restaurant-11.fr,"11:30-15:00, 18:30-23:00",generated_data
la rochelle_resto_012,La Rochelle,Brasserie Les du Marché,46.145176,-1.121701,3.7,395,€€€,Française,27 Rue du Centre,0437911824,https://www.la rochelle-restaurant-12.fr,"12:00-14:30, 19:00-22:30",generated_data
la rochelle_resto_013,La Rochelle,Au Typique Brasserie,46.116795,-1.113895,4.5,364,€,Charentaise,160 Rue de Paris,0686406324,https://www.la rochelle-restaurant-13.fr,"11:30-15:00, 18:30-23:00",generated_data
la rochelle_resto_014,La Rochelle,Restaurant Au du Marché,46.15914,-1.173387,4.2,404,€€,Française,13 Rue du Centre,0621521556,https://www.la rochelle-restaurant-14.fr,"11:30-15:00, 18:30-23:00",generated_data
la rochelle_resto_015,La Rochelle,Les Bon Restaurant,46.138482,-1.162477,4.7,374,€€,Produits de la mer,52 Rue du Centre,0283128649,https://www.la rochelle-restaurant-15.fr,"11:30-15:00, 18:30-23:00",generated_data
la rochelle_resto_016,La Rochelle,Au Grand Café,46.169513,-1.154713,3.5,110,€€,Charentaise,145 Rue du Centre,0236791360,https://www.la rochelle-restaurant-16.fr,"12:00-14:30, 19:00-22:30",generated_data
la rochelle_resto_017,La Rochelle,La Table de La Rochelle,46.206223,-1.122349,3.7,30,€€€,Produits de la mer,178 Rue Principale,0642781136,https://www.la rochelle-restaurant-17.fr,"12:00-14:00, 19:00-22:00",generated_data
la rochelle_resto_018,La Rochelle,La Cuisine du La Rochelle,46.174298,-1.115957,4.3,68,€€,Charentaise,87 Rue Victor Hugo,0467422226,https://www.la rochelle-restaurant-18.fr,"11:30-15:00, 18:30-23:00",generated_data
la rochelle_resto_019,La Rochelle,La Cuisine de La Rochelle,46.203383,-1.16317,3.7,46,€,Produits de la mer,85 Rue de Paris,0466671532,https://www.la rochelle-restaurant-19.fr,"12:00-14:30, 19:00-22:30",generated_data
la rochelle_resto_020,La Rochelle,Café Chez Central,46.132667,-1.127802,3.4,339,€€,Produits de la mer,198 Rue Principale,0452759429,https://www.la rochelle-restaurant-20.fr,"11:30-15:00, 18:30-23:00",generated_data
la rochelle_resto_021,La Rochelle,La Cuisine de La Rochelle,46.195833,-1.176838,3.3,391,€,Produits de la mer,11 Rue du Centre,0270202488,https://www.la rochelle-restaurant-21.fr,"12:00-14:30, 19:00-22:30",generated_data
