restaurant_id,city,name,latitude,longitude,rating,total_ratings,price_range,cuisine_type,address,phone,website,opening_hours,data_source
lille_resto_001,Lille,Au Bon Comptoir,50.636954,3.044269,4.2,151,€€,Bistro,76 Rue de Paris,0312716983,https://www.lille-restaurant-1.fr,"11:30-15:00, 18:30-23:00",generated_data
lille_resto_002,Lille,Restaurant Le des Arts,50.602083,3.064187,4.5,402,€,Française,127 Rue Victor Hugo,0680288059,https://www.lille-restaurant-2.fr,"12:00-14:00, 19:00-22:00",generated_data
lille_resto_003,Lille,Le Traditionnel Brasserie,50.619869,3.070887,3.7,105,€€,Nordiste,127 Rue de Paris,0481319790,https://www.lille-restaurant-3.fr,"12:00-14:00, 19:00-22:00",generated_data
lille_resto_004,Lille,Bistro Le de la Gare,50.652035,3.045111,4.1,467,€,Française,155 Rue Victor Hugo,0667666158,https://www.lille-restaurant-4.fr,"12:00-14:00, 19:00-22:00",generated_data
lille_resto_005,Lille,Le Bouchon Lille,50.628454,3.059199,4.0,269,€€€,Nordiste,48 Rue Principale,0233487899,https://www.lille-restaurant-5.fr,"12:00-14:30, 19:00-22:30",generated_data
lille_resto_006,Lille,Table Chez du Port,50.671578,3.020778,4.4,464,€€€,Nordiste,85 Rue du Centre,0544773726,https://www.lille-restaurant-6.fr,"12:00-14:30, 19:00-22:30",generated_data
lille_resto_007,Lille,Chez Vieux Table,50.665199,3.068952,3.6,182,€,Flamande,109 Rue de Paris,0268762949,https://www.lille-restaurant-7.fr,"12:00-14:30, 19:00-22:30",generated_data
lille_resto_008,Lille,La Bon Table,50.670568,3.04348,4.0,466,€€€,Bistro,155 Rue Victor Hugo,0628269342,https://www.lille-restaurant-8.fr,"12:00-14:00, 19:00-22:00",generated_data
lille_resto_009,Lille,Comptoir Les de la Gare,50.605784,3.042751,3.7,288,€€€,Bistro,70 Rue Victor Hugo,0379878741,https://www.lille-restaurant-9.fr,"11:30-15:00, 18:30-23:00",generated_data
lille_resto_010,Lille,Le Cuisine du Lille,50.584242,3.008282,3.3,392,€,Flamande,181 Rue Principale,0622285030,https://www.lille-restaurant-10.fr,"12:00-14:30, 19:00-22:30",generated_data
lille_resto_011,Lille,Les Traditionnel Comptoir,50.656054,3.087292,4.8,132,€€,Flamande,147 Rue du Centre,0458653419,https://www.lille-restaurant-11.fr,"12:00-14:00, 19:00-22:00",generated_data
lille_resto_012,Lille,Le Traditionnel Comptoir,50.629136,3.042487,4.7,171,€,Française,42 Rue de Paris,0445993616,https://www.lille-restaurant-12.fr,"11:30-15:00, 18:30-23:00",generated_data
