restaurant_id,city,name,latitude,longitude,rating,total_ratings,price_range,cuisine_type,address,phone,website,opening_hours,data_source
lyon_resto_001,Lyon,Comptoir Chez Lyon,45.733243,4.846869,3.4,221,€,Brasserie,126 Rue Principale,0322138927,https://www.lyon-restaurant-1.fr,"12:00-14:30, 19:00-22:30",generated_data
lyon_resto_002,Lyon,Au Café Lyon,45.786242,4.856276,4.7,135,€€,Française,102 Rue Principale,0435894071,https://www.lyon-restaurant-2.fr,"12:00-14:00, 19:00-22:00",generated_data
lyon_resto_003,Lyon,Les Nouveau Bistro,45.804961,4.841798,3.5,186,€€€,Bouchon Lyonnais,111 Rue de Paris,0370333391,https://www.lyon-restaurant-3.fr,"11:30-15:00, 18:30-23:00",generated_data
lyon_resto_004,Lyon,Chez Comptoir Lyon,45.774622,4.788695,4.0,375,€€€,Brasserie,71 Rue Victor Hugo,0432226493,https://www.lyon-restaurant-4.fr,"12:00-14:00, 19:00-22:00",generated_data
lyon_resto_005,Lyon,Brasserie Le du Marché,45.767225,4.832277,3.3,228,€€,Bouchon Lyonnais,94 Rue Victor Hugo,0675243516,https://www.lyon-restaurant-5.fr,"11:30-15:00, 18:30-23:00",generated_data
lyon_resto_006,Lyon,Chez Typique Brasserie,45.768144,4.88118,4.1,148,€€€,Vins,187 Rue Principale,0156908784,https://www.lyon-restaurant-6.fr,"11:30-15:00, 18:30-23:00",generated_data
lyon_resto_007,Lyon,Au Typique Comptoir,45.744204,4.854708,4.0,308,€,Vins,46 Rue du Centre,0679868258,https://www.lyon-restaurant-7.fr,"12:00-14:00, 19:00-22:00",generated_data
lyon_resto_008,Lyon,Brasserie Au des Arts,45.724639,4.875852,4.3,317,€€,Bouchon Lyonnais,125 Rue Principale,0158437865,https://www.lyon-restaurant-8.fr,"12:00-14:00, 19:00-22:00",generated_data
lyon_resto_009,Lyon,Au Nouveau Brasserie,45.802111,4.845822,4.1,434,€,Traditionnelle,188 Rue du Centre,0150339745,https://www.lyon-restaurant-9.fr,"12:00-14:00, 19:00-22:00",generated_data
lyon_resto_010,Lyon,Comptoir Le du Port,45.809819,4.858462,3.6,227,€€,Vins,171 Rue du Centre,0222297315,https://www.lyon-restaurant-10.fr,"11:30-15:00, 18:30-23:00",generated_data
lyon_resto_011,Lyon,Les Nouveau Comptoir,45.736082,4.841292,3.9,418,€,Française,13 Rue Victor Hugo,0576384352,https://www.lyon-restaurant-11.fr,"12:00-14:00, 19:00-22:00",generated_data
lyon_resto_012,Lyon,Table Au de la Gare,45.742829,4.824785,3.7,432,€€,Bouchon Lyonnais,40 Rue Victor Hugo,0319205980,https://www.lyon-restaurant-12.fr,"12:00-14:00, 19:00-22:00",generated_data
