restaurant_id,city,name,latitude,longitude,rating,total_ratings,price_range,cuisine_type,address,phone,website,opening_hours,data_source
montpellier_resto_001,Montpellier,Comptoir Le du Port,43.651745,3.845413,4.6,51,€€€,Française,190 Rue Victor Hugo,0119853114,https://www.montpellier-restaurant-1.fr,"11:30-15:00, 18:30-23:00",generated_data
montpellier_resto_002,Montpellier,Le Grand Brasserie,43.619767,3.827794,3.8,316,€€€,Provençale,116 Rue de Paris,0583604916,https://www.montpellier-restaurant-2.fr,"11:30-15:00, 18:30-23:00",generated_data
montpellier_resto_003,Montpellier,Comptoir Chez Montpellier,43.623819,3.82961,4.8,67,€,Méditerranéenne,95 Rue du Centre,0610193154,https://www.montpellier-restaurant-3.fr,"11:30-15:00, 18:30-23:00",generated_data
montpellier_resto_004,Montpellier,Le Bon Restaurant,43.594608,3.832514,3.4,59,€€,Méditerranéenne,7 Rue du Centre,0346641615,https://www.montpellier-restaurant-4.fr,"12:00-14:30, 19:00-22:30",generated_data
montpellier_resto_005,Montpellier,Café Le Montpellier,43.593836,3.829653,4.3,332,€€,Provençale,84 Rue Victor Hugo,0698795118,https://www.montpellier-restaurant-5.fr,"11:30-15:00, 18:30-23:00",generated_data
montpellier_resto_006,Montpellier,La Cuisine du Montpellier,43.586879,3.844199,3.5,210,€€€,Provençale,195 Rue Principale,0353417898,https://www.montpellier-restaurant-6.fr,"12:00-14:00, 19:00-22:00",generated_data
montpellier_resto_007,Montpellier,Au Nouveau Bistro,43.577657,3.883634,3.7,296,€€,Française,113 Rue Victor Hugo,0498938553,https://www.montpellier-restaurant-7.fr,"12:00-14:00, 19:00-22:00",generated_data
montpellier_resto_008,Montpellier,Au Vieux Table,43.580201,3.902478,4.2,385,€€,Méditerranéenne,82 Rue de Paris,0462166539,https://www.montpellier-restaurant-8.fr,"11:30-15:00, 18:30-23:00",generated_data
montpellier_resto_009,Montpellier,Café Le du Marché,43.655057,3.903,3.5,448,€,Méditerranéenne,34 Rue du Centre,0218579942,https://www.montpellier-restaurant-9.fr,"12:00-14:00, 19:00-22:00",generated_data
montpellier_resto_010,Montpellier,La Table de Montpellier,43.606584,3.85177,3.6,364,€,Française,108 Rue Principale,0258217482,https://www.montpellier-restaurant-10.fr,"11:30-15:00, 18:30-23:00",generated_data
montpellier_resto_011,Montpellier,Les Vieux Bistro,43.595138,3.873638,3.6,449,€,Provençale,44 Rue Principale,0125291044,https://www.montpellier-restaurant-11.fr,"12:00-14:30, 19:00-22:30",generated_data
montpellier_resto_012,Montpellier,La Bon Café,43.622406,3.892488,3.5,260,€,Tapas,3 Rue Principale,0654601573,https://www.montpellier-restaurant-12.fr,"12:00-14:30, 19:00-22:30",generated_data
