restaurant_id,city,name,latitude,longitude,rating,total_ratings,price_range,cuisine_type,address,phone,website,opening_hours,data_source
paris_resto_001,Paris,La Comptoir Paris,48.813323,2.382547,4.6,239,€,Brasserie,10 Rue Victor Hugo,0335233341,https://www.paris-restaurant-1.fr,"11:30-15:00, 18:30-23:00",generated_data
paris_resto_002,Paris,Au Bouchon Paris,48.848055,2.363181,3.4,338,€€€,Fusion,186 Rue Principale,0492955648,https://www.paris-restaurant-2.fr,"12:00-14:30, 19:00-22:30",generated_data
paris_resto_003,Paris,La Café Paris,48.849514,2.334155,4.2,190,€€,Italienne,50 Rue Victor Hugo,0483872623,https://www.paris-restaurant-3.fr,"12:00-14:00, 19:00-22:00",generated_data
paris_resto_004,Paris,Au Grand Restaurant,48.901911,2.399582,4.7,301,€€,Française,71 Rue Victor Hugo,0324409264,https://www.paris-restaurant-4.fr,"11:30-15:00, 18:30-23:00",generated_data
paris_resto_005,Paris,Le Bouchon Paris,48.871508,2.3486,4.0,466,€€€,Fusion,79 Rue Victor Hugo,0154589785,https://www.paris-restaurant-5.fr,"11:30-15:00, 18:30-23:00",generated_data
paris_resto_006,Paris,Comptoir Au Paris,48.884126,2.389719,3.5,381,€,Italienne,179 Rue de Paris,0217304045,https://www.paris-restaurant-6.fr,"12:00-14:00, 19:00-22:00",generated_data
paris_resto_007,Paris,Le Cuisine du Paris,48.818071,2.373502,4.6,246,€€,Asiatique,7 Rue de Paris,0615384130,https://www.paris-restaurant-7.fr,"11:30-15:00, 18:30-23:00",generated_data
paris_resto_008,Paris,Le Nouveau Comptoir,48.872954,2.333052,4.7,302,€€€,Bistro,166 Rue Principale,0434903560,https://www.paris-restaurant-8.fr,"11:30-15:00, 18:30-23:00",generated_data
paris_resto_009,Paris,Brasserie Au du Port,48.87961,2.354744,3.4,327,€€,Italienne,138 Rue de Paris,0118679459,https://www.paris-restaurant-9.fr,"12:00-14:00, 19:00-22:00",generated_data
paris_resto_010,Paris,Comptoir Chez du Port,48.838665,2.308564,3.4,359,€€€,Asiatique,138 Rue Principale,0217729263,https://www.paris-restaurant-10.fr,"12:00-14:00, 19:00-22:00",generated_data
paris_resto_011,Paris,Au Café Paris,48.824189,2.352283,4.3,395,€,Italienne,39 Rue du Centre,0196375834,https://www.paris-restaurant-11.fr,"12:00-14:30, 19:00-22:30",generated_data
paris_resto_012,Paris,Comptoir La des Arts,48.822292,2.356022,4.5,351,€€,Française,158 Rue de Paris,0215979313,https://www.paris-restaurant-12.fr,"11:30-15:00, 18:30-23:00",generated_data
paris_resto_013,Paris,Le Café Paris,48.878656,2.388468,3.2,113,€€,Italienne,6 Rue Victor Hugo,0622314999,https://www.paris-restaurant-13.fr,"12:00-14:00, 19:00-22:00",generated_data
paris_resto_014,Paris,Au Traditionnel Restaurant,48.818034,2.321804,3.3,345,€€€,Asiatique,10 Rue Principale,0680716861,https://www.paris-restaurant-14.fr,"12:00-14:00, 19:00-22:00",generated_data
paris_resto_015,Paris,Chez Café Paris,48.879082,2.368684,3.4,269,€€€,Bistro,173 Rue Victor Hugo,0291247882,https://www.paris-restaurant-15.fr,"12:00-14:30, 19:00-22:30",generated_data
paris_resto_016,Paris,Les Café Paris,48.882788,2.350866,3.6,199,€€,Française,104 Rue Principale,0291382856,https://www.paris-restaurant-16.fr,"12:00-14:00, 19:00-22:00",generated_data
