restaurant_id,city,name,latitude,longitude,rating,total_ratings,price_range,cuisine_type,address,phone,website,opening_hours,data_source
reims_resto_001,Reims,Chez Bon Comptoir,49.223659,3.993397,3.5,308,€€,Champenoise,140 Rue de Paris,0254453563,https://www.reims-restaurant-1.fr,"12:00-14:00, 19:00-22:00",generated_data
reims_resto_002,Reims,Le Traditionnel Brasserie,49.281755,4.076494,3.3,438,€,Gastronomique,92 Rue Victor Hugo,0675568158,https://www.reims-restaurant-2.fr,"12:00-14:30, 19:00-22:30",generated_data
reims_resto_003,Reims,Comptoir Les du Marché,49.231674,4.049628,4.3,476,€€,Française,60 Rue du Centre,0138819320,https://www.reims-restaurant-3.fr,"12:00-14:30, 19:00-22:30",generated_data
reims_resto_004,Reims,La Grand Brasserie,49.294719,4.047387,4.5,266,€€€,Française,41 Rue de Paris,0512815571,https://www.reims-restaurant-4.fr,"12:00-14:00, 19:00-22:00",generated_data
reims_resto_005,Reims,Le Bouchon Reims,49.292316,4.02065,3.6,86,€€,Française,43 Rue Victor Hugo,0684859036,https://www.reims-restaurant-5.fr,"12:00-14:30, 19:00-22:30",generated_data
reims_resto_006,Reims,Brasserie Les Central,49.257176,4.009232,3.5,361,€,Gastronomique,34 Rue Principale,0557468080,https://www.reims-restaurant-6.fr,"11:30-15:00, 18:30-23:00",generated_data
reims_resto_007,Reims,Le Traditionnel Bistro,49.288055,3.996097,4.1,272,€€,Gastronomique,130 Rue de Paris,0620923757,https://www.reims-restaurant-7.fr,"12:00-14:00, 19:00-22:00",generated_data
reims_resto_008,Reims,Le Bon Bistro,49.25635,3.996383,3.7,260,€€€,Française,50 Rue du Centre,0626737716,https://www.reims-restaurant-8.fr,"12:00-14:30, 19:00-22:30",generated_data
reims_resto_009,Reims,Au Comptoir Reims,49.281516,3.99911,3.2,179,€,Française,98 Rue de Paris,0664817979,https://www.reims-restaurant-9.fr,"12:00-14:00, 19:00-22:00",generated_data
reims_resto_010,Reims,Restaurant Le du Port,49.247444,4.073465,4.0,137,€€,Française,184 Rue du Centre,0633346984,https://www.reims-restaurant-10.fr,"11:30-15:00, 18:30-23:00",generated_data
reims_resto_011,Reims,Le Café Reims,49.284567,4.001019,4.1,437,€€,Gastronomique,13 Rue Victor Hugo,0370701119,https://www.reims-restaurant-11.fr,"12:00-14:30, 19:00-22:30",generated_data
reims_resto_012,Reims,Les Café Reims,49.227279,4.037307,3.9,183,€,Champenoise,164 Rue du Centre,0211439999,https://www.reims-restaurant-12.fr,"11:30-15:00, 18:30-23:00",generated_data
reims_resto_013,Reims,Café La des Arts,49.230171,4.045557,4.3,259,€€€,Gastronomique,19 Rue Principale,0163925028,https://www.reims-restaurant-13.fr,"11:30-15:00, 18:30-23:00",generated_data
reims_resto_014,Reims,Les Comptoir Reims,49.23344,4.051285,4.1,115,€€,Française,116 Rue Victor Hugo,0451617860,https://www.reims-restaurant-14.fr,"12:00-14:30, 19:00-22:30",generated_data
reims_resto_015,Reims,Les Traditionnel Restaurant,49.251144,4.045471,4.5,8,€€,Française,99 Rue du Centre,0478651377,https://www.reims-restaurant-15.fr,"11:30-15:00, 18:30-23:00",generated_data
reims_resto_016,Reims,Au Café Reims,49.273262,4.029653,3.2,159,€,Française,32 Rue Principale,0179134430,https://www.reims-restaurant-16.fr,"12:00-14:00, 19:00-22:00",generated_data
