restaurant_id,city,name,latitude,longitude,rating,total_ratings,price_range,cuisine_type,address,phone,website,opening_hours,data_source
saint-malo_resto_001,Saint-Malo,La Cuisine de Saint-Malo,48.629218,-2.009974,4.3,354,€€,Française,36 Rue de Paris,0442547957,https://www.saint-malo-restaurant-1.fr,"11:30-15:00, 18:30-23:00",generated_data
saint-malo_resto_002,Saint-Malo,Brasserie Le du Marché,48.635178,-1.982567,4.4,86,€,Française,165 Rue de Paris,0221403889,https://www.saint-malo-restaurant-2.fr,"11:30-15:00, 18:30-23:00",generated_data
saint-malo_resto_003,Saint-Malo,Comptoir Chez Saint-Malo,48.653466,-1.985462,3.5,352,€€,Bretonne,22 Rue Victor Hugo,0580905228,https://www.saint-malo-restaurant-3.fr,"11:30-15:00, 18:30-23:00",generated_data
saint-malo_resto_004,Saint-Malo,Bistro Le du Port,48.618288,-2.042589,3.7,132,€,Produits de la mer,71 Rue du Centre,0185153120,https://www.saint-malo-restaurant-4.fr,"12:00-14:00, 19:00-22:00",generated_data
saint-malo_resto_005,Saint-Malo,Table Les du Marché,48.69624,-2.066568,4.0,296,€,Bretonne,131 Rue Victor Hugo,0536351345,https://www.saint-malo-restaurant-5.fr,"11:30-15:00, 18:30-23:00",generated_data
saint-malo_resto_006,Saint-Malo,Chez Traditionnel Brasserie,48.609325,-2.050286,4.6,76,€€€,Produits de la mer,92 Rue Principale,0581399285,https://www.saint-malo-restaurant-6.fr,"11:30-15:00, 18:30-23:00",generated_data
saint-malo_resto_007,Saint-Malo,Chez Bon Restaurant,48.675524,-2.001354,4.1,265,€€,Bretonne,110 Rue Victor Hugo,0351598463,https://www.saint-malo-restaurant-7.fr,"12:00-14:00, 19:00-22:00",generated_data
saint-malo_resto_008,Saint-Malo,La Table de Saint-Malo,48.608647,-2.007717,4.1,377,€€€,Bretonne,71 Rue de Paris,0468535579,https://www.saint-malo-restaurant-8.fr,"12:00-14:00, 19:00-22:00",generated_data
saint-malo_resto_009,Saint-Malo,Les Bouchon Saint-Malo,48.688382,-2.034424,4.2,45,€€€,Produits de la mer,124 Rue du Centre,0577279279,https://www.saint-malo-restaurant-9.fr,"11:30-15:00, 18:30-23:00",generated_data
saint-malo_resto_010,Saint-Malo,Au Café Saint-Malo,48.607672,-2.026836,3.3,36,€,Française,62 Rue Victor Hugo,0519638331,https://www.saint-malo-restaurant-10.fr,"12:00-14:00, 19:00-22:00",generated_data
