restaurant_id,city,name,latitude,longitude,rating,total_ratings,price_range,cuisine_type,address,phone,website,opening_hours,data_source
toulouse_resto_001,Toulouse,La Cuisine de Toulouse,43.643878,1.398788,4.2,221,€,Gastronomique,176 Rue du Centre,0287163238,https://www.toulouse-restaurant-1.fr,"11:30-15:00, 18:30-23:00",generated_data
toulouse_resto_002,Toulouse,Le Cuisine de Toulouse,43.629683,1.486044,3.8,57,€,Cassoulet,95 Rue Principale,0569632279,https://www.toulouse-restaurant-2.fr,"11:30-15:00, 18:30-23:00",generated_data
toulouse_resto_003,Toulouse,La Table de Toulouse,43.560428,1.48111,4.2,296,€€,Sud-Ouest,11 Rue Victor Hugo,0661437837,https://www.toulouse-restaurant-3.fr,"11:30-15:00, 18:30-23:00",generated_data
toulouse_resto_004,Toulouse,Le Cuisine de Toulouse,43.58088,1.436229,3.2,469,€€,Gastronomique,141 Rue Principale,0674864447,https://www.toulouse-restaurant-4.fr,"12:00-14:30, 19:00-22:30",generated_data
toulouse_resto_005,Toulouse,Brasserie Au du Port,43.602464,1.469295,4.2,405,€€€,Française,158 Rue Victor Hugo,0163549646,https://www.toulouse-restaurant-5.fr,"12:00-14:00, 19:00-22:00",generated_data
toulouse_resto_006,Toulouse,Table La du Port,43.578981,1.48605,3.4,271,€€€,Sud-Ouest,150 Rue de Paris,0334773735,https://www.toulouse-restaurant-6.fr,"12:00-14:00, 19:00-22:00",generated_data
toulouse_resto_007,Toulouse,Au Bon Brasserie,43.588953,1.488045,3.5,261,€€€,Sud-Ouest,57 Rue du Centre,0371854691,https://www.toulouse-restaurant-7.fr,"12:00-14:00, 19:00-22:00",generated_data
toulouse_resto_008,Toulouse,Comptoir Chez Toulouse,43.559025,1.402255,3.4,437,€€,Française,185 Rue de Paris,0480508062,https://www.toulouse-restaurant-8.fr,"11:30-15:00, 18:30-23:00",generated_data
toulouse_resto_009,Toulouse,La Café Toulouse,43.643836,1.479455,4.7,127,€€,Sud-Ouest,30 Rue Principale,0542314575,https://www.toulouse-restaurant-9.fr,"12:00-14:30, 19:00-22:30",generated_data
toulouse_resto_010,Toulouse,Au Nouveau Comptoir,43.573096,1.422544,3.8,403,€,Française,47 Rue du Centre,0121468146,https://www.toulouse-restaurant-10.fr,"12:00-14:00, 19:00-22:00",generated_data
